beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
s & a electrical ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Poli Crysochous,,,,"Poli Crysochous, Cyprus",35.036427,32.4250022,True,6343
bright stars day nursery,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Peyia,,,,"Peyia, Cyprus",34.85752339999999,32.3787052,True,6133
m and a pet-care limited/,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Peyia,,Agiou Georgiou,,"Agiou Georgiou, Peyia, Cyprus",34.877749,32.3536657,True,6133
fcd (pissourios) automotive repair senter ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Timi,,,,"Timi, Cyprus",34.7440317,32.51893580000001,True,6104
shade ports plus ltd,CY,Cyprus,project,,,,,,,Cyprus,Baf,,Kıbrıs,8068,,,"Ayia Varvara - Anarita 35B Paphos, Kıbrıs 8068, Cyprus",34.7457495,32.5196443,True,6104
st. george hotel enterprises,CY,Cyprus,project,,,,,,,Cyprus,,,Chloraka,8063,Agiou Georgiou,,"Agiou Georgiou, Chloraka 8063, Cyprus",34.80355299999999,32.395401,True,6020
aliathon travel services ltd,CY,Cyprus,project,,,,,,,Cyprus,,,Yeroskipou,,,,"Yeroskipou, Cyprus",34.74396220000001,32.43363,True,6010
aphrodite delights (yeroskiros) ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Yeroskipou,,Kantarenas,,"2 Kantarenas (corner with Agapinoros) street Geroskipou CY 8201, Kantarenas, Yeroskipou, Cyprus",34.7531278,32.4605199,True,6010
aphrodite delights ltd / μαρια χαριλαου,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Yeroskipou,,Kantarenas,,"2 Kantarenas (corner with Agapinoros) street Geroskipou CY 8201, Kantarenas, Yeroskipou, Cyprus",34.7531278,32.4605199,True,6010
trandescania properties ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,"Koloni 8310, Paphos, Cyprus",,,,"Lemonari Street 10, Koloni 8310, Paphos, Cyprus, Cyprus",34.751389,32.464167,True,6010
aphrodite delights ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Yeroskipou,,Kantarenas,,"2 Kantarenas (corner with Agapinoros) street Geroskipou CY 8201, Kantarenas, Yeroskipou, Cyprus",34.7531278,32.4605199,True,6010
aliathon tour enterprises ltd,CY,Cyprus,project,,,,,,,Cyprus,,,Yeroskipou,,,,"Yeroskipou, Cyprus",34.74396220000001,32.43363,True,6010
a.v.n office furniture ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Paphos,,Anthipolochagou Georgiou Savva,,"Anthipolochagou Georgiou Savva, Paphos, Cyprus",34.7658104,32.4444001,True,6000
green air mechanicanl installation limited,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Paphos,8046,Apostolou Pavlou Avenue,13-15,"Apostolou Pavlou Ave 13-15, Paphos 8046, Cyprus",34.7730495,32.4189196,True,6000
ctc automotive ltd,CY,Cyprus,project,,,,,,,Cyprus,Paphos,,Paphos,8028,Dimokratias Avenue,4,"Dimokratias Ave 4, Paphos 8028, Cyprus",34.7727675,32.44299709999999,True,6000
mkl christodoulou ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,3021,Dodekanisou,6,"Dodekanisou 6, Limassol 3021, Cyprus",34.680837,33.035378,True,5000
mci dental clinic ltd/,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,Omirou,,"Omirou, Limassol, Cyprus",34.6894041,33.05425640000001,True,5000
dhl (cyprus) ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,3095,Riga Fereou,6,"Riga Fereou 6, Limassol 3095, Cyprus",34.6876631,33.05321799999999,True,5000
d.a. dali advertising ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,3036,,,"35 Saripolou, Limassol 3036, Cyprus",34.675303,33.043265,True,5000
primetel plc,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,Omonoias,141,"Omonoias 141, Limassol, Cyprus",34.6606572,33.0191937,True,5000
chadjimichael antonis dental surgery ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,Volga,,"Volga, Limassol, Cyprus",34.6830593,33.0174488,True,5000
atlaspantou co ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,Giangou Tornariti,,"8, 3503,, Giangou Tornariti, Limassol, Cyprus",34.6831218,33.052886,True,5000
andreas kokkinos ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,,,"Limassol, Cyprus",34.6743869,33.0142503,True,5000
andreas chrysostomou general trading ltd,CY,Cyprus,project,,,,,,,Cyprus,Limassol,,Limassol,,,,"Limassol, Cyprus",34.6699952,33.0046574,True,5000
