beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
construdemia construcoes lda,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
''espiga''- cooperativa de solidariedade social crl,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
'viver barroso' - ( associacao para o desenvolvimento social de barroso),PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
5 rios - associacao agricola do valado dos frades,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"7 - rest - restauracao, lda",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
a f s d associacao de familias solidarias com a deficiencia,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
a gralha - associacao para o desenvolvimento de porto covo,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
a i d i a associacao independente para o desenvolvimento integrado de alpiarca,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
a m p v - associacao de municipios portugueses do vinho,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
a. d. r. - associacao de desenvolvimento da regua,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
ajofal - associacao dos jovens formadores do alentejo,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
construtora medense limitada,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
a.e.e.e - associacao do ensino especializado de musica,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
a.m.l. - associacao de moradores das lameiras,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"a.rodrigues correia lopes,bebidas e alimentacao s.a.",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
aammor - associacao de amigos e melhoramentos de morais,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
aatalram - associacao de armadores de trafego e auxiliares locais da regiao autonoma da madeira,PT,Portugal,project,,Região Autónoma da Madeira,,,,,,,,,,,,,,,True,
abomarao - associacao de freguesias da aboboreira e marao,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
ac-mos - associacao de desenvolvimento comunitario de porto de mos,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
academia de musica de vale de cambra crl ,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"acarinhar - associacao para o desenvolvimento psico, socio cultural da lixa",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
accig - associacao cultura e conhecimento para a igualdade do genero,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"acegis- associacao para a cidadania, empreendorismo, genero e inovacao social",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
acep - assoc para a cooperacao entre os povos,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
acic - associacao comercial e industrial de vale de cambra,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
acim - associacao dos comerciantes e industriais do concelho de moncorvo,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
acips - associacao comercial industrial concelho ponte de sor,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
"acisfec - associacao comercial, industrial e servicos de freixo de espada a cinta",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
acplc-associacao cientifica de professores do litoral centro,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
acrialmeida - associacao de criadores de ruminantes do concelho de almeida,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
acriguarda assoc de criadores de ruminantes do concelho da guarda,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
acripinhal - associacao de criadores de ruminantes do pinhal,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
ad inova - agencia para o desenvolvimento e inovacao,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"adecom - associacao para o desenvolvimento do sitio da corujeira , freguesia do monte",PT,Portugal,project,,Região Autónoma da Madeira,,,,,,,,,,,,,,,True,
ademir - associacao de desenvolvimento do minho rural,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"adepe - apoio ao desenvolvimento escolar, profissional e empresarial lda",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"adicional - distribuicao e gestao comercial, s.a.",PT,Portugal,project,,Lisboa,,,,,,,,,,,,,,,True,
amado saraiva & magalhaes lda,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
adime - associacao para a defesa e insercao das minorias etnicas,PT,Portugal,project,,Lisboa,,,,,,,,,,,,,,,True,
adivs - associacao dinamizadora dos interesses de vila nova de sande,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
adlpi associacao para o desenvolvimento local do pinhal interior,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"joaquim da silva marques - venda, reparacao e instalacao de artigos electricos, limitada",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
adnf - associacao de desenvolvimento de formacao e reinsercao,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
adripoio - associacao de desenvolvimento rural integrado do vale do poio,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
adrl - associacao de desenvolvimento rural de lafoes,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
aeal - associacao dos empresarios do alentejo litoral,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
aepcoura - associacao empresarial de paredes de coura,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
afesa - associacao de formacao em emergencia e socorro do algarve,PT,Portugal,project,,Algarve,,,,,,,,,,,,,,,True,
afirmar - associacao social e cultural de pias,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
afopadis - associacao para a formacao profissional e desenvolvimento,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"agim - associacao para a gestao, inovacao e modernizacao do centro urbano de sever do vouga ",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"aglutex - fabrica de confeccoes, lda.",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agresta - associacao dos agricultores do minho,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrigiestas - associacao de agricultores do douro,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"agrupamento cooperatvivo de produtores de suinos bisaros,c.r.l.",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de defesa sanitaria de torre de moncorvo-adstm,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escola terras do xisto,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas da azambuja - centro de formacao leziria - oeste,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento de escolas da chamusca ,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
"agrupamento de escolas da gafanha da nazare - cfaecivob - centro de form de assoc de escolas dos concelhos de ilhavo, vagos e oliveira do bairro",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de alijo,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas de ansiao - centro de formacao da associacao de escolas do mar ao zezere - cenformaz,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de aurelia de sousa - centro de formacao guilhermina suggia,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas de barcelos - centro de formacao da associacao de escolas dos concelhos de barcelos e esposende,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"agrupamento de escolas de benavente - centro de form. de escolas dos concelhos de benavente, coruche e salvaterra de magos/centro educatis",PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
"agrupamento de escolas de canas de senhorim - escola basica dos 2º e 3º ciclos com ensino secundario engenheiro dionisio augusto cunha, canas de s",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de couto mineiro - pejao,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
freguesia da se,PT,Portugal,project,,Norte,,,,,Portugal,Bragança District,,,,,,"5140, Portugal",41.2323916,-7.387999400000001,True,040305
agrupamento de escolas de fontes pereira de melo - centro de formacao de professores rui gracio - ceforg,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas de fornos de algodres,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de fronteira,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento de escolas de martim de freitas - centro de formacao de associacao de escolas minerva,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de mogadouro,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas de monchique,PT,Portugal,project,,Algarve,,,,,,,,,,,,,,,True,
agrupamento de escolas de resende,PT,Portugal,project,,Norte,,,,,Portugal,Viseu District,,Resende,,,,"4660 Resende, Portugal",41.1068301,-7.9582459,True,181311
"agrupamento de escolas de ovar - centro de formacao intermunicipal de estarreja, murtosa e ovar",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas de ponte de lima - cenfipe - centro de form e inov dos prof de educacao - escolas assoc vale do lima e paredes de coura,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"agrupamento de escolas de vilela - centro de formacao da associacao de escolas de pacos de ferreira, paredes e penafiel",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas de vouzela - centro de formacao de associacao de escolas castro daire/lafoes,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas do bonfim - centro de formacao de professores do nordeste alentejano - cefopna,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento de escolas do concelho de vila do bispo,PT,Portugal,project,,Algarve,,,,,,,,,,,,,,,True,
agrupamento de escolas do crato,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento de escolas fernando tavora,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas n.º 1 de santo andre - centro de formacao da associacao de escolas do alentejo litoral,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento de escolas nuno alvares - centro de formacao da associacao de escolas alto tejo,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas rainha santa isabel,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas rainha santa isabel ,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
agrupamento de escolas ribeiro sanches,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"agrupamento de escolas soares basto - centro de form.de assoc de escolas dos conc.de arouca, vale de cambra e oliveira de azemeis - avcoa",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento de escolas territorio educativo de coura,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento vertical de colos,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento vertical de escolas de aguas santas - centro de formacao de associacao de escolas maiatrofa,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento vertical de escolas de silvares,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
agrupamento vertical de escolas do concelho de borba,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento vertical de portel,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
agrupamento vertical de s. lourenco - ermesinde - centro de formacao de assoc de escolas dos conc de santo tirso e valongo - cfae sebastiao da gama,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
instituto politecnico de viseu,PT,Portugal,project,,Centro,,,,,Portugal,Viseu,,Viseu,3504-505,Viseu,,"Viseu, 3504-505 Viseu, Portugal",40.6528843,-7.906541000000001,True,182324
"metaloviana - metalurgica de viana, s.a.",PT,Portugal,project,,Norte,,,,,Portugal,Viana do Castelo,,Neiva,,,,"4905 Neiva, Portugal",41.632936,-8.763708000000001,True,160923
ajavs - associacao dos jovens agricultores do vale do sousa,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
albano martins-escritorio tecnico de contabilidade lda,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
alcino amador & victor goncalves lda,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
aldeia nova-associacao de desenvolvimento social de vila nova de s. bento,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
alen xxi - associacao do meio rural e urbano,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
alianca artesanal - cooperativa de interesse publico de responsabilidade limitada,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
alidouro - alimentos compostos s.a,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
altius - centro de formacao profissional s.a.,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"alto fuste - consultoria e gestao agraria, l.da",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
amendoacoop cooperativa de produtores de amendoa de torre de moncorvo crl,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
amigos da terceira idade de palmeira,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
ana osorio lda,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
anaurora - confeccoes e servicos texteis lda ,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
ancabra - associacao nacional de criadores de cabra bravia,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"anglo portuguesa de produtos quimicos, s.a.",PT,Portugal,project,,Lisboa,,,,,,,,,,,,,,,True,
"antonio de jesus batista & irmaos, limitada",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
"antonio leal barbas, lda",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
antonio rodrigues azevedo,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
apadimp - associacao de pais e amigos dos diminuidos mentais de penafiel,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
apalgar - associacao de amizade dos palop no algarve,PT,Portugal,project,,Algarve,,,,,,,,,,,,,,,True,
apavdouro - associacao dos produtores agricolas do vale do douro,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
apce-associacao de paralisia cerebral de evora,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
apcsp 2000 - associacao p/ prom. classes sociais menos desfavorecidas pacos 2000,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
apcvc associacao de paralisia cerebral de viana do castelo,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
apdis - associacao para o desenvolvimento e inclusao social,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
apizezere - associacao de proteccao integrada e agricultura sustentavel do zezere,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
apodep - associacao portuguesa para o desenvolvimento profissional,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
appce - associacao portuguesa de profissionais em comercio externo,PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
aquaticus  animacao turistica e desportiva lda,PT,Portugal,project,,Região Autónoma dos Açores,,,,,,,,,,,,,,,True,
aramus - instalacao e manutencao de equipamentos e sistemas electricos e electromecanicos lda,PT,Portugal,project,,Alentejo,,,,,,,,,,,,,,,True,
"arl antonio rodrigues leao - construcoes , sa",PT,Portugal,project,,Centro,,,,,,,,,,,,,,,True,
arpa - assoc. cultural desportiva paroquia da areosa,PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
"ascendi operadora gl - operacao e manutencao rodoviaria, sa",PT,Portugal,project,,Lisboa,,,,,,,,,,,,,,,True,
"asdrubal j.a., s.a.",PT,Portugal,project,,Norte,,,,,,,,,,,,,,,True,
