NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
BE100 ;n.a.;21001;no;Anderlecht;Anderlecht;114553;17744118;1
BE100 ;n.a.;21002;no;Auderghem;Oudergem;32417;9033439;1
BE100 ;n.a.;21003;no;Berchem-Sainte-Agathe;Sint-Agatha-Berchem ;23484;2949556;1
BE100 ;n.a.;21004;no;Bruxelles;Brussel ;181833;32605926;1
BE100 ;n.a.;21005;no;Etterbeek;Etterbeek ;46452;3149323;1
BE100 ;n.a.;21006;no;Evere;Evere ;37584;5018112;1
BE100 ;n.a.;21007;no;Forest;Vorst ;54247;6248132;1
BE100 ;n.a.;21008;no;Ganshoren;Ganshoren ;23768;2455219;1
BE100 ;n.a.;21009;no;Ixelles;Elsene;84932;6344624;1
BE100 ;n.a.;21010;no;Jette;Jette ;49734;5043333;1
BE100 ;n.a.;21011;no;Koekelberg;Koekelberg;21123;1172472;1
BE100 ;n.a.;21012;no;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek ;95815;5891792;1
BE100 ;n.a.;21013;no;Saint-Gilles;Sint-Gillis ;50905;2524738;1
BE100 ;n.a.;21014;no;Saint-Josse-ten-Noode;Sint-Joost-ten-Node ;27662;1142297;1
BE100 ;n.a.;21015;no;Schaerbeek;Schaarbeek;131598;8139966;1
BE100 ;n.a.;21016;no;Uccle;Ukkel ;80737;22909989;1
BE100 ;n.a.;21017;no;Watermael-Boitsfort;Watermaal-Bosvoorde ;24507;12933011;1
BE100 ;n.a.;21018;no;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;52677;7224840;1
BE100 ;n.a.;21019;no;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe ;40596;8851391;1
BE211;n.a.;11001;no;Aartselaar;Aartselaar;14252;10926126;2
BE211;n.a.;11002;no;Antwerpen ;Anvers;512230;204514194;1
BE211;n.a.;11004;no;Boechout;Boechout;12797;20655116;2
BE211;n.a.;11005;no;Boom;Boom;17284;7365385;2
BE211;n.a.;11007;no;Borsbeek;Borsbeek;10309;3918657;2
BE211;n.a.;11008;no;Brasschaat;Brasschaat;37396;38494822;2
BE211;n.a.;11009;no;Brecht;Brecht;28070;90838469;2
BE211;n.a.;11013;no;Edegem;Edegem;21251;8652220;2
BE211;n.a.;11016;no;Essen ;Essen ;18112;47482511;2
BE211;n.a.;11018;no;Hemiksem;Hemiksem;10800;5438191;2
BE211;n.a.;11021;no;Hove;Hove;8215;5986958;2
BE211;n.a.;11022;no;Kalmthout ;Kalmthout ;18208;59447386;2
BE211;n.a.;11023;no;Kapellen;Kapellen;27012;37113055;2
BE211;n.a.;11024;no;Kontich ;Kontich ;20948;23669000;2
BE211;n.a.;11025;no;Lint;Lint;8899;5572851;2
BE211;n.a.;11029;no;Mortsel ;Mortsel ;25323;7784176;2
BE211;n.a.;11030;no;Niel;Niel;9601;5270786;2
BE211;n.a.;11035;no;Ranst ;Ranst ;19031;43583746;2
BE211;n.a.;11037;no;Rumst ;Rumst ;14943;19903814;2
BE211;n.a.;11038;no;Schelle ;Schelle ;8211;7799064;2
BE211;n.a.;11039;no;Schilde ;Schilde ;19318;35989363;2
BE211;n.a.;11040;no;Schoten ;Schoten ;33839;29552113;2
BE211;n.a.;11044;no;Stabroek;Stabroek;18159;21506498;2
BE211;n.a.;11050;no;Wijnegem;Wijnegem;9154;7859684;2
BE211;n.a.;11052;no;Wommelgem ;Wommelgem ;12433;13006528;2
BE211;n.a.;11053;no;Wuustwezel;Wuustwezel;19751;89426565;3
BE211;n.a.;11054;no;Zandhoven ;Zandhoven ;12724;40100910;2
BE211;n.a.;11055;no;Zoersel ;Zoersel ;21650;38650820;2
BE211;n.a.;11056;no;Zwijndrecht ;Zwijndrecht ;18822;17818636;2
BE211;n.a.;11057;no;Malle ;Malle ;14983;51985948;2
BE212;n.a.;12002;no;Berlaar ;Berlaar ;11034;24571878;2
BE212;n.a.;12005;no;Bonheiden ;Bonheiden ;14854;29266469;2
BE212;n.a.;12007;no;Bornem;Bornem;20848;45758250;2
BE212;n.a.;12009;no;Duffel;Duffel;17059;22712439;2
BE212;n.a.;12014;no;Heist-op-den-Berg ;Heist-op-den-Berg ;40979;86459749;2
BE212;n.a.;12021;no;Lier;Lierre;34633;49703065;2
BE212;n.a.;12025;no;Mechelen;Malines ;82961;65187751;2
BE212;n.a.;12026;no;Nijlen;Nijlen;22222;39091325;2
BE212;n.a.;12029;no;Putte ;Putte ;16940;34955804;2
BE212;n.a.;12030;no;Puurs ;Puurs ;16940;33411147;2
BE212;n.a.;12034;no;Sint-Amands ;Sint-Amands ;8129;15575837;2
BE212;n.a.;12035;no;Sint-Katelijne-Waver;Sint-Katelijne-Waver;20444;36116313;2
BE212;n.a.;12040;no;Willebroek;Willebroek;25134;27405375;2
BE213;n.a.;13001;no;Arendonk;Arendonk;13344;55382004;2
BE213;n.a.;13002;no;Baarle-Hertog ;Baerle-Duc;2639;7478767;3
BE213;n.a.;13003;no;Balen ;Balen ;21804;72881801;2
BE213;n.a.;13004;no;Beerse;Beerse;17362;37479848;2
BE213;n.a.;13006;no;Dessel;Dessel;9295;27030251;2
BE213;n.a.;13008;no;Geel;Geel;38163;109851111;2
BE213;n.a.;13010;no;Grobbendonk ;Grobbendonk ;11038;28356456;2
BE213;n.a.;13011;no;Herentals ;Herentals ;27571;48560722;2
BE213;n.a.;13012;no;Herenthout;Herenthout;8804;23550558;2
BE213;n.a.;13013;no;Herselt ;Herselt ;14408;52319234;2
BE213;n.a.;13014;no;Hoogstraten ;Hoogstraten ;20595;105318425;3
BE213;n.a.;13016;no;Hulshout;Hulshout;10193;17345510;2
BE213;n.a.;13017;no;Kasterlee ;Kasterlee ;17990;71519979;3
BE213;n.a.;13019;no;Lille ;Lille ;16401;59398481;3
BE213;n.a.;13021;no;Meerhout;Meerhout;9975;36287185;2
BE213;n.a.;13023;no;Merksplas ;Merksplas ;8862;44559709;2
BE213;n.a.;13025;no;Mol ;Mol ;35191;114256076;2
BE213;n.a.;13029;no;Olen;Olen;12038;23174724;2
BE213;n.a.;13031;no;Oud-Turnhout;Oud-Turnhout;12979;38795625;2
BE213;n.a.;13035;no;Ravels;Ravels;14565;94992548;3
BE213;n.a.;13036;no;Retie ;Retie ;10864;48389051;2
BE213;n.a.;13037;no;Rijkevorsel ;Rijkevorsel ;11544;46785833;2
BE213;n.a.;13040;no;Turnhout;Turnhout;42195;56063795;2
BE213;n.a.;13044;no;Vorselaar ;Vorselaar ;7710;27622103;3
BE213;n.a.;13046;no;Vosselaar ;Vosselaar ;10726;11848002;2
BE213;n.a.;13049;no;Westerlo;Westerlo;24539;55125816;2
BE213;n.a.;13053;no;Laakdal ;Laakdal ;15612;42484133;2
