"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Gillis","BE100_21013","48539","2.52","19225.36"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Vorst","BE100_21007","35070","6.25","5612.88"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Ganshoren","BE100_21008","29612","2.46","12060.84"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Watermaal-Bosvoorde","BE100_21017","21249","12.93","1643.00"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Lambrechts-Woluwe","BE100_21018","48565","7.22","6721.95"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Pieters-Woluwe","BE100_21019","49315","8.85","5571.44"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Schaarbeek","BE100_21015","64714","8.14","7950.16"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Joost-ten-Node","BE100_21014","22467","1.14","19668.26"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Etterbeek","BE100_21005","34384","3.15","10917.90"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Evere","BE100_21006","20573","5.02","4099.75"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Agatha-Berchem","BE100_21003","17604","2.95","5968.36"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Oudergem","BE100_21002","28879","9.03","3196.90"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Brussel","BE100_21004","163438","32.61","5012.52"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Anderlecht","BE100_21001","101377","17.74","5713.27"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Elsene","BE100_21009","59555","6.34","9386.69"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Jette","BE100_21010","34219","5.04","6785.00"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Koekelberg","BE100_21011","0","1.17","0.00"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Sint-Jans-Molenbeek","BE100_21012","27284","5.89","4630.85"
"Brussels","BE1","Brussels","BE10","Arrondissement of Brussels-Capital","BE100","Arrondissement of Brussels-Capital","BE100","Ukkel","BE100_21016","90830","22.91","3964.65"
"Flanders","BE2","Antwerp","BE21","Arrondissement of Antwerp","BE211","Arrondissement of Antwerp","BE211","Boom","BE211_11005","16524","7.37","2243.47"
"Flanders","BE2","Antwerp","BE21","Arrondissement of Antwerp","BE211","Arrondissement of Antwerp","BE211","Hemiksem","BE211_11018","8214","5.44","1510.43"
"Flanders","BE2","Antwerp","BE21","Arrondissement of Antwerp","BE211","Arrondissement of Antwerp","BE211","Schelle","BE211_11038","8926","7.80","1144.50"
"Flanders","BE2","Antwerp","BE21","Arrondissement of Antwerp","BE211","Arrondissement of Antwerp","BE211","Zandhoven","BE211_11054","11579","40.10","288.75"
"Flanders","BE2","Antwerp","BE21","Arrondissement of Antwerp","BE211","Arrondissement of Antwerp","BE211","Aartselaar","BE211_11001","15940","10.93","1458.89"
