"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Akatsievo","BG311_00179","81","3.486","23.24"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Archar","BG311_00672","2296","54.418","42.19"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Antimovo","BG311_00919","503","11.96","42.06"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Baley","BG311_02395","381","10.445","36.48"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Bela","BG311_03263","106","0.785","135.03"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Bela Rada","BG311_03280","526","5.569","94.45"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Belogradchik","BG311_03616","5013","0.234","21423.08"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Belo pole","BG311_03678","726","30.656","23.68"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Boynitsa","BG311_05195","430","42.939","10.01"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Borilovets","BG311_05428","140","10.229","13.69"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Borovitsa","BG311_05582","149","3.533","42.17"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","N/A","BG311_05788","0","0","0"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Botevo","BG311_05832","62","4.937","12.56"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Boyanovo","BG311_05997","11","6.01","1.83"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Brankovtsi","BG311_06121","94","0.609","154.35"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Bregovo","BG311_06224","2431","46.476","52.31"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Bukovets","BG311_06954","614","18.15","33.83"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Veshtitsa","BG311_10937","73","11.04","6.61"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Vidin","BG311_10971","50556","60.56","834.81"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Novo selo","VID30","Vinarovo","BG311_11079","877","22.36","39.22"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Vladichentsi","BG311_11497","97","7.13","13.6"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Vodna","BG311_11720","124","20.16","6.15"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Vodnyantsi","BG311_11778","310","25.65","12.09"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Voynitsa","BG311_11925","133","14.7","9.05"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Vrav","BG311_12317","487","27.57","17.66"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Valchek","BG311_12557","97","12.69","7.64"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Varba","BG311_12632","29","8.65","3.35"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Varbovo","BG311_12797","145","46.59","3.11"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Varbovchets","BG311_12824","113","8.25","13.7"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Vartop","BG311_12958","125","15.73","7.95"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Gaytantsi","BG311_14369","131","15.29","8.57"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Oreshets","BG311_14489","897","35.69","25.13"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","General Marinovo","BG311_14698","283","8.47","33.41"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Golemanovo","BG311_15415","155","49.59","3.13"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Gomotartsi","BG311_15998","898","26.18","34.3"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Gorni Lom","BG311_16571","792","109.67","7.22"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Gradets","BG311_17422","1661","48.66","34.13"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Gradskovski kolibi","BG311_17614","63","11.41","5.52"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Gramada","BG311_17645","1758","71.25","24.67"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Granitovo","BG311_17734","94","26.17","3.59"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Granichak","BG311_17765","7","10.36","0.68"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Gamzovo","BG311_18304","900","25.25","35.64"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Gyurgich","BG311_18486","306","36.28","8.43"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Deleyna","BG311_20568","352","22.49","15.65"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Dimovo","BG311_21097","1263","16.79","75.22"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Dinkovitsa","BG311_21186","171","8.74","19.57"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Dinkovo","BG311_21193","179","11.21","15.97"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Dolni Boshnyak","BG311_22318","82","6.79","12.08"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Dolni Lom","BG311_22424","258","44.2","5.84"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Drazhintsi","BG311_23515","250","14.2","17.61"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Drenovets","BG311_23672","1637","66.22","24.72"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Druzhba","BG311_23786","237","16.11","14.71"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Dunavtsi","BG311_24061","2923","35.42","82.52"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Dabravka","BG311_24431","239","19.37","12.34"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Dalgo pole","BG311_24579","51","8.51","5.99"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Darzhanitsa","BG311_24640","141","15.35","9.19"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Zheglitsa","BG311_29043","213","12.06","17.66"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Ivanovtsi","BG311_32130","76","6.84","11.11"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Izvor","BG311_32370","324","33.35","9.72"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Izvor mahala","BG311_32439","134","29.23","4.58"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Inovo","BG311_32754","823","23.95","34.36"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Kalenik","BG311_35328","323","13.55","23.84"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Kalina","BG311_35384","33","2.98","11.07"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Kanits","BG311_36049","7","7.94","0.88"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Kapitanovtsi","BG311_36141","1021","15.92","64.13"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Karbintsi","BG311_36440","276","32.49","8.49"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Kireevo","BG311_36885","281","36.44","7.71"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Kladorub","BG311_37188","50","12.44","4.02"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Kosovo","BG311_38772","482","17.83","27.03"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Kosta Perchevo","BG311_38858","154","18.79","8.2"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Kostichovtsi","BG311_38995","126","24.59","5.12"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Koshava","BG311_39147","511","14.45","35.36"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Krachimir","BG311_39606","11","28.29","0.39"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Kudelin","BG311_40441","373","5.14","72.57"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Kula","BG311_40525","3527","71.52","49.31"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Kutovo","BG311_41263","1302","24.19","53.82"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Lagoshevtsi","BG311_43027","103","20.26","5.08"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Mayor Uzunovo","BG311_46111","350","11.41","30.67"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Makresh","BG311_46245","530","42.62","12.44"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Mali Drenovets","BG311_46320","103","13.47","7.65"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Medeshevtsi","BG311_47583","129","19.75","6.53"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Medovnitsa","BG311_47648","313","21.62","14.48"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Milchina laka","BG311_48266","76","17.81","4.27"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Novo selo","VID30","Negovanovtsi","BG311_51264","780","16.28","47.91"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Novo selo","VID30","Novo selo","BG311_52180","1173","55.53","21.12"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Novoseltsi","BG311_52283","881","10.33","85.29"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Oreshets","BG311_53758","9","0.34","26.47"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Ostrokaptsi","BG311_54434","107","10.34","10.35"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Oshane","BG311_54517","105","21.12","4.97"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Perilovets","BG311_55868","88","10.13","8.69"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Guzelia","BG311_56252","23","8.1","2.84"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Plakuder","BG311_56616","86","7.1","12.11"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Pleshivets","BG311_56753","306","27.99","10.93"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Podgore","BG311_56980","341","60.89","5.6"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Pokrayna","BG311_57131","1447","16.9","85.62"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Poletkovtsi","BG311_57193","65","8.34","7.79"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Prauzhda","BG311_58092","118","26","4.54"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Prolaznitsa","BG311_58582","20","10.08","1.98"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Protopopintsi","BG311_58671","102","11.73","8.7"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Rabisha","BG311_61011","345","27.79","12.41"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Rabrovo","BG311_61039","538","39.34","13.68"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Rakovitsa","BG311_62044","621","65.22","9.52"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Rayanovtsi","BG311_62339","115","54.2","2.12"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Replyana","BG311_62493","224","24.35","9.2"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Roglets","BG311_62791","28","0.15","186.67"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Ruzhintsi","BG311_63255","968","23.73","40.79"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Ruptsi","BG311_63358","131","9.71","13.49"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Rakitnitsa","BG311_63700","511","18.94","26.98"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Salash","BG311_65173","233","55.64","4.19"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Septemvriytsi","BG311_66278","277","18.02","15.37"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Tsar Simeonovo","BG311_66442","145","13.44","10.79"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Sinagovtsi","BG311_66473","503","20.64","24.37"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Skomlya","BG311_66843","39","10.12","3.85"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Slana bara","BG311_67180","496","13.29","37.32"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Slanotran","BG311_67194","589","18.21","32.34"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Slivovnik","BG311_67400","31","7.49","4.14"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Sratsimirovo","BG311_68268","62","14.12","4.39"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Sredogriv","BG311_68518","154","23.89","6.45"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Stakevtsi","BG311_68655","230","80.17","2.87"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Staropatitsa","BG311_69002","427","47.69","8.95"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Struindol","BG311_69910","27","11.17","2.42"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Bregovo","VID06","Tiyanovtsi","BG311_72518","180","16.49","10.92"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Tolovitsa","BG311_72638","66","16.06","4.11"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Topolovets","BG311_72775","398","16.63","23.93"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Gramada","VID15","Toshevtsi","BG311_72919","241","32.63","7.39"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Targovishte","BG311_73612","174","26.16","6.65"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Vidin","VID09","Tarnyane","BG311_73746","174","5.58","31.18"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Topolovets","BG311_73924","258","13.98","18.45"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Novo selo","VID30","Florentin","BG311_76145","435","14.56","29.88"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Halovski kolibi","BG311_77133","0","1.27","0"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Tsar-Petrovo","BG311_78224","429","51.15","8.39"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Rujintsi","VID33","Cherno pole","BG311_81247","309","30.3","10.2"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Belogradchik","VID01","Chiflik","BG311_81459","134","10.68","12.55"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Kula","VID22","Chichil","BG311_81503","98","22.34","4.39"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Chuprene","VID37","Chuprene","BG311_81757","613","76.65","8"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Shipikova mahala","BG311_83185","2","2.45","0.82"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Shipot","BG311_83239","190","14","13.57"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Boynitsa","VID03","Shishentsi","BG311_83329","173","31.97","5.41"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Makresh","VID25","Tsar Shishmanovo","BG311_83363","182","20.84","8.73"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Yanyovets","BG311_87477","17","17.01","1"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Dimovo","VID16","Yarlovitsa","BG311_87549","150","21.17","7.09"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Vidin Province","BG311","Novo selo","VID30","Yasen","BG311_87583","306","14.52","21.07"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Medkovets","MON26","Asparuhovo","BG312_00792","491","0.416","1180.29"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Berkovitsa","MON02","Balyuvitsa","BG312_02542","53","8.321","6.37"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Montana","MON29","Bezdenitsa","BG312_03201","322","18.936","17"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Boychinovtsi","MON04","Beli breg","BG312_03383","86","17.157","5.01"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Boychinovtsi","MON04","Beli brod","BG312_03397","215","15.47","13.9"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Chiprovtsi","MON36","Belimel","BG312_03469","234","19.526","11.98"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Montana","MON29","Belotintsi","BG312_03722","406","44.286","9.17"
"Northern and Eastern Bulgaria","BG3","Northwestern","BG31","Montana Province","BG312","Montana","MON29","Dolno Belotintsi","BG312_03736","596","6.286","94.81"
