""nuts1_name"",""nuts1_code"",""nuts2_name"",""nuts2_code"",""nuts3_name"",""nuts3_code"",""lau1_name"",""lau1_code"",""lau2_name"",""lau2_code"",""population"",""territory"",""density""
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Bakar","HR031_00043","10401","143.29","72.59"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Baška","HR031_00086","1752","115.04","15.23"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Brod Moravice","HR031_00388","1251","72.51","17.25"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Cres","HR031_00523","3275","333.69","9.81"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Crikvenica","HR031_00531","11249","34.29","328.08"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Čabar","HR031_00558","4553","321.78","14.15"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Čavle","HR031_00612","6517","97.39","66.91"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Delnice","HR031_00698","8565","266.12","32.18"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Dobrinj","HR031_00744","8944","62.67","142.71"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Fužine","HR031_01171","2294","99.03","23.16"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Jelenje","HR031_01708","4625","124.87","37.04"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Kastav","HR031_01805","11291","13.33","847.04"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Klana","HR031_01864","2006","108.35","18.51"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Kraljevica","HR031_02097","4690","20.36","230.31"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Krk","HR031_02151","5234","127.5","41.05"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Lokve","HR031_02372","1261","48.82","25.83"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Lovran","HR031_02429","3611","23.07","156.51"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Mali Lošinj","HR031_02526","7923","260.63","30.4"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Malinska-Dubašnica","HR031_02534","2710","43.96","61.64"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Matulji","HR031_02615","8600","203.26","42.31"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Mošćenička Draga","HR031_02739","1688","51.98","32.47"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Mrkopalj","HR031_02755","2757","180.16","15.3"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Novi Vinodolski","HR031_02909","5969","300.16","19.89"
"Hrvatska","HR0","Jadranska Hrvatska","HR03","Primorsko-Goranska ","HR031","Primorsko-Goranska ","HR031","Omišalj","HR031_03018","3027","46.54","65.05"
