"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Czech Republic","CZ0","Prague","CZ01","Prague","CZ010","Praha","CZ0100","Praha","CZ010_554782","1170866","623.27","1878.58"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Vysoký Újezd","CZ020_513482","185","5.05","36.66"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Benešov","CZ020_529303","16115","58.51","275.44"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Bystřice","CZ020_529451","3770","78.77","47.86"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Čakov","CZ020_529478","110","6.69","16.45"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Čechtice","CZ020_529486","1416","48.97","28.91"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Čerčany","CZ020_529516","2604","7.68","339.05"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Červený Újezd","CZ020_529532","292","16.71","17.48"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Český Šternberk","CZ020_529541","153","7.02","21.8"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Čtyřkoly","CZ020_529567","384","3.57","107.57"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Divišov","CZ020_529621","1412","39.2","36.02"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Dolní Kralovice","CZ020_529648","829","21.34","38.85"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Heřmaničky","CZ020_529702","658","20.14","32.68"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Hulice","CZ020_529737","385","7.77","49.56"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Hvězdonice","CZ020_529745","317","1.65","191.59"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Chlum","CZ020_529770","144","5.16","27.92"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Chmelná","CZ020_529788","116","3.28","35.4"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Chocerady","CZ020_529796","1028","22.19","46.32"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Chotýšany","CZ020_529818","480","17.86","26.88"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Jankov","CZ020_529842","892","37.04","24.08"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Javorník","CZ020_529851","127","9.03","14.07"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Keblov","CZ020_529907","158","9.07","17.42"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Kondrac","CZ020_529931","533","15.16","35.16"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Kozmice","CZ020_529940","217","9.57","22.67"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Krhanice","CZ020_529958","646","16.93","38.17"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Krňany","CZ020_529974","345","15.76","21.9"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Křečovice","CZ020_529991","376","41.22","9.12"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Křivsoudov","CZ020_530000","389","16.93","22.98"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Kuňovice","CZ020_530026","75","4.19","17.9"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Lešany","CZ020_530051","837","18.03","46.42"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Libež","CZ020_530069","180","9.35","19.26"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Loket","CZ020_530093","450","29.02","15.5"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Louňovice pod Blaníkem","CZ020_530107","664","22.02","30.16"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Maršovice","CZ020_530115","609","30.02","20.29"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Mezno","CZ020_530158","358","20.48","17.48"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Miličín","CZ020_530166","832","29.72","28"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Miřetice","CZ020_530174","161","3.09","52.04"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Mnichovice","CZ020_530191","214","11.39","18.79"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Mrač","CZ020_530204","583","7.73","75.38"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Načeradec","CZ020_530212","1065","60.52","17.6"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Nespeky","CZ020_530263","418","6.84","61.14"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Netvořice","CZ020_530298","1051","21.87","48.05"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Neustupov","CZ020_530301","510","35.49","14.37"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Neveklov","CZ020_530310","2378","68.17","34.89"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Olbramovice","CZ020_530344","951","31.79","29.92"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Ostředek","CZ020_530352","290","16.2","17.9"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Petroupim","CZ020_530409","306","12.14","25.2"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Poříčí nad Sázavou","CZ020_530441","1064","11.43","93.13"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Postupice","CZ020_530450","947","48.98","19.34"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Pravonín","CZ020_530476","550","24.29","22.64"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Přestavlky u Čerčan","CZ020_530492","261","8.2","31.85"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Psáře","CZ020_530514","110","10.39","10.59"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Rabyně","CZ020_530522","236","19.51","12.09"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Radošovice","CZ020_530531","294","9.63","30.53"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Rataje","CZ020_530549","6","5.74","1.04"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Smilkov","CZ020_530611","265","14.3","18.53"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Soběhrdy","CZ020_530638","419","13.22","31.69"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Struhařov","CZ020_530689","643","27.27","23.58"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Střezimíř","CZ020_530701","313","10.36","30.2"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Studený","CZ020_530719","88","5.47","16.08"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Bílkovice","CZ020_530743","185","7.21","25.67"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Tehov","CZ020_530751","247","12.04","20.51"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Teplýšovice","CZ020_530760","365","12.81","28.5"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Tichonice","CZ020_530778","107","12.8","8.36"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Trhový Štěpánov","CZ020_530816","1163","36.04","32.27"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Týnec nad Sázavou","CZ020_530841","5180","31.16","166.22"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Veliš","CZ020_530867","335","15.1","22.18"
"Czech Republic","CZ0","Střední Čechy","CZ02","Central Bohemian Region","CZ020","Okres Benešov","CZ0201","Vlašim","CZ020_530883","7566","52.18","145"
