"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Helligånds Sogn","DK011_7002","6327","0.61","10397.7"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Trinitatis Sogn","DK011_7003","3717","0.59","6300"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Bethlehem Sogn","DK011_7011","2934","0.08","36675"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Valby Sogn","DK011_7024","15539","0.65","23985.86"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Johannes Døbers Sogn","DK011_7025","9600","1.55","6180.91"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Timotheus Sogn","DK011_7026","8232","1.03","8023.31"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Vigerslev Sogn","DK011_7027","8898","1.54","5795.12"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Aalholm Sogn","DK011_7028","9413","1.11","8449.12"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Margrethe Sogn","DK011_7030","3816","1.02","3752.99"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Holmens Sogn","DK011_7036","2973","0.46","6463.04"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Garnisons Sogn","DK011_7037","3308","0.47","7038.29"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Frederiks Sogn","DK011_7038","3519","0.14","25135.71"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sankt Pauls Sogn","DK011_7039","8485","0.22","38977.44"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Østervold Sogn","DK011_7040","6957","0.26","26757.69"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Kastels Sogn","DK011_7041","1748","1.26","1386.01"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Rosenvænget Sogn","DK011_7043","18878","0.26","73503.87"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sankt Jakobs Sogn","DK011_7044","14177","0.66","21453.97"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Hans Egedes Sogn","DK011_7046","17203","0.2","84710.46"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Anna Sogn","DK011_7050","7684","0.15","51226.66"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sankt Stefans Sogn","DK011_7051","13013","0.32","40665.62"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Kingo-Samuel Sogn","DK011_7053","20281","0.71","28723.37"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Aldersro Sogn","DK011_7054","10131","0.64","15853.72"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Kildevælds Sogn","DK011_7055","10793","0.44","24529.54"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sions Sogn","DK011_7056","13408","2.4","5595.34"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Hyltebjerg Sogn","DK011_7057","13050","1.91","6829.28"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Vanløse Sogn","DK011_7058","9575","2.11","4533.62"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Advents Sogn","DK011_7059","6877","0.98","7020.43"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Grøndals Sogn","DK011_7060","9022","0.92","9806.52"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Ansgarkirkens Sogn","DK011_7061","8461","0.49","17174.12"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Kapernaums Sogn","DK011_7062","13971","0.49","28607.99"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Tagensbo Sogn","DK011_7063","10915","0.4","27448.07"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Bispebjerg Sogn","DK011_7064","6804","1.55","4383.15"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Emdrup Sogn","DK011_7065","4674","1.35","3452.27"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Lundehus Sogn","DK011_7066","4289","1.38","3108.67"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Husum Sogn","DK011_7067","10104","1.95","5169.29"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Brønshøj Sogn","DK011_7068","13792","1.63","8479.3"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Husumvold Sogn","DK011_7070","2356","2.17","1084.38"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Islands Brygges Sogn","DK011_7080","7098","2.69","2635.05"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Christians Sogn","DK011_7081","2932","0.47","6301.99"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Vor Frelsers Sogn","DK011_7082","14643","4.84","3028.33"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Nathanaels Sogn","DK011_7083","15789","0.22","71340.14"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sundby Sogn","DK011_7084","18352","1.18","15522.68"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Allehelgens Sogn","DK011_7085","11397","0.99","11512.12"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Filips Sogn","DK011_7086","12769","0.54","23705.56"
"Denmark","DK0","Region Hovedstaden","DK01","Byen København","DK011","København","101","Sundkirkens Sogn","DK011_7087","4129","1.31","3162.29"
