code,name
011,Helsinki
012,Lohja
013,Tammisaari
021,Åboland-Turunmaa
022,Salo
023,Turku
024,Vakka-Suomi
025,Loimaa
051,Hämeenlinna
052,Riihimäki
053,Forssa
071,Lahti
072,Heinola
081,Kouvola
082,Kotka-Hamina
091,Lappeenranta
092,Länsi-Saimaa
093,Imatra
201,Porvoo
202,Loviisa
041,Rauma
043,Pori
044,Pohjois-Satakunta
061,Luoteis-Pirkanmaa
062,Kaakkois-Pirkanmaa
063,Etelä-Pirkanmaa
064,Tampere
068,Lounais-Pirkanmaa
069,Ylä-Pirkanmaa
131,Jyväskylä
132,Joutsa
133,Keuruu
134,Jämsä
135,Äänekoski
138,Saarijärvi-Viitasaari
141,Suupohja
142,Seinäjoki
143,Eteläiset seinänaapurit
144,Kuusiokunnat
145,Härmänmaa
146,Järviseutu
151,Kyrönmaa
152,Vaasa
153,Sydösterbottens kustregion
154,Jakobstadsregionen
101,Mikkeli
102,Juva
103,Savonlinna
105,Pieksämäki
111,Ylä-Savo
112,Kuopio
113,Koillis-Savo
114,Varkaus
115,Sisä-Savo
122,Joensuu
124,Keski-Karjala
125,Pielisen Karjala
181,Kehys-Kainuu
182,Kajaani
161,Kaustinen
162,Kokkola
171,Oulu
173,Oulunkaari
174,Raahe
175,Siikalatva
176,Nivala-Haapajärvi
177,Ylivieska
178,Koillismaa
191,Rovaniemi
192,Kemi-Tornio
193,Torniolaakso
194,Itä-Lappi
196,Tunturi-Lappi
197,Pohjois-Lappi
211,Mariehamns stad
212,Ålands landsbygd
213,Ålands skärgård
014,Raseborg
