nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Mainland Finland,FI1,West Finland,FI19,Central Finland,FI193
Mainland Finland,FI1,West Finland,FI19,Southern Ostrobothnia,FI194
Mainland Finland,FI1,West Finland,FI19,Ostrobothnia,FI195
Mainland Finland,FI1,West Finland,FI19,Satakunta,FI196
Mainland Finland,FI1,West Finland,FI19,Pirkanmaa,FI197
Mainland Finland,FI1,Helsinki-Uusimaa,FI1B,Helsinki-Uusimaa,FI1B1
Mainland Finland,FI1,South Finland,FI1C,Southwest Finland,FI1C1
Mainland Finland,FI1,South Finland,FI1C,Kanta-Häme,FI1C2
Mainland Finland,FI1,South Finland,FI1C,Päijät-Häme,FI1C3
Mainland Finland,FI1,South Finland,FI1C,Kymenlaakso,FI1C4
Mainland Finland,FI1,South Finland,FI1C,South Karelia,FI1C5
Mainland Finland,FI1,North & East Finland,FI1D,Etelä-Savo,FI1D1
Mainland Finland,FI1,North & East Finland,FI1D,Pohjois-Savo,FI1D2
Mainland Finland,FI1,North & East Finland,FI1D,North Karelia,FI1D3
Mainland Finland,FI1,North & East Finland,FI1D,Kainuu,FI1D4
Mainland Finland,FI1,North & East Finland,FI1D,Central Ostrobothnia,FI1D5
Mainland Finland,FI1,North & East Finland,FI1D,Northern Ostrobothnia,FI1D6
Mainland Finland,FI1,North & East Finland,FI1D,Lapland,FI1D7
Åland,FI2,Åland,FI20,Åland,FI200
