NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA
FI131;103;046;no;Enonkoski;Enonkoski;1617;419250000
FI131;103;090;no;Heinävesi;Heinävesi;3975;1319120000
FI131;101;097;no;Hirvensalmi;Hirvensalmi;2436;746590000
FI131;105;171;no;Joroinen;Jorois;5423;711760000
FI131;105;178;no;Juva;Juva;7064;1345620000
FI131;101;213;no;Kangasniemi;Kangasniemi;6024;1326750000
FI131;103;246;no;Kerimäki;Kerimäki;5658;876490000
FI131;101;491;no;Mikkeli;S:t Michel;48688;2124620000
FI131;101;507;no;Mäntyharju;Mäntyharju;6475;1210810000
FI131;101;588;no;Pertunmaa;Pertunmaa;1983;454190000
FI131;105;593;no;Pieksämäki;Pieksämäki;20151;1836400000
FI131;103;618;no;Punkaharju;Punkaharju;3804;748150000
FI131;101;623;no;Puumala;Puumala;2549;1237830000
FI131;105;681;no;Rantasalmi;Rantasalmi;4076;925850000
FI131;101;696;no;Ristiina;Ristiina;4938;742020000
FI131;103;740;no;Savonlinna;Nyslott;27742;1973350000
FI131;103;768;no;Sulkava;Sulkava;2965;769330000
FI132;111;140;no;Iisalmi;Idensalmi;22169;872140000
FI132;113;174;no;Juankoski;Juankoski;5273;586350000
FI132;113;204;no;Kaavi;Kaavi;3429;789670000
FI132;112;227;no;Karttula;Karttula;3509;588750000
FI132;111;239;no;Keitele;Keitele;2563;578410000
FI132;111;263;no;Kiuruvesi;Kiuruvesi;9318;1422910000
FI132;112;297;no;Kuopio;Kuopio;92626;1728530000
FI132;111;402;no;Lapinlahti;Lapinlahti;7525;711950000
FI132;114;420;no;Leppävirta;Leppävirta;10633;1519770000
FI132;112;476;no;Maaninka;Maaninka;3870;575150000
FI132;113;534;no;Nilsiä;Nilsiä;6521;847770000
FI132;111;595;no;Pielavesi;Pielavesi;5147;1406580000
FI132;115;686;no;Rautalampi;Rautalampi;3520;761980000
FI132;113;687;no;Rautavaara;Rautavaara;1918;1235110000
FI132;112;749;no;Siilinjärvi;Siilinjärvi;20964;507860000
FI132;111;762;no;Sonkajärvi;Sonkajärvi;4694;1576820000
FI132;115;778;no;Suonenjoki;Suonenjoki;7611;862350000
FI132;115;844;no;Tervo;Tervo;1744;494180000
FI132;113;857;no;Tuusniemi;Tuusniemi;2864;699540000
FI132;114;915;no;Varkaus;Varkaus;22935;524550000
FI132;111;916;no;Varpaisjärvi;Varpaisjärvi;2952;533200000
FI132;111;925;no;Vieremä;Vieremä;3985;973390000
FI133;122;146;no;Ilomantsi;Ilomants;6022;3172910000
FI133;122;167;no;Joensuu;Joensuu;72704;2751130000
FI133;122;176;no;Juuka;Juuka;5705;1846650000
FI133;124;248;no;Kesälahti;Kesälahti;2460;583090000
FI133;124;260;no;Kitee;Kitee;9401;1141320000
FI133;122;276;no;Kontiolahti;Kontiolahti;13677;1029830000
FI133;122;309;no;Outokumpu;Outokumpu;7492;584100000
FI133;125;422;no;Lieksa;Lieksa;12788;4067650000
FI133;122;426;no;Liperi;Liperi;12133;1161240000
FI133;125;541;no;Nurmes;Nurmes;8573;1854870000
FI133;122;607;no;Polvijärvi;Polvijärvi;4821;958380000
FI133;124;707;no;Rääkkylä;Rääkkylä;2625;699690000
FI133;124;848;no;Tohmajärvi;Tohmajärvi;5079;895360000
FI133;125;911;no;Valtimo;Valtimo;2482;838190000
FI133;115;921;no;Vesanto;Vesanto;2412;569750000
FI134;181;105;no;Hyrynsalmi;Hyrynsalmi;2791;1521510000
FI134;182;205;no;Kajaani;Kajana;38211;2264040000
FI134;181;290;no;Kuhmo;Kuhmo;9636;5456880000
FI134;182;578;no;Paltamo;Paltamo;3917;1139110000
FI134;181;620;no;Puolanka;Puolanka;3123;2598930000
FI134;182;697;no;Ristijärvi;Ristijärvi;1521;898020000
FI134;182;765;no;Sotkamo;Sotkamo;10703;2952490000
FI134;181;777;no;Suomussalmi;Suomussalmi;9332;5857940000
FI134;182;785;no;Vaala;Vaala;3400;1763930000
FI181;011;049;no;Espoo;Esbo;244330;528160000
FI181;014;078;no;Hanko;Hangö;9597;800220000
FI181;011;091;no;Helsinki;Helsingfors;583350;715550000
FI181;011;092;no;Vantaa;Vanda;197636;240360000
FI181;011;106;no;Hyvinkää;Hyvinge;45270;336780000
FI181;014;149;no;Inkoo;Ingå;5609;954070000
FI181;011;186;no;Järvenpää;Träskända;38708;39950000
FI181;011;223;no;Karjalohja;Karislojo;1504;163400000
FI181;011;224;no;Karkkila;Högfors;9109;255320000
FI181;011;235;no;Kauniainen;Grankulla;8617;6000000
FI181;011;245;no;Kerava;Kervo;33833;30790000
FI181;011;257;no;Kirkkonummi;Kyrkslätt;36509;1016010000
FI181;011;444;no;Lohja;Lojo;39334;441200000
FI181;011;505;no;Mäntsälä;Mäntsälä;19747;596170000
FI181;011;540;no;Nummi-Pusula;Nummi-Pusula;6125;505140000
FI181;011;543;no;Nurmijärvi;Nurmijärvi;39628;367260000
FI181;011;611;no;Pornainen;Borgnäs;5067;150110000
FI181;014;710;no;Raasepori;Raseborg;28944;2354220000
FI181;011;755;no;Siuntio;Sjundeå;6024;266130000
FI181;011;858;no;Tuusula;Tusby;36766;225480000
FI181;011;927;no;Vihti;Vichtis;27869;567080000
FI182;201;018;no;Askola;Askola;4831;218070000
FI182;202;407;no;Lapinjärvi;Lappträsk;2926;339360000
FI182;202;434;01.01.2010;Loviisa;Lovisa;15549;1751580000
FI182;201;504;no;Myrskylä;Mörskom;2021;206360000
FI182;201;616;no;Pukkila;Pukkila;2004;145960000
FI182;201;638;no;Porvoo;Borgå;48599;2139460000
FI182;201;753;no;Sipoo;Sibbo;18036;698680000
FI183;025;019;no;Aura;Aura;3840;95590000
FI183;023;202;no;Kaarina;S:t Karins;30760;179520000
FI183;025;284;no;Koski Tl;Koski Tl;2450;192430000
FI183;024;304;no;Kustavi;Gustavs;881;769890000
FI183;021;322;no;Kemiönsaari;Kimitoön;7298;2801330000
FI183;024;400;no;Laitila;Laitila;8442;545360000
FI183;023;423;no;Lieto;Lundo;16011;200200000
FI183;025;430;no;Loimaa;Loimaa;17005;852010000
FI183;021;445;no;Länsi-Turunmaa;Väståboland;15490;5548480000
FI183;025;480;no;Marttila;Marttila;2019;196000000
FI183;023;481;no;Masku;Masku;9516;254100000
FI183;023;503;no;Mynämäki;Mynämäki;8039;536130000
FI183;023;529;no;Naantali;Nådendal;18544;638080000
FI183;023;538;no;Nousiainen;Nousis;4824;199450000
FI183;025;561;no;Oripää;Oripää;1403;117740000
FI183;023;577;no;Paimio;Pemar;10334;242280000
FI183;024;631;no;Pyhäranta;Pyhäranta;2233;291750000
FI183;025;636;no;Pöytyä;Pöytyä;8459;773810000
FI183;023;680;no;Raisio;Reso;24191;50060000
FI183;023;704;no;Rusko;Rusko;5822;127910000
FI183;022;734;no;Salo;Salo;54889;2168380000
FI183;023;738;no;Sauvo;Sagu;3040;299750000
FI183;022;761;no;Somero;Somero;9402;697690000
FI183;024;833;no;Taivassalo;Tövsala;1692;217670000
FI183;025;838;no;Tarvasjoki;Tarvasjoki;1970;102420000
FI183;023;853;no;Turku;Åbo;176087;306410000
FI183;024;895;no;Uusikaupunki;Nystad;15873;1932720000
FI183;024;918;no;Vehmaa;Vehmaa;2400;202100000
FI184;053;061;no;Forssa;Forssa;17807;253390000
FI184;051;082;no;Hattula;Hattula;9625;427390000
FI184;052;086;no;Hausjärvi;Hausjärvi;8826;398820000
FI184;053;103;no;Humppila;Humppila;2524;148600000
FI184;051;109;no;Hämeenlinna;Tavastehus;66455;2031600000
FI184;051;165;no;Janakkala;Janakkala;16795;586090000
FI184;053;169;no;Jokioinen;Jockis;5753;181950000
FI184;052;433;no;Loppi;Loppi;8244;655990000
FI184;052;694;no;Riihimäki;Riihimäki;28587;125570000
FI184;053;834;no;Tammela;Tammela;6628;715130000
FI184;053;981;no;Ypäjä;Ypäjä;2584;183260000
FI185;071;015;no;Artjärvi;Artsjö;1455;197330000
FI185;071;016;no;Asikkala;Asikkala;8551;755840000
FI185;071;081;no;Hartola;Hartola;3388;675430000
FI185;071;098;no;Hollola;Hollola;21845;531920000
FI185;071;111;no;Heinola;Heinola;20374;839340000
FI185;071;283;no;Hämeenkoski;Hämeenkoski;2126;195640000
FI185;071;316;no;Kärkölä;Kärkölä;4875;259340000
FI185;071;398;no;Lahti;Lahtis;100854;154600000
FI185;071;532;no;Nastola;Nastola;15065;362890000
FI185;071;560;no;Orimattila;Orimattila;14898;616970000
FI185;071;576;no;Padasjoki;Padasjoki;3448;729940000
FI185;071;781;no;Sysmä;Sysmä;4391;936290000
FI186;082;075;no;Hamina;Fredrikshamn;21483;1155170000
FI186;081;142;no;Iitti;Iitti;7061;687100000
FI186;082;285;no;Kotka;Kotka;54775;949740000
FI186;081;286;no;Kouvola;Kouvola;88174;2883320000
FI186;082;489;no;Miehikkälä;Miehikkälä;2278;440370000
FI186;082;624;no;Pyhtää;Pyttis;5316;780970000
FI186;082;935;no;Virolahti;Virolahti;3530;558940000
FI187;093;153;no;Imatra;Imatra;28676;191250000
FI187;091;405;01.01.2010;Lappeenranta;Villmanstrand;71814;1723760000
FI187;091;416;no;Lemi;Lemi;3041;262500000
FI187;091;441;no;Luumäki;Luumäki;5179;859840000
FI187;093;580;no;Parikkala;Parikkala;5885;760720000
FI187;093;689;no;Rautjärvi;Rautjärvi;4037;401920000
FI187;093;700;no;Ruokolahti;Ruokolahti;5733;1220040000
FI187;091;739;no;Savitaipale;Savitaipale;3957;690570000
FI187;091;775;no;Suomenniemi;Suomenniemi;809;362960000
FI187;091;831;no;Taipalsaari;Taipalsaari;4888;762020000
FI193;131;077;no;Hankasalmi;Hankasalmi;5514;687770000
FI193;132;172;no;Joutsa;Joutsa;5093;1066480000
FI193;131;179;no;Jyväskylä;Jyväskylä;129623;1466460000
FI193;134;182;no;Jämsä;Jämsä;22949;1824120000
FI193;138;216;no;Kannonkoski;Kannonkoski;1587;549710000
FI193;138;226;no;Karstula;Karstula;4564;963520000
FI193;133;249;no;Keuruu;Keuruu;10757;1430620000
FI193;138;256;no;Kinnula;Kinnula;1820;495750000
FI193;138;265;no;Kivijärvi;Kivijärvi;1365;599910000
FI193;135;275;no;Konnevesi;Konnevesi;2971;680970000
FI193;134;291;no;Kuhmoinen;Kuhmoinen;2589;936780000
FI193;138;312;no;Kyyjärvi;Kyyjärvi;1536;469620000
FI193;131;410;no;Laukaa;Laukaa;17975;825680000
FI193;132;435;no;Luhanka;Luhanka;834;313290000
FI193;133;495;no;Multia;Multia;1919;765650000
FI193;131;500;no;Muurame;Muurame;9231;194080000
FI193;131;592;no;Petäjävesi;Petäjävesi;3979;495450000
FI193;138;601;no;Pihtipudas;Pihtipudas;4613;1247620000
FI193;138;729;no;Saarijärvi;Saarijärvi;10666;1422860000
FI193;131;850;no;Toivakka;Toivakka;2379;413970000
FI193;131;892;no;Uurainen;Uurainen;3382;372300000
FI193;138;931;no;Viitasaari;Viitasaari;7195;1589260000
FI193;135;992;no;Äänekoski;Äänekoski;20243;1138510000
FI194;146;005;no;Alajärvi;Alajärvi;10573;1056760000
FI194;144;010;no;Alavus;Alavus;9395;842730000
FI194;146;052;no;Evijärvi;Evijärvi;2772;390730000
FI194;142;145;no;Ilmajoki;Ilmajoki;11744;579790000
FI194;141;151;no;Isojoki;Storå;2406;647470000
FI194;142;164;no;Jalasjärvi;Jalasjärvi;8277;830470000
FI194;141;218;no;Karijoki;Bötom;1529;186550000
FI194;141;232;no;Kauhajoki;Kauhajoki;14384;1315710000
FI194;142;233;no;Kauhava;Kauhava;17545;1328440000
FI194;144;300;no;Kuortane;Kuortane;3983;484890000
FI194;142;301;no;Kurikka;Kurikka;14626;913530000
FI194;146;403;no;Lappajärvi;Lappajärvi;3495;523730000
FI194;142;408;no;Lapua;Lappo;14326;750810000
FI194;142;743;no;Seinäjoki;Seinäjoki;57024;1469320000
FI194;146;759;no;Soini;Soini;2429;574240000
FI194;141;846;no;Teuva;Östermark;5962;556040000
FI194;144;863;no;Töysä;Töysä;3191;309670000
FI194;146;934;no;Vimpeli;Vimpeli;3298;328790000
FI194;144;989;no;Ähtäri;Etseri;6565;909970000
FI195;151;152;no;Isokyrö;Storkyro;4953;357030000
FI195;153;231;no;Kaskinen;Kaskö;1442;175360000
FI195;152;280;no;Korsnäs;Korsnäs;2239;1424720000
FI195;153;287;no;Kristiinankaupunki;Kristinestad;7254;1678990000
FI195;154;288;no;Kruunupyy;Kronoby;6720;752660000
FI195;151;399;no;Laihia;Laihela;7794;508420000
FI195;154;440;no;Luoto;Larsmo;4719;853610000
FI195;152;475;no;Maalahti;Malax;5614;1954940000
FI195;152;499;no;Mustasaari;Korsholm;18338;3178640000
FI195;153;545;no;Närpiö;Närpes;9464;2334170000
FI195;152;559;no;Oravainen;Oravais;2207;277090000
FI195;154;598;no;Pietarsaari;Jakobstad;19627;396300000
FI195;154;599;no;Pedersören kunta;Pedersöre;10821;826110000
FI195;154;893;no;Uusikaarlepyy;Nykarleby;7452;1675390000
FI195;152;905;no;Vaasa;Vasa;59175;397450000
FI195;151;942;no;Vähäkyrö;Lillkyro;4740;177680000
FI195;152;945;no;Vöyri-Maksamaa;Vörå-Maxmo;4479;1222940000
FI196;041;050;no;Eura;Eura;12554;630260000
FI196;041;051;no;Eurajoki;Euraåminne;5874;643790000
FI196;043;079;no;Harjavalta;Harjavalta;7548;127760000
FI196;044;099;no;Honkajoki;Honkajoki;1889;333070000
FI196;043;102;no;Huittinen;Huittinen;10700;539660000
FI196;044;181;no;Jämijärvi;Jämijärvi;2063;224350000
FI196;044;214;no;Kankaanpää;Kankaanpää;12224;705030000
FI196;044;230;no;Karvia;Karvia;2672;519870000
FI196;044;254;no;Kiikoinen;Kiikoinen;1270;144340000
FI196;043;271;no;Kokemäki;Kumo;8080;531340000
FI196;041;319;no;Köyliö;Kjulo;2852;259300000
FI196;044;413;no;Lavia;Lavia;2058;357800000
FI196;043;442;no;Luvia;Luvia;3315;861210000
FI196;043;484;no;Merikarvia;Sastmola;3411;1246250000
FI196;043;531;no;Nakkila;Nakkila;5716;184890000
FI196;043;608;no;Pomarkku;Påmark;2482;332070000
FI196;043;609;01.01.2010;Pori;Björneborg;82786;1704100000
FI196;041;684;no;Rauma;Raumo;39793;1110140000
FI196;044;747;no;Siikainen;Siikainen;1686;491370000
FI196;041;783;no;Säkylä;Säkylä;4721;268480000
FI196;043;886;no;Ulvila;Ulvsby;13692;422560000
FI197;063;020;no;Akaa;Akaa;14246;114670000
FI197;064;108;no;Hämeenkyrö;Tavastkyro;10436;505130000
FI197;061;143;no;Ikaalinen;Ikalis;7424;843510000
FI197;069;177;no;Juupajoki;Juupajoki;2116;274950000
FI197;064;211;no;Kangasala;Kangasala;28466;649800000
FI197;061;250;no;Kihniö;Kihniö;2257;390500000
FI197;062;289;no;Kuhmalahti;Kuhmalahti;1056;220670000
FI197;063;310;no;Kylmäkoski;Kylmäkoski;2612;199730000
FI197;064;418;no;Lempäälä;Lempäälä;20178;306920000
FI197;069;508;no;Mänttä-Vilppula;Mänttä-Vilppula;11496;657100000
FI197;064;536;no;Nokia;Nokia;31357;347770000
FI197;064;562;no;Orivesi;Orivesi;9634;960080000
FI197;061;581;no;Parkano;Parkano;7069;909760000
FI197;064;604;no;Pirkkala;Birkala;16515;104040000
FI197;068;619;no;Punkalaidun;Punkalaidun;3333;364040000
FI197;062;635;no;Pälkäne;Pälkäne;7012;738540000
FI197;069;702;no;Ruovesi;Ruovesi;5101;950160000
FI197;068;790;no;Sastamala;Sastamala;24476;1387690000
FI197;064;837;no;Tampere;Tammerfors;211507;689590000
FI197;063;887;no;Urjala;Urjala;5362;505390000
FI197;063;908;no;Valkeakoski;Valkeakoski;20631;372150000
FI197;064;922;no;Vesilahti;Vesilahti;4365;353950000
FI197;069;936;no;Virrat;Virdois;7612;1299090000
FI197;064;980;no;Ylöjärvi;Ylöjärvi;30175;1324100000
FI1A1;161;074;no;Halsua;Halsua;1323;428350000
FI1A1;162;217;no;Kannus;Kannus;5793;470650000
FI1A1;161;236;no;Kaustinen;Kaustby;4298;361120000
FI1A1;162;272;no;Kokkola;Karleby;45896;2730890000
FI1A1;161;421;no;Lestijärvi;Lestijärvi;860;559080000
FI1A1;161;584;no;Perho;Perho;2986;775200000
FI1A1;161;849;no;Toholampi;Toholampi;3493;616880000
FI1A1;161;924;no;Veteli;Vetil;3482;520900000
FI1A2;177;009;no;Alavieska;Alavieska;2776;253030000
FI1A2;176;069;no;Haapajärvi;Haapajärvi;7714;789170000
FI1A2;175;071;no;Haapavesi;Haapavesi;7396;1086270000
FI1A2;171;072;no;Hailuoto;Karlö;1019;1082700000
FI1A2;171;084;no;Haukipudas;Haukipudas;18654;1023680000
FI1A2;173;139;no;Ii;Ii;9294;2809470000
FI1A2;177;208;01.01.2010;Kalajoki;Kalajoki;12540;2391340000
FI1A2;171;244;no;Kempele;Kempele;15652;110360000
FI1A2;171;255;no;Kiiminki;Kiiminki;12966;339050000
FI1A2;178;305;no;Kuusamo;Kuusamo;16669;5808950000
