"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Hankasalmi","FI193_077","5448","687.77","7.92"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Joutsa","132","Joutsa","FI193_172","5173","1066.48","4.85"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Jyväskylä","FI193_179","122968","1466.46","83.85"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jämsä","134","Jämsä","FI193_182","23613","1824.12","12.94"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Kannonkoski","FI193_216","1613","549.71","2.93"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Karstula","FI193_226","4786","963.52","4.97"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Keuruu","133","Keuruu","FI193_249","11134","1430.62","7.78"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Kinnula","FI193_256","1900","495.75","3.83"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Kivijärvi","FI193_265","1414","599.91","2.36"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Äänekoski","135","Konnevesi","FI193_275","3075","680.97","4.52"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jämsä","134","Kuhmoinen","FI193_291","2747","936.78","2.93"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Kyyjärvi","FI193_312","1645","469.62","3.50"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Laukaa","FI193_410","15182","825.68","18.39"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Joutsa","132","Luhanka","FI193_435","870","313.29","2.78"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Keuruu","133","Multia","FI193_495","2002","765.65","2.61"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Muurame","FI193_500","8883","194.08","45.77"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Petäjävesi","FI193_592","3727","495.45","7.52"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Pihtipudas","FI193_601","4866","1247.62","3.90"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Saarijärvi","FI193_729","11030","1422.86","7.75"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Toivakka","FI193_850","2350","413.97","5.68"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Jyväskylä","131","Uurainen","FI193_892","3092","372.30","8.31"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Saarijärvi-Viitasaari","138","Viitasaari","FI193_931","7430","1589.26","4.68"
"Mainland Finland","FI1","West Finland","FI19","Central Finland","FI193","Äänekoski","135","Äänekoski","FI193_992","20249","1138.51","17.79"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Jalasjärvi","FI194_164","8475","830.47","10.21"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Suupohja","141","Bötom","FI194_218","1606","186.55","8.61"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Suupohja","141","Kauhajoki","FI194_232","14194","1315.71","10.79"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Järviseutu","146","Alajärvi","FI194_005","10663","1056.76","10.09"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Kuusiokunnat","144","Alavus","FI194_010","9517","842.73","11.29"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Järviseutu","146","Evijärvi","FI194_052","2896","390.73","7.41"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Ilmajoki","FI194_145","10946","579.79","18.88"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Suupohja","141","Storå","FI194_151","2543","647.47","3.93"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Kauhava","FI194_233","18270","1328.44","13.75"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Kuusiokunnat","144","Kuortane","FI194_300","4169","484.89","8.60"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Kurikka","FI194_301","14501","913.53","15.87"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Järviseutu","146","Lappajärvi","FI194_403","3683","523.73","7.03"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Lappo","FI194_408","13943","750.81","18.57"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Seinäjoki","142","Seinäjoki","FI194_743","53782","1469.32","36.60"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Järviseutu","146","Soini","FI194_759","2627","574.24","4.57"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Suupohja","141","Östermark","FI194_846","6184","556.04","11.12"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Kuusiokunnat","144","Töysä","FI194_863","3248","309.67","10.49"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Järviseutu","146","Vimpeli","FI194_934","3397","328.79","10.33"
"Mainland Finland","FI1","West Finland","FI19","Southern Ostrobothnia","FI194","Kuusiokunnat","144","Etseri","FI194_989","6835","909.97","7.51"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Vaasa","152","Korsholm","FI195_499","16954","3178.64","5.33"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Vaasa","152","Malax","FI195_475","5617","1954.94","2.87"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Vaasa","152","Vörå","FI195_946","6733","1499.91","4.49"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Kyrönmaa","151","Laihela","FI195_399","7556","508.42","14.86"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Kyrönmaa","151","Storkyro","FI195_152","5001","357.03","14.01"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Sydösterbottens kustregion","153","Kaskö","FI195_231","721","175.36","4.11"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Kyrönmaa","151","Lillkyro","FI195_942","3096","177.68","17.42"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Vaasa","152","Korsnäs","FI195_280","2236","1424.72","1.57"
"Mainland Finland","FI1","West Finland","FI19","Ostrobothnia","FI195","Jakobstadsregionen","154","Jakobstad","FI195_598","19508","396.30","49.23"
