lau1,lau1_name,lau2,lau2_name,type
9494,Champigny-sur-Marne,94017,Champigny-sur-Marne,com
1712,Loulay,17234,Migré,com
1712,Loulay,17139,Doeuil-sur-le-Mignon,com
1712,Loulay,17043,Bernay-Saint-Martin,com
1712,Loulay,17195,La Jarrie-Audouin,com
1712,Loulay,17137,La Croix-Comtesse,com
1712,Loulay,17213,Lozay,com
1712,Loulay,17474,Villeneuve-la-Comtesse,com
1712,Loulay,17211,Loulay,com
1712,Loulay,17114,Coivert,com
1712,Loulay,17361,Saint-Martial,com
1712,Loulay,17327,Saint-Félix,com
1712,Loulay,17384,Saint-Pierre-de-l'Isle,com
1712,Loulay,17464,Vergné,com
1712,Loulay,17401,Saint-Séverin-sur-Boutonne,com
1712,Loulay,17124,Courant,com
7623,Forges-les-Eaux,76672,Serqueux,com
7623,Forges-les-Eaux,76185,Compainville,com
7623,Forges-les-Eaux,76074,La Bellière,com
7623,Forges-les-Eaux,76505,Pommereux,com
7623,Forges-les-Eaux,76666,Saumont-la-Poterie,com
7623,Forges-les-Eaux,76535,Roncherolles-en-Bray,com
7623,Forges-les-Eaux,76332,Grumesnil,com
7623,Forges-les-Eaux,76393,Longmesnil,com
7623,Forges-les-Eaux,76420,Mauquenchy,com
7623,Forges-les-Eaux,76623,Saint-Michel-d'Halescourt,com
7623,Forges-les-Eaux,76343,Haucourt,com
7623,Forges-les-Eaux,76544,Rouvray-Catillon,com
7623,Forges-les-Eaux,76691,Le Thil-Riberpré,com
7623,Forges-les-Eaux,76295,Gaillefontaine,com
7623,Forges-les-Eaux,76060,Beaubec-la-Rosière,com
7623,Forges-les-Eaux,76432,Mesnil-Mauger,com
7623,Forges-les-Eaux,76261,La Ferté-Saint-Samson,com
7623,Forges-les-Eaux,76345,Haussez,com
7623,Forges-les-Eaux,76065,Beaussault,com
7623,Forges-les-Eaux,76277,Le Fossé,com
7623,Forges-les-Eaux,76276,Forges-les-Eaux,com
97318,Cayenne 5e  Canton Sud,97302,Cayenne,frac_com
1713,Marans,17208,Longèves,com
1713,Marans,17218,Marans,com
1713,Marans,17472,Villedoux,com
1713,Marans,17008,Andilly,com
1713,Marans,17376,Saint-Ouen-d'Aunis,com
1713,Marans,17091,Charron,com
1614,Confolens-Nord,16016,Ansac-sur-Vienne,com
1614,Confolens-Nord,16264,Pleuville,com
1614,Confolens-Nord,16205,Manot,com
1614,Confolens-Nord,16009,Ambernac,com
1614,Confolens-Nord,16164,Hiesse,com
1614,Confolens-Nord,16181,Lessac,com
1614,Confolens-Nord,16128,Épenède,com
1614,Confolens-Nord,16106,Confolens,frac_com
7624,Goderville,76650,Saint-Sauveur-d'Émalleville,com
7624,Goderville,76368,Houquetot,com
7624,Goderville,76304,Gonfreville-Caillot,com
7624,Goderville,76408,Manneville-la-Goupil,com
7624,Goderville,76425,Mentheville,com
7624,Goderville,76302,Goderville,com
7624,Goderville,76068,Bec-de-Mortagne,com
7624,Goderville,76695,Tocqueville-les-Murs,com
7624,Goderville,76033,Auberville-la-Renault,com
7624,Goderville,76012,Angerville-Bailleul,com
7624,Goderville,76076,Bénarville,com
7624,Goderville,76669,Sausseuzemare-en-Caux,com
7624,Goderville,76213,Daubeuf-Serville,com
7624,Goderville,76747,Virville,com
7624,Goderville,76603,Saint-Maclou-la-Brière,com
7624,Goderville,76317,Grainville-Ymauville,com
7624,Goderville,76725,Vattetot-sous-Beaumont,com
7624,Goderville,76224,Écrainville,com
7624,Goderville,76143,Bretteville-du-Grand-Caux,com
7624,Goderville,76141,Bréauté,com
7624,Goderville,76021,Annouville-Vilmesnil,com
7624,Goderville,76118,Bornambusc,com
97314,Sinnamary,97312,Sinnamary,com
97314,Sinnamary,97358,Saint-Élie,com
7233,Vibraye,72118,Dollon,com
7233,Vibraye,72032,Berfay,com
7233,Vibraye,72366,Valennes,com
7233,Vibraye,72373,Vibraye,com
7233,Vibraye,72333,Semur-en-Vallon,com
7233,Vibraye,72158,Lavaré,com
97312,Saint-Georges-Oyapoc,97356,Camopi,com
97312,Saint-Georges-Oyapoc,97308,Saint-Georges,com
97312,Saint-Georges-Oyapoc,97314,Ouanary,com
97313,Saint-Laurent-du-Maroni,97311,Saint-Laurent-du-Maroni,com
97310,Remire-Montjoly,97309,Remire-Montjoly,com
7625,Gournay-en-Bray,76218,Doudeauville,com
7625,Gournay-en-Bray,76208,Cuy-Saint-Fiacre,com
7625,Gournay-en-Bray,76124,Bosc-Hyons,com
7625,Gournay-en-Bray,76048,Avesnes-en-Bray,com
7625,Gournay-en-Bray,76463,Neuf-Marché,com
7625,Gournay-en-Bray,76142,Brémontier-Merval,com
7625,Gournay-en-Bray,76242,Ernemont-la-Villette,com
7625,Gournay-en-Bray,76423,Ménerval,com
7625,Gournay-en-Bray,76297,Gancourt-Saint-Étienne,com
7625,Gournay-en-Bray,76450,Montroty,com
7625,Gournay-en-Bray,76440,Molagnies,com
7625,Gournay-en-Bray,76312,Gournay-en-Bray,com
7625,Gournay-en-Bray,76260,Ferrières-en-Bray,com
7625,Gournay-en-Bray,76229,Elbeuf-en-Bray,com
7625,Gournay-en-Bray,76093,Bézancourt,com
7625,Gournay-en-Bray,76209,Dampierre-en-Bray,com
0140,Miribel,01043,Beynost,com
0140,Miribel,01418,Thil,com
0140,Miribel,01376,Saint-Maurice-de-Beynost,com
0140,Miribel,01275,Neyron,com
0140,Miribel,01249,Miribel,com
0141,Oyonnax-Sud,01237,Martignat,com
0141,Oyonnax-Sud,01181,Groissiat,com
0141,Oyonnax-Sud,01171,Géovreisset,com
0141,Oyonnax-Sud,01031,Bellignat,com
0141,Oyonnax-Sud,01283,Oyonnax,frac_com
0142,Reyrieux,01424,Tramoyes,com
0142,Reyrieux,01021,Ars-sur-Formans,com
0142,Reyrieux,01105,Civrieux,com
0142,Reyrieux,01423,Toussieux,com
0142,Reyrieux,01238,Massieux,com
0142,Reyrieux,01250,Misérieux,com
0142,Reyrieux,01362,Saint-Jean-de-Thurigneux,com
0142,Reyrieux,01248,Mionnay,com
0142,Reyrieux,01285,Parcieux,com
0142,Reyrieux,01353,Sainte-Euphémie,com
0142,Reyrieux,01318,Rancé,com
0142,Reyrieux,01333,Saint-André-de-Corcy,com
0142,Reyrieux,01322,Reyrieux,com
0143,Viriat,01344,Saint-Denis-lès-Bourg,com
0143,Viriat,01259,Montcet,com
0143,Viriat,01451,Viriat,com
0143,Viriat,01429,Vandeins,com
0143,Viriat,01301,Polliat,com
0143,Viriat,01065,Buellas,com
7626,Grand-Couronne,76131,La Bouille,com
7626,Grand-Couronne,76497,Petit-Couronne,com
7626,Grand-Couronne,76550,Sahurs,com
7626,Grand-Couronne,76457,Moulineaux,com
7626,Grand-Couronne,76634,Saint-Pierre-de-Manneville,com
7626,Grand-Couronne,76350,Hautot-sur-Seine,com
7626,Grand-Couronne,76319,Grand-Couronne,com
7626,Grand-Couronne,76717,Val-de-la-Haye,com
7626,Grand-Couronne,76322,Le Grand-Quevilly,frac_com
1344,Marseille-La Pointe-Rouge,13055,Marseille,frac_com
5412,Domèvre-en-Haye,54340,Mamey,com
5412,Domèvre-en-Haye,54343,Mandres-aux-Quatre-Tours,com
5412,Domèvre-en-Haye,54016,Andilly,com
5412,Domèvre-en-Haye,54404,Noviant-aux-Prés,com
5412,Domèvre-en-Haye,54346,Manoncourt-en-Woëvre,com
5412,Domèvre-en-Haye,54348,Manonville,com
5412,Domèvre-en-Haye,54019,Ansauville,com
5412,Domèvre-en-Haye,54057,Beaumont,com
5412,Domèvre-en-Haye,54272,Jaillon,com
5412,Domèvre-en-Haye,54239,Griscourt,com
5412,Domèvre-en-Haye,54318,Liverdun,com
5412,Domèvre-en-Haye,54370,Minorville,com
5412,Domèvre-en-Haye,54063,Bernécourt,com
5412,Domèvre-en-Haye,54160,Domèvre-en-Haye,com
5412,Domèvre-en-Haye,54355,Martincourt,com
5412,Domèvre-en-Haye,54584,Villey-Saint-Étienne,com
5412,Domèvre-en-Haye,54532,Tremblecourt,com
5412,Domèvre-en-Haye,54557,Velaine-en-Haye,com
5412,Domèvre-en-Haye,54573,Villers-en-Haye,com
5412,Domèvre-en-Haye,54248,Hamonville,com
5412,Domèvre-en-Haye,54466,Royaumeix,com
5412,Domèvre-en-Haye,54460,Rogéville,com
5412,Domèvre-en-Haye,54463,Rosières-en-Haye,com
5412,Domèvre-en-Haye,54240,Grosrouvres,com
5412,Domèvre-en-Haye,54225,Gézoncourt,com
5412,Domèvre-en-Haye,54208,Francheville,com
5412,Domèvre-en-Haye,54034,Avrainville,com
1347,Aix-en-Provence-Centre,13001,Aix-en-Provence,frac_com
5027,Périers,50497,Saint-Jores,com
5027,Périers,50482,Saint-Germain-sur-Sèves,com
5027,Périers,50552,Saint-Sébastien-de-Raids,com
5027,Périers,50210,Gorges,com
5027,Périers,50510,Saint-Martin-d'Aubigny,com
5027,Périers,50036,Baupte,com
5027,Périers,50181,Feugères,com
5027,Périers,50405,Le Plessis-Lastelle,com
5027,Périers,50208,Gonfreville,com
5027,Périers,50289,Marchésieux,com
5027,Périers,50368,Nay,com
5027,Périers,50394,Périers,com
1346,Marseille-Mazargues,13055,Marseille,frac_com
9212,Clamart,92023,Clamart,frac_com
1341,Marseille-Les Olives,13055,Marseille,frac_com
97319,Matoury,97307,Matoury,com
7320,Moûtiers,73003,Aigueblanche,com
7320,Moûtiers,73321,Villarlurin,com
7320,Moûtiers,73024,Les Avanchers-Valmorel,com
7320,Moûtiers,73190,Notre-Dame-du-Pré,com
7320,Moûtiers,73253,Saint-Marcel,com
7320,Moûtiers,73257,Saint-Martin-de-Belleville,com
7320,Moûtiers,73045,Le Bois,com
7320,Moûtiers,73046,Bonneval,com
7320,Moûtiers,73284,Salins-les-Thermes,com
7320,Moûtiers,73131,Hautecour,com
7320,Moûtiers,73181,Moûtiers,com
7320,Moûtiers,73115,Fontaine-le-Puits,com
7320,Moûtiers,73244,Saint-Jean-de-Belleville,com
7320,Moûtiers,73266,Saint-Oyen,com
7320,Moûtiers,73112,Feissons-sur-Isère,com
7320,Moûtiers,73187,La Léchère,com
1340,Marseille-La Rose,13055,Marseille,frac_com
1815,Henrichemont,18163,Neuvy-Deux-Clochers,com
1815,Henrichemont,18001,Achères,com
1815,Henrichemont,18151,Montigny,com
1815,Henrichemont,18111,Humbligny,com
1815,Henrichemont,18109,Henrichemont,com
1815,Henrichemont,18162,Neuilly-en-Sancerre,com
