nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Île de France,FR1,Île de France,FR10,Paris,FR101
Île de France,FR1,Île de France,FR10,Seine-et-Marne,FR102
Île de France,FR1,Île de France,FR10,Yvelines,FR103
Île de France,FR1,Île de France,FR10,Essonne,FR104
Île de France,FR1,Île de France,FR10,Hauts-de-Seine,FR105
Île de France,FR1,Île de France,FR10,Seine-Saint-Denis,FR106
Île de France,FR1,Île de France,FR10,Val-de-Marne,FR107
Île de France,FR1,Île de France,FR10,Val-d'Oise,FR108
Bassin Parisien,FR2,Champagne-Ardenne,FR21,Ardennes,FR211
Bassin Parisien,FR2,Champagne-Ardenne,FR21,Aube,FR212
Bassin Parisien,FR2,Champagne-Ardenne,FR21,Marne,FR213
Bassin Parisien,FR2,Champagne-Ardenne,FR21,Haute-Marne,FR214
Bassin Parisien,FR2,Picardie,FR22,Aisne,FR221
Bassin Parisien,FR2,Picardie,FR22,Oise,FR222
Bassin Parisien,FR2,Picardie,FR22,Somme,FR223
Bassin Parisien,FR2,Haute-Normandie,FR23,Eure,FR231
Bassin Parisien,FR2,Haute-Normandie,FR23,Seine-Maritime,FR232
Bassin Parisien,FR2,Centre,FR24,Cher,FR241
Bassin Parisien,FR2,Centre,FR24,Eure-et-Loir,FR242
Bassin Parisien,FR2,Centre,FR24,Indre,FR243
Bassin Parisien,FR2,Centre,FR24,Indre-et-Loire,FR244
Bassin Parisien,FR2,Centre,FR24,Loir-et-Cher,FR245
Bassin Parisien,FR2,Centre,FR24,Loiret,FR246
Bassin Parisien,FR2,Basse-Normandie,FR25,Calvados,FR251
Bassin Parisien,FR2,Basse-Normandie,FR25,Manche,FR252
Bassin Parisien,FR2,Basse-Normandie,FR25,Orne,FR253
Bassin Parisien,FR2,Bourgogne,FR26,Côte-d'Or,FR261
Bassin Parisien,FR2,Bourgogne,FR26,Nièvre,FR262
Bassin Parisien,FR2,Bourgogne,FR26,Saône-et-Loire,FR263
Bassin Parisien,FR2,Bourgogne,FR26,Yonne,FR264
Nord - Pas-de-Calais,FR3,Nord - Pas-de-Calais,FR30,Nord,FR301
