NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
FR101;FR101;7599;75056;no;Paris;Paris;2 243 833;105400000;1
FR102;FR102;7701;77015;no;Baby;Baby;85;4120000;3
FR102;FR102;7701;77019;no;Balloy;Balloy;331;13220000;3
FR102;FR102;7701;77025;no;Bazoches-lès-Bray;Bazoches-lès-Bray;827;22680000;3
FR102;FR102;7701;77051;no;Bray-sur-Seine;Bray-sur-Seine;2 397;2150000;3
FR102;FR102;7701;77076;no;Chalmaison;Chalmaison;736;10040000;3
FR102;FR102;7701;77174;no;Everly;Everly;591;8760000;3
FR102;FR102;7701;77187;no;Fontaine-Fourches;Fontaine-Fourches;596;11840000;3
FR102;FR102;7701;77208;no;Gouaix;Gouaix;1 452;14640000;3
FR102;FR102;7701;77212;no;Gravon;Gravon;142;7550000;3
FR102;FR102;7701;77218;no;Grisy-sur-Seine;Grisy-sur-Seine;98;6570000;3
FR102;FR102;7701;77227;no;Hermé;Hermé;604;15900000;3
FR102;FR102;7701;77236;no;Jaulnes;Jaulnes;355;15840000;3
FR102;FR102;7701;77310;no;Montigny-le-Guesdier;Montigny-le-Guesdier;301;7890000;3
FR102;FR102;7701;77321;no;Mousseaux-lès-Bray;Mousseaux-lès-Bray;692;8670000;3
FR102;FR102;7701;77325;no;Mouy-sur-Seine;Mouy-sur-Seine;364;8620000;3
FR102;FR102;7701;77341;no;Noyen-sur-Seine;Noyen-sur-Seine;378;12240000;3
FR102;FR102;7701;77347;no;Les Ormes-sur-Voulzie;Les Ormes-sur-Voulzie;830;12220000;3
FR102;FR102;7701;77356;no;Passy-sur-Seine;Passy-sur-Seine;44;4530000;3
FR102;FR102;7701;77434;no;Saint-Sauveur-lès-Bray;Saint-Sauveur-lès-Bray;330;6520000;3
FR102;FR102;7701;77467;no;La Tombe;La Tombe;214;7840000;3
FR102;FR102;7701;77507;no;Villenauxe-la-Petite;Villenauxe-la-Petite;487;20810000;3
FR102;FR102;7701;77522;no;Villiers-sur-Seine;Villiers-sur-Seine;308;11370000;3
FR102;FR102;7701;77523;no;Villuis;Villuis;256;9260000;3
FR102;FR102;7702;77053;no;Brie-Comte-Robert;Brie-Comte-Robert;16 251;19930000;2
FR102;FR102;7702;77114;no;Chevry-Cossigny;Chevry-Cossigny;3 706;16750000;3
FR102;FR102;7702;77127;no;Coubert;Coubert;1 821;8360000;3
FR102;FR102;7702;77175;no;Évry-Grégy-sur-Yerre;Évry-Grégy-sur-Yerre;2 399;19120000;3
FR102;FR102;7702;77180;no;Férolles-Attilly;Férolles-Attilly;1 123;12760000;3
FR102;FR102;7702;77217;no;Grisy-Suisnes;Grisy-Suisnes;2 428;18340000;3
FR102;FR102;7702;77249;no;Lésigny;Lésigny;7 442;10130000;2
FR102;FR102;7702;77252;no;Limoges-Fourches;Limoges-Fourches;475;7960000;3
FR102;FR102;7702;77253;no;Lissy;Lissy;190;6850000;3
FR102;FR102;7702;77450;no;Servon;Servon;2 974;7400000;2
FR102;FR102;7702;77455;no;Soignolles-en-Brie;Soignolles-en-Brie;2 073;10770000;3
FR102;FR102;7702;77457;no;Solers;Solers;1 253;6280000;3
FR102;FR102;7703;77001;no;Achères-la-Forêt;Achères-la-Forêt;1 242;12600000;3
