nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Île de France,FR1,Île de France,FR10,Paris,FR101
Île de France,FR1,Île de France,FR10,Seine-et-Marne,FR102
Île de France,FR1,Île de France,FR10,Yvelines,FR103
Île de France,FR1,Île de France,FR10,Essonne,FR104
Île de France,FR1,Île de France,FR10,Hauts-de-Seine,FR105
Île de France,FR1,Île de France,FR10,Seine-Saint-Denis,FR106
Île de France,FR1,Île de France,FR10,Val-de-Marne,FR107
Île de France,FR1,Île de France,FR10,Val-d'Oise,FR108
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Cher,FRB01
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Eure-et-Loir,FRB02
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Indre,FRB03
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Indre-et-Loire,FRB04
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Loir-et-Cher,FRB05
Centre-Val de Loire,FRB,Centre-Val de Loire,FRB0,Loiret,FRB06
Bourgogne-Franche-Comté,FRC,Bourgogne,FRC1,Côte-d’Or,FRC11
Bourgogne-Franche-Comté,FRC,Bourgogne,FRC1,Nièvre,FRC12
Bourgogne-Franche-Comté,FRC,Bourgogne,FRC1,Saône-et-Loire,FRC13
Bourgogne-Franche-Comté,FRC,Bourgogne,FRC1,Yonne,FRC14
Bourgogne-Franche-Comté,FRC,Franche-Comté,FRC2,Doubs,FRC21
Bourgogne-Franche-Comté,FRC,Franche-Comté,FRC2,Jura,FRC22
Bourgogne-Franche-Comté,FRC,Franche-Comté,FRC2,Haute-Saône,FRC23
Bourgogne-Franche-Comté,FRC,Franche-Comté,FRC2,Territoire de Belfort,FRC24
Normandy,FRD,Lower Normandy,FRD1,Calvados,FRD11
Normandy,FRD,Lower Normandy,FRD1,Manche,FRD12
Normandy,FRD,Lower Normandy,FRD1,Orne,FRD13
Normandy,FRD,Upper Normandy,FRD2,Eure,FRD21
Normandy,FRD,Upper Normandy,FRD2,Seine-Maritime,FRD22
