"OBJECTID,N,9,0","USE,N,19,11","RS,C,12","GF,N,19,11","RAU_RS,C,12","GEN,C,50","DES,C,75","AGS,C,12","RS_ALT,C,20","WIRKSAMKEI,D","DEBKG_ID,C,16","LENGTH,N,19,11","Shape_Leng,N,19,11","Shape_Area,N,19,11"
1,5,071415007,4,071415007092,Nastätten,Verbandsgemeinde,,071415007000,01/01/09,DEBKGDL20000E44U,94687.9211526,94734.0125378,156003736.214
2,5,081185002,4,081185002079,Bietigheim-Bissingen,Verwaltungsgemeinschaft,,081185002000,01/01/09,DEBKGDL20000E2RO,44589.8711144,44581.1037282,51520714.4941
3,5,081165007,4,081165007058,Reichenbach an der Fils,Verwaltungsverband,,081165007000,01/01/09,DEBKGDL20000DZQE,35471.4678735,35459.4188439,44850818.0477
4,5,083275004,4,083275004046,Spaichingen,Verwaltungsgemeinschaft,,083275004000,01/01/09,DEBKGDL20000E4Y2,65150.3317213,65092.9489146,120991881.783
5,5,083255004,4,083255004051,Schiltach,Verwaltungsgemeinschaft,,083255004000,01/01/09,DEBKGDL20000DWH9,53212.7889085,53177.8244331,76594654.5886
6,5,071315001,4,071315001001,Adenau,Verbandsgemeinde,,071315001000,01/01/09,DEBKGDL20000E0JQ,105136.071336,105213.199025,257706339.048
7,5,091775123,4,091775123133,Oberding,Verwaltungsgemeinschaft,,091775123000,,DEBKGDL20000E43C,49750.1577993,49744.9643289,100792508.074
8,5,082255007,4,082255007075,Osterburken,Verwaltungsverband,,082255007000,01/01/09,DEBKGDL20000DYQQ,70944.4481977,70951.8734455,143808941.12
9,5,130555520,4,130555520009,Stargarder Land,Amt,,130555520000,01/01/02,DEBKGDL20000DZFI,88521.2478724,88588.6190051,205558513.594
10,5,094715407,4,094715407128,Ebrach,Verwaltungsgemeinschaft,,094715407000,,DEBKGDL20000E1D4,107117.958125,107163.207153,66980932.125
11,5,084155005,4,084155005078,Bad Urach,Verwaltungsgemeinschaft,,084155005000,01/01/09,DEBKGDL20000E67E,90227.520195,90180.9556669,122230579.541
12,5,120735303,4,120735303085,Brüssow (Uckermark),Amt,,120735303000,01/01/09,DEBKGDL20000E6M9,89884.8964854,89991.7681239,219120399.185
13,5,073375007,4,073375007061,Offenbach an der Queich,Verbandsgemeinde,,073375007000,01/01/09,DEBKGDL20000E3YF,38141.2012169,38141.5318773,45543002.6561
14,5,071385005,4,071385005057,Puderbach,Verbandsgemeinde,,071385005000,01/01/09,DEBKGDL20000DZXA,60389.0911069,60426.3832694,95459724.4872
15,5,071435007,4,071435007067,Selters (Westerwald),Verbandsgemeinde,,071435007000,01/01/09,DEBKGDL20000E3DU,75037.338743,75081.2267561,110751777.748
16,5,010605043,4,010600044044,Kaltenkirchen-Land,Amt,,010605043000,01/01/09,DEBKGDL20000E61G,94795.3646795,94747.3696398,115884555.927
17,5,093775348,4,093775348129,Kemnath,Verwaltungsgemeinschaft,,093775348000,,DEBKGDL20000E4ZB,52317.7451063,52360.9348982,81595393.9347
18,5,081355001,4,081355001016,Giengen an der Brenz,Verwaltungsgemeinschaft,,081355001000,01/01/09,DEBKGDL20000DY1T,54517.5465308,54499.2053279,58669657.5593
19,5,094725416,4,094725416127,Creußen,Verwaltungsgemeinschaft,,094725416000,01/01/05,DEBKGDL20000E2JQ,91197.9332251,91262.8944423,116358100.26
20,5,073355001,4,073355001003,Bruchmühlbach-Miesau,Verbandsgemeinde,,073355001000,01/01/09,DEBKGDL20000E4GQ,49076.2051807,49086.2816816,59367473.5025
21,5,097745730,4,097745730143,Ichenhausen,Verwaltungsgemeinschaft,,097745730000,12/31/04,DEBKGDL20000E3ZQ,59958.3723533,59926.4865546,60410244.3978
22,5,130515118,4,130515118071,Schwaan,Amt,,130515118000,08/15/05,DEBKGDL20000E2VR,69469.6186322,69461.7540388,121810965.723
23,5,082355006,4,082355006085,Calw,Verwaltungsgemeinschaft,,082355006000,01/01/09,DEBKGDL20000DYCN,66407.1518074,66383.3216401,95828333.0533
24,5,130585816,4,130585816054,Klützer Winkel,Amt,,130585816000,01/01/05,DEBKGDL20000E3XE,113899.822847,113858.32415,185847374.733
25,5,096795652,4,096795652161,Margetshöchheim,Verwaltungsgemeinschaft,,096795652000,,DEBKGDL20000E0G1,16862.1144989,16867.5760082,10629235.2164
26,5,091875162,4,091875162139,Halfing,Verwaltungsgemeinschaft,,091875162000,,DEBKGDL20000E6WQ,48752.3821903,48739.555229,52461942.204
27,5,093745327,4,093745327117,Eschenbach i.d. OPf.,Verwaltungsgemeinschaft,,093745327000,,DEBKGDL20000E1GH,93088.0432089,93158.8468129,79525281.3694
28,5,010595952,4,010595952158,Schafflund,Amt,,010595952000,03/24/74,DEBKGDL20000DZI3,82816.7659224,82697.7922928,236691059.371
29,5,010565616,4,010560015015,Elmshorn-Land,Amt,,010565616000,01/01/09,DEBKGDL20000E6NL,100210.308418,100166.218745,88522200.8084
30,5,130545420,4,130545420099,Stralendorf,Amt,,130545420000,06/12/94,DEBKGDL20000E5BD,82468.3723118,82464.4902917,132446261.344
31,5,094775437,4,094775437159,Untersteinach,Verwaltungsgemeinschaft,,094775437000,07/01/09,DEBKGDL20000E0BX,47580.8236784,47618.5762626,36406741.5889
32,5,081355002,4,081355002019,Heidenheim an der Brenz,Verwaltungsgemeinschaft,,081355002000,01/01/09,DEBKGDL20000E72C,87005.7190816,86982.0938211,152673200.677
33,5,081185005,4,081185005049,Marbach am Neckar,Verwaltungsverband,,081185005000,01/01/09,DEBKGDL20000DZFW,59892.0605518,59880.0260991,41733795.0647
34,5,073365004,4,073365004058,Lauterecken,Verbandsgemeinde,,073365004000,01/01/09,DEBKGDL20000E1G1,76516.4126761,76541.5795024,134453169.082
35,5,097775754,4,097775754154,Obergünzburg,Verwaltungsgemeinschaft,,097775754000,,DEBKGDL20000E5H7,73205.2912867,73134.4655102,95671757.7024
36,5,010625270,4,010625270082,Trittau,Amt,,010625270000,01/01/09,DEBKGDL20000E16T,57949.6315748,57934.5645196,93030918.7142
37,5,093755336,4,093755336210,Wörth a.d. Donau,Verwaltungsgemeinschaft,,093755336000,,DEBKGDL20000E1M3,87750.6974303,87804.4668908,83192515.1941
38,5,081255013,4,081255013086,Schwaigern,Verwaltungsgemeinschaft,,081255013000,01/01/09,DEBKGDL20000E1ZU,48185.5496865,48181.8045616,57861347.3428
39,5,081285001,4,081285001007,Bad Mergentheim,Verwaltungsgemeinschaft,,081285001000,01/01/09,DEBKGDL20000DYVD,107391.179339,107407.838955,190387976.2
40,5,081255005,4,081255005030,Flein-Talheim,Verwaltungsverband,,081255005000,01/01/09,DEBKGDL20000E4Y6,24260.5577454,24257.9842973,20028241.8956
41,5,083375006,4,083375006097,St. Blasien,Verwaltungsverband,,083375006000,01/01/09,DEBKGDL20000DZ6X,91906.0920414,91800.5818636,215637471.521
42,5,083375003,4,083375003125,Küssaberg,Verwaltungsverband,,083375003000,01/01/09,DEBKGDL20000E3YZ,46724.6886951,46662.1784808,53811219.1843
43,5,084155002,4,084155002050,Metzingen,Verwaltungsgemeinschaft,,084155002000,01/01/09,DEBKGDL20000DWBZ,41800.6765074,41780.0225164,42693233.2529
44,5,032565406,4,032565406021,Marklohe,Samtgemeinde,,032565406000,01/01/09,DEBKGDL20000E6E2,59619.0498183,59631.2536837,106038948.705
45,5,081195003,4,081195003067,Schorndorf,Verwaltungsgemeinschaft,,081195003000,01/01/09,DEBKGDL20000DWO4,55878.3824487,55862.4144088,73508175.8371
46,5,081285004,4,081285004115,Tauberbischofsheim,Verwaltungsgemeinschaft,,081285004000,01/01/09,DEBKGDL20000E1X4,115078.589085,115104.218439,230093799.145
47,5,082265005,4,082265005056,Neckargemünd,Verwaltungsverband,,082265005000,01/01/09,DEBKGDL20000E3GR,46953.9675712,46956.7523629,53382462.5157
48,5,092785248,4,092785248151,Mitterfels,Verwaltungsgemeinschaft,,092785248000,,DEBKGDL20000E4C9,65975.25626,66021.7977353,64046369.3045
49,5,096795654,4,096795654182,Röttingen,Verwaltungsgemeinschaft,,096795654000,01/01/97,DEBKGDL20000E655,51569.6129915,51579.8258254,74364992.9184
50,5,071415005,4,071415005068,Katzenelnbogen,Verbandsgemeinde,,071415005000,01/01/09,DEBKGDL20000E2FV,74575.7232097,74612.2914939,103087930.371
51,5,032575406,4,032575406032,Rodenberg,Samtgemeinde,,032575406000,01/01/09,DEBKGDL20000E6FA,61807.1767889,61830.4309996,86241672.3624
52,5,093725318,4,093725318125,Falkenstein,Verwaltungsgemeinschaft,,093725318000,,DEBKGDL20000E57N,75650.8958358,75703.1945766,105632900.216
53,5,081175007,4,081175007058,Oberes Filstal,Verwaltungsverband,,081175007000,01/01/09,DEBKGDL20000DWPH,58190.3717304,58164.3233042,70155313.0121
54,5,010615153,4,010615153055,Krempermarsch,Amt,,010615153000,01/01/09,DEBKGDL20000DX1Y,57673.8407542,57642.851875,81123845.1213
55,5,094745420,4,094745420121,Ebermannstadt,Verwaltungsgemeinschaft,,094745420000,,DEBKGDL20000E2GQ,67461.6378751,67499.6336731,62259640.4581
56,5,095775535,4,095775535151,Nennslingen,Verwaltungsgemeinschaft,,095775535000,,DEBKGDL20000E3Z1,60560.6787528,60569.4444473,99130299.2617
57,5,083365006,4,083365006079,Schönau im Schwarzwald,Verwaltungsverband,,083365006000,01/01/09,DEBKGDL20000DW00,71304.5544022,71227.6691565,78198219.5652
58,5,071345004,4,071345004069,Rhaunen,Verbandsgemeinde,,071345004000,01/01/09,DEBKGDL20000E3IZ,63483.465179,63512.9641347,103891946.177
59,5,071375001,4,071370003003,Pellenz,Verbandsgemeinde,,071375001000,01/01/09,DEBKGDL20000E5WA,50453.4820161,50485.0066403,55555722.8845
60,5,033595406,4,033595406039,Lühe,Samtgemeinde,,033595406000,01/01/09,DEBKGDL20000E1ZY,42902.5165825,42889.4351758,58194415.1843
61,5,084255002,4,084255002020,Blaubeuren,Verwaltungsgemeinschaft,,084255002000,01/01/09,DEBKGDL20000DXK4,70257.8858477,70218.9810971,105258744.142
62,5,130575715,2,130575715013,Darß/Fischland,Amt,,130575715000,06/12/94,DEBKGDL20000E5C3,2586.30113314,2585.02910557,139370.184217
63,5,160675001,4,160675001025,Apfelstädtaue,Verwaltungsgemeinschaft,,160675001000,01/01/09,DEBKGDL20000E4DT,60313.3545954,60355.5525471,54345897.7697
64,5,092715205,4,092715205135,Moos,Verwaltungsgemeinschaft,,092715205000,,DEBKGDL20000E72V,49575.875789,49610.0274125,47721957.4448
65,5,130625212,4,130625212033,Löcknitz-Penkun,Amt,,130625212000,01/01/09,DEBKGDL20000E1X7,139956.284196,140132.330858,431191047.387
66,5,081175004,4,081175004024,Geislingen an der Steige,Verwaltungsgemeinschaft,,081175004000,01/01/09,DEBKGDL20000DWUA,82871.2219992,82838.8266412,108289377.544
67,5,097775755,4,097775755175,Unterthingau,Verwaltungsgemeinschaft,,097775755000,,DEBKGDL20000E52M,74482.865899,74404.3159964,84771783.0108
68,5,081185001,4,081185001007,Besigheim,Verwaltungsverband,,081185001000,01/01/09,DEBKGDL20000E321,55575.0379494,55566.0852988,60504013.3537
69,5,091905180,4,091905180154,Steingaden,Verwaltungsgemeinschaft,,091905180000,12/31/04,DEBKGDL20000E299,83125.1216693,83041.0010206,127778680.474
70,5,081175008,4,081175008038,Östlicher Schurwald,Verwaltungsverband,,081175008000,01/01/09,DEBKGDL20000E1H4,31638.7050668,31628.8734319,26681531.892
71,5,091715102,4,091715102122,Kirchweidach,Verwaltungsgemeinschaft,,091715102000,,DEBKGDL20000E43A,53017.8299524,53019.4921324,80351333.9972
72,5,081275008,4,081275008071,Brettach/Jagst,Verwaltungsverband,,081275008000,01/01/09,DEBKGDL20000E67M,98817.002152,98822.3802272,140862365.354
73,5,071325001,4,071325001501,Altenkirchen (Westerwald),Verbandsgemeinde,,071325001000,01/01/09,DEBKGDL20000E5FT,89530.1539505,89586.6321726,153212344.985
74,5,082165004,4,082165004017,Gernsbach,Verwaltungsgemeinschaft,,082165004000,01/01/09,DEBKGDL20000E701,65346.0665122,65324.8304672,108502888.35
75,5,081195006,4,081195006085,Winnenden,Verwaltungsverband,,081195006000,01/01/09,DEBKGDL20000DZFT,39088.833686,39079.5955718,52088705.4906
76,5,081365005,4,081365005040,Leintal-Frickenhofer Höhe,Verwaltungsverband,,081365005000,01/01/09,DEBKGDL20000DWNM,64205.4385398,64192.7355688,62660473.6414
77,5,130585828,4,130585828025,Dorf Mecklenburg-Bad Kleinen,Amt,,130585828000,04/01/05,DEBKGDL20000E4SG,99844.0725463,99824.3332995,216056398.856
78,5,010515178,4,010515178013,Büsum-Wesselburen,Amt,,010515178000,05/25/08,DEBKGDL20000HEUP,78679.3230235,78611.7299174,145308590.164
79,5,010515175,4,010515175074,Mitteldithmarschen,Amt,,010515175000,05/25/08,DEBKGDL20000HEVT,132540.127469,132438.064212,340308778.526
80,5,033535401,4,033535401023,Elbmarsch,Samtgemeinde,,033535401000,01/01/09,DEBKGDL20000E6S8,53066.283029,53061.2429384,81449883.5436
81,5,071435008,4,071435008304,Wallmerod,Verbandsgemeinde,,071435008000,01/01/09,DEBKGDL20000E3UT,56430.5878351,56461.5189021,82916421.7287
82,5,081255002,4,081255002006,Bad Rappenau,Verwaltungsgemeinschaft,,081255002000,01/01/09,DEBKGDL20000DYUK,64957.7506555,64956.4458137,102052930.035
83,5,034585401,4,034585401008,Harpstedt,Samtgemeinde,,034585401000,01/01/09,DEBKGDL20000E382,92441.6937594,92451.22751,210736074.865
84,5,092725212,4,092725212126,Hinterschmiding,Verwaltungsgemeinschaft,,092725212000,,DEBKGDL20000E2HZ,60654.7708066,60724.9076388,31389739.7582
85,5,147305302,4,147305302030,Beilrode,Verwaltungsgemeinschaft,,147305302000,08/01/08,DEBKGDL20000E54H,102458.493423,102612.913874,152104775.136
86,5,033575403,4,033575403035,Geestequelle,Samtgemeinde,,033575403000,01/01/09,DEBKGDL20000E21X,73496.4948593,73476.5786295,140615207.656
87,5,097805742,4,097805742121,Hörnergruppe,Verwaltungsgemeinschaft,,097805742000,,DEBKGDL20000E59J,75816.3577434,75708.6151319,120212441.024
88,5,084265004,4,084265004044,Illertal,Verwaltungsverband,,084265004000,01/01/09,DEBKGDL20000DYIQ,62863.7260399,62813.0738941,103695434.951
89,5,081365001,4,081365001088,Aalen,Verwaltungsgemeinschaft,,081365001000,01/01/09,DEBKGDL20000DYO8,136337.528121,136309.274901,224034619.913
90,5,097775749,4,097775749158,Pforzen,Verwaltungsgemeinschaft,,097775749000,,DEBKGDL20000E1RO,45545.7097276,45506.8567892,49454952.0832
91,5,081165008,4,081165008070,Weilheim an der Teck,Verwaltungsgemeinschaft,,081165008000,01/01/09,DEBKGDL20000DZJS,48427.3144354,48406.6403771,64693534.0067
92,5,160635008,4,160635008044,Oberes Feldatal,Verwaltungsgemeinschaft,,160635008000,01/01/09,DEBKGDL20000DXR8,39308.0874762,39331.1196084,49644073.0209
93,5,083165003,4,083165003011,Emmendingen,Verwaltungsgemeinschaft,,083165003000,01/01/09,DEBKGDL20000DXY2,73987.9418822,73932.9487103,154278543.014
94,5,073405006,4,073405006054,Waldfischbach-Burgalben,Verbandsgemeinde,,073405006000,01/01/09,DEBKGDL20000DZ8G,50706.8411677,50713.4713514,94480572.3032
95,5,073345006,4,073345006025,Rülzheim,Verbandsgemeinde,,073345006000,01/01/09,DEBKGDL20000E5ZL,37585.1881089,37583.5599718,52687004.0753
96,5,094755428,4,094755428146,Lichtenberg,Verwaltungsgemeinschaft,,094755428000,,DEBKGDL20000E46K,36431.7121713,36464.5907427,28294362.4302
97,5,091795131,4,091795131136,Mammendorf,Verwaltungsgemeinschaft,,091795131000,,DEBKGDL20000E2CK,74526.4026684,74491.8477668,109170123.985
98,5,094715406,4,094715406191,Stegaurach,Verwaltungsgemeinschaft,,094715406000,,DEBKGDL20000DZF7,46396.7520062,46419.7821642,40238463.6408
99,5,095775532,4,095770136136,Gunzenhausen,Verwaltungsgemeinschaft,,095775532000,01/01/09,DEBKGDL20000DYA6,81941.6621349,81952.8837722,114278826.486
100,5,083155008,4,083155008052,Hinterzarten,Verwaltungsgemeinschaft,,083155008000,01/01/09,DEBKGDL20000DY3G,59892.7241899,59834.2393515,73669820.0951
101,5,072325003,4,072325003063,Irrel,Verbandsgemeinde,,072325003000,01/01/09,DEBKGDL20000E078,74834.1228489,74887.6033115,112792079.382
102,5,084365003,4,084365003039,Gullen,Verwaltungsverband,,084365003000,01/01/09,DEBKGDL20000E1MQ,65885.5001151,65808.5526276,96882728.3865
103,5,130575725,4,130575725074,Ribnitz-Damgarten,Amt,,130575725000,01/01/05,DEBKGDL20000E009,121434.493374,121405.337682,203429250.868
