nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,"Stuttgart, Stadtkreis",DE111
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Böblingen,DE112
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Esslingen,DE113
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Göppingen,DE114
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Ludwigsburg,DE115
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Rems-Murr-Kreis,DE116
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,"Heilbronn, Stadtkreis",DE117
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,"Heilbronn, Landkreis",DE118
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Hohenlohekreis,DE119
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Schwäbisch Hall,DE11A
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Main-Tauber-Kreis,DE11B
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Heidenheim,DE11C
BADEN-WÜRTTEMBERG,DE1,Stuttgart,DE11,Ostalbkreis,DE11D
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Baden-Baden, Stadtkreis",DE121
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Karlsruhe, Stadtkreis",DE122
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Karlsruhe, Landkreis",DE123
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Rastatt,DE124
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Heidelberg, Stadtkreis",DE125
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Mannheim, Stadtkreis",DE126
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Neckar-Odenwald-Kreis,DE127
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Rhein-Neckar-Kreis,DE128
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,"Pforzheim, Stadtkreis",DE129
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Calw,DE12A
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Enzkreis,DE12B
BADEN-WÜRTTEMBERG,DE1,Karlsruhe,DE12,Freudenstadt,DE12C
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,"Freiburg im Breisgau, Stadtkreis",DE131
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Breisgau-Hochschwarzwald,DE132
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Emmendingen,DE133
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Ortenaukreis,DE134
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Rottweil,DE135
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Schwarzwald-Baar-Kreis,DE136
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Tuttlingen,DE137
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Konstanz,DE138
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Lörrach,DE139
BADEN-WÜRTTEMBERG,DE1,Freiburg,DE13,Waldshut,DE13A
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Reutlingen,DE141
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,"Tübingen, Landkreis",DE142
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Zollernalbkreis,DE143
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,"Ulm, Stadtkreis",DE144
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Alb-Donau-Kreis,DE145
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Biberach,DE146
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Bodenseekreis,DE147
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Ravensburg,DE148
BADEN-WÜRTTEMBERG,DE1,Tübingen,DE14,Sigmaringen,DE149
BAYERN,DE2,Oberbayern,DE21,"Ingolstadt, Kreisfreie Stadt",DE211
BAYERN,DE2,Oberbayern,DE21,"München, Kreisfreie Stadt",DE212
BAYERN,DE2,Oberbayern,DE21,"Rosenheim, Kreisfreie Stadt",DE213
BAYERN,DE2,Oberbayern,DE21,Altötting,DE214
BAYERN,DE2,Oberbayern,DE21,Berchtesgadener Land,DE215
BAYERN,DE2,Oberbayern,DE21,Bad Tölz-Wolfratshausen,DE216
BAYERN,DE2,Oberbayern,DE21,Dachau,DE217
BAYERN,DE2,Oberbayern,DE21,Ebersberg,DE218
BAYERN,DE2,Oberbayern,DE21,Eichstätt,DE219
BAYERN,DE2,Oberbayern,DE21,Erding,DE21A
BAYERN,DE2,Oberbayern,DE21,Freising,DE21B
BAYERN,DE2,Oberbayern,DE21,Fürstenfeldbruck,DE21C
BAYERN,DE2,Oberbayern,DE21,Garmisch-Partenkirchen,DE21D
BAYERN,DE2,Oberbayern,DE21,Landsberg am Lech,DE21E
BAYERN,DE2,Oberbayern,DE21,Miesbach,DE21F
BAYERN,DE2,Oberbayern,DE21,Mühldorf a. Inn,DE21G
BAYERN,DE2,Oberbayern,DE21,"München, Landkreis",DE21H
BAYERN,DE2,Oberbayern,DE21,Neuburg-Schrobenhausen,DE21I
BAYERN,DE2,Oberbayern,DE21,Pfaffenhofen a. d. Ilm,DE21J
BAYERN,DE2,Oberbayern,DE21,"Rosenheim, Landkreis",DE21K
BAYERN,DE2,Oberbayern,DE21,Starnberg,DE21L
BAYERN,DE2,Oberbayern,DE21,Traunstein,DE21M
BAYERN,DE2,Oberbayern,DE21,Weilheim-Schongau,DE21N
BAYERN,DE2,Niederbayern,DE22,"Landshut, Kreisfreie Stadt",DE221
BAYERN,DE2,Niederbayern,DE22,"Passau, Kreisfreie Stadt",DE222
BAYERN,DE2,Niederbayern,DE22,"Straubing, Kreisfreie Stadt",DE223
BAYERN,DE2,Niederbayern,DE22,Deggendorf,DE224
BAYERN,DE2,Niederbayern,DE22,Freyung-Grafenau,DE225
BAYERN,DE2,Niederbayern,DE22,Kelheim,DE226
BAYERN,DE2,Niederbayern,DE22,"Landshut, Landkreis",DE227
BAYERN,DE2,Niederbayern,DE22,"Passau, Landkreis",DE228
BAYERN,DE2,Niederbayern,DE22,Regen,DE229
BAYERN,DE2,Niederbayern,DE22,Rottal-Inn,DE22A
BAYERN,DE2,Niederbayern,DE22,Straubing-Bogen,DE22B
BAYERN,DE2,Niederbayern,DE22,Dingolfing-Landau,DE22C
BAYERN,DE2,Oberpfalz,DE23,"Amberg, Kreisfreie Stadt",DE231
BAYERN,DE2,Oberpfalz,DE23,"Regensburg, Kreisfreie Stadt",DE232
BAYERN,DE2,Oberpfalz,DE23,"Weiden i. d. Opf, Kreisfreie Stadt",DE233
BAYERN,DE2,Oberpfalz,DE23,Amberg-Sulzbach,DE234
BAYERN,DE2,Oberpfalz,DE23,Cham,DE235
BAYERN,DE2,Oberpfalz,DE23,Neumarkt i. d. OPf.,DE236
BAYERN,DE2,Oberpfalz,DE23,Neustadt a. d. Waldnaab,DE237
BAYERN,DE2,Oberpfalz,DE23,"Regensburg, Landkreis",DE238
BAYERN,DE2,Oberpfalz,DE23,Schwandorf,DE239
BAYERN,DE2,Oberpfalz,DE23,Tirschenreuth,DE23A
BAYERN,DE2,Oberfranken,DE24,"Bamberg, Kreisfreie Stadt",DE241
