NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;
DE111;n.a.;08111000;no;Stuttgart, Landeshauptstadt;Stuttgart, Landeshauptstadt;601646;207350000;
DE112;081155001;08115001;no;Aidlingen;Aidlingen;9046;26560000;
DE112;081155004;08115002;no;Altdorf;Altdorf;4542;17470000;
DE112;n.a.;08115003;no;Böblingen, Stadt;Böblingen, Stadt;46198;39040000;
DE112;081155005;08115004;no;Bondorf;Bondorf;5853;17550000;
DE112;081155003;08115010;no;Deckenpfronn;Deckenpfronn;3102;11410000;
DE112;081155002;08115013;no;Ehningen;Ehningen;8005;17800000;
DE112;081155002;08115015;no;Gärtringen;Gärtringen;12076;20210000;
DE112;081155005;08115016;no;Gäufelden;Gäufelden;9332;20070000;
DE112;081155003;08115021;no;Herrenberg, Stadt;Herrenberg, Stadt;31324;65710000;
DE112;081155004;08115022;no;Hildrizhausen;Hildrizhausen;3572;12160000;
DE112;081155004;08115024;no;Holzgerlingen, Stadt;Holzgerlingen, Stadt;12753;13380000;
DE112;n.a.;08115028;no;Leonberg, Stadt;Leonberg, Stadt;45236;48730000;
DE112;n.a.;08115029;no;Magstadt;Magstadt;8804;19130000;
DE112;081155005;08115034;no;Mötzingen;Mötzingen;3692;8150000;
DE112;081155003;08115037;no;Nufringen;Nufringen;5330;10040000;
DE112;n.a.;08115041;no;Renningen, Stadt;Renningen, Stadt;17259;31140000;
DE112;n.a.;08115042;no;Rutesheim, Stadt;Rutesheim, Stadt;10226;16220000;
DE112;n.a.;08115044;no;Schönaich;Schönaich;9755;14160000;
DE112;n.a.;08115045;no;Sindelfingen, Stadt;Sindelfingen, Stadt;60475;50850000;
DE112;081155006;08115046;no;Steinenbronn;Steinenbronn;6053;9720000;
DE112;081155006;08115048;no;Waldenbuch, Stadt;Waldenbuch, Stadt;8510;22700000;
DE112;n.a.;08115050;no;Weil der Stadt, Stadt;Weil der Stadt, Stadt;18942;43170000;
DE112;n.a.;08115051;no;Weil im Schönbuch;Weil im Schönbuch;9902;26120000;
DE112;n.a.;08115052;no;Weissach;Weissach;7458;22190000;
DE112;081155005;08115053;no;Jettingen;Jettingen;7594;21110000;
DE112;081155001;08115054;no;Grafenau;Grafenau;6577;13050000;
DE113;081165006;08116004;no;Altbach;Altbach;5874;3350000;
DE113;081165003;08116005;no;Altdorf;Altdorf;1487;3250000;
DE113;081165003;08116006;no;Altenriet;Altenriet;1935;3350000;
DE113;081165007;08116007;no;Baltmannsweiler;Baltmannsweiler;5520;18540000;
DE113;081165003;08116008;no;Bempflingen;Bempflingen;3347;6270000;
DE113;081165004;08116011;no;Beuren;Beuren;3374;11690000;
DE113;081165008;08116012;no;Bissingen an der Teck;Bissingen an der Teck;3527;17060000;
DE113;081165006;08116014;no;Deizisau;Deizisau;6470;5170000;
DE113;n.a.;08116015;no;Denkendorf;Denkendorf;10509;13060000;
DE113;081165001;08116016;no;Dettingen unter Teck;Dettingen unter Teck;5614;15130000;
DE113;081165002;08116018;no;Erkenbrechtsweiler;Erkenbrechtsweiler;2110;6930000;
DE113;n.a.;08116019;no;Esslingen am Neckar, Stadt;Esslingen am Neckar, Stadt;91463;46420000;
DE113;081165005;08116020;no;Frickenhausen;Frickenhausen;8769;11350000;
DE113;081165005;08116022;no;Großbettlingen;Großbettlingen;4139;4230000;
DE113;081165007;08116027;no;Hochdorf;Hochdorf;4702;7750000;
DE113;081165008;08116029;no;Holzmaden;Holzmaden;2098;3100000;
DE113;081165001;08116033;no;Kirchheim unter Teck, Stadt;Kirchheim unter Teck, Stadt;39786;40470000;
DE113;081165009;08116035;no;Köngen;Köngen;9648;12520000;
DE113;081165004;08116036;no;Kohlberg;Kohlberg;2280;4390000;
DE113;081165007;08116037;no;Lichtenwald;Lichtenwald;2468;10800000;
DE113;081165003;08116041;no;Neckartailfingen;Neckartailfingen;3777;8260000;
DE113;081165003;08116042;no;Neckartenzlingen;Neckartenzlingen;6141;9030000;
DE113;081165008;08116043;no;Neidlingen;Neidlingen;1826;12620000;
DE113;081165004;08116046;no;Neuffen, Stadt;Neuffen, Stadt;6205;17450000;
DE113;n.a.;08116047;no;Neuhausen auf den Fildern;Neuhausen auf den Fildern;11384;12470000;
DE113;081165001;08116048;no;Notzingen;Notzingen;3528;7700000;
