nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Baden-Württemberg,DE1,Stuttgart,DE11,"Stuttgart, Stadtkreis",DE111
Baden-Württemberg,DE1,Stuttgart,DE11,Böblingen,DE112
Baden-Württemberg,DE1,Stuttgart,DE11,Esslingen,DE113
Baden-Württemberg,DE1,Stuttgart,DE11,Göppingen,DE114
Baden-Württemberg,DE1,Stuttgart,DE11,Ludwigsburg,DE115
Baden-Württemberg,DE1,Stuttgart,DE11,Rems-Murr-Kreis,DE116
Baden-Württemberg,DE1,Stuttgart,DE11,"Heilbronn, Stadtkreis",DE117
Baden-Württemberg,DE1,Stuttgart,DE11,"Heilbronn, Landkreis",DE118
Baden-Württemberg,DE1,Stuttgart,DE11,Hohenlohekreis,DE119
Baden-Württemberg,DE1,Stuttgart,DE11,Schwäbisch Hall,DE11A
Baden-Württemberg,DE1,Stuttgart,DE11,Main-Tauber-Kreis,DE11B
Baden-Württemberg,DE1,Stuttgart,DE11,Heidenheim,DE11C
Baden-Württemberg,DE1,Stuttgart,DE11,Ostalbkreis,DE11D
Baden-Württemberg,DE1,Karlsruhe,DE12,"Baden-Baden, Stadtkreis",DE121
Baden-Württemberg,DE1,Karlsruhe,DE12,"Karlsruhe, Stadtkreis",DE122
Baden-Württemberg,DE1,Karlsruhe,DE12,"Karlsruhe, Landkreis",DE123
Baden-Württemberg,DE1,Karlsruhe,DE12,Rastatt,DE124
Baden-Württemberg,DE1,Karlsruhe,DE12,"Heidelberg, Stadtkreis",DE125
Baden-Württemberg,DE1,Karlsruhe,DE12,"Mannheim, Stadtkreis",DE126
Baden-Württemberg,DE1,Karlsruhe,DE12,Neckar-Odenwald-Kreis,DE127
Baden-Württemberg,DE1,Karlsruhe,DE12,Rhein-Neckar-Kreis,DE128
Baden-Württemberg,DE1,Karlsruhe,DE12,"Pforzheim, Stadtkreis",DE129
Baden-Württemberg,DE1,Karlsruhe,DE12,Calw,DE12A
Baden-Württemberg,DE1,Karlsruhe,DE12,Enzkreis,DE12B
Baden-Württemberg,DE1,Karlsruhe,DE12,Freudenstadt,DE12C
Baden-Württemberg,DE1,Freiburg,DE13,"Freiburg im Breisgau, Stadtkreis",DE131
Baden-Württemberg,DE1,Freiburg,DE13,Breisgau-Hochschwarzwald,DE132
Baden-Württemberg,DE1,Freiburg,DE13,Emmendingen,DE133
Baden-Württemberg,DE1,Freiburg,DE13,Ortenaukreis,DE134
Baden-Württemberg,DE1,Freiburg,DE13,Rottweil,DE135
Baden-Württemberg,DE1,Freiburg,DE13,Schwarzwald-Baar-Kreis,DE136
Baden-Württemberg,DE1,Freiburg,DE13,Tuttlingen,DE137
Baden-Württemberg,DE1,Freiburg,DE13,Konstanz,DE138
Baden-Württemberg,DE1,Freiburg,DE13,Lörrach,DE139
Baden-Württemberg,DE1,Freiburg,DE13,Waldshut,DE13A
Baden-Württemberg,DE1,Tübingen,DE14,Reutlingen,DE141
Baden-Württemberg,DE1,Tübingen,DE14,Tübingen,DE142
Baden-Württemberg,DE1,Tübingen,DE14,Zollernalbkreis,DE143
Baden-Württemberg,DE1,Tübingen,DE14,"Ulm, Stadtkreis",DE144
Baden-Württemberg,DE1,Tübingen,DE14,Alb-Donau-Kreis,DE145
Baden-Württemberg,DE1,Tübingen,DE14,Biberach,DE146
Baden-Württemberg,DE1,Tübingen,DE14,Bodenseekreis,DE147
Baden-Württemberg,DE1,Tübingen,DE14,Ravensburg,DE148
Baden-Württemberg,DE1,Tübingen,DE14,Sigmaringen,DE149
Bayern,DE2,Oberbayern,DE21,"Ingolstadt, kreisfreie Stadt",DE211
Bayern,DE2,Oberbayern,DE21,"München, kreisfreie Stadt",DE212
Bayern,DE2,Oberbayern,DE21,"Rosenheim, kreisfreie Stadt",DE213
Bayern,DE2,Oberbayern,DE21,Altötting,DE214
Bayern,DE2,Oberbayern,DE21,Berchtesgadener Land,DE215
Bayern,DE2,Oberbayern,DE21,Bad Tölz-Wolfratshausen,DE216
Bayern,DE2,Oberbayern,DE21,Dachau,DE217
Bayern,DE2,Oberbayern,DE21,Ebersberg,DE218
Bayern,DE2,Oberbayern,DE21,Eichstätt,DE219
Bayern,DE2,Oberbayern,DE21,Erding,DE21A
Bayern,DE2,Oberbayern,DE21,Freising,DE21B
Bayern,DE2,Oberbayern,DE21,Fürstenfeldbruck,DE21C
Bayern,DE2,Oberbayern,DE21,Garmisch-Partenkirchen,DE21D
Bayern,DE2,Oberbayern,DE21,Landsberg a. Lech,DE21E
Bayern,DE2,Oberbayern,DE21,Miesbach,DE21F
Bayern,DE2,Oberbayern,DE21,Mühldorf a. Inn,DE21G
Bayern,DE2,Oberbayern,DE21,"München, Landkreis",DE21H
Bayern,DE2,Oberbayern,DE21,Neuburg-Schrobenhausen,DE21I
Bayern,DE2,Oberbayern,DE21,Pfaffenhofen a. d. Ilm,DE21J
Bayern,DE2,Oberbayern,DE21,"Rosenheim, Landkreis",DE21K
Bayern,DE2,Oberbayern,DE21,Starnberg,DE21L
Bayern,DE2,Oberbayern,DE21,Traunstein,DE21M
Bayern,DE2,Oberbayern,DE21,Weilheim-Schongau,DE21N
Bayern,DE2,Niederbayern,DE22,"Landshut, kreisfreie Stadt",DE221
Bayern,DE2,Niederbayern,DE22,"Passau, kreisfreie Stadt",DE222
Bayern,DE2,Niederbayern,DE22,"Straubing, kreisfreie Stadt",DE223
Bayern,DE2,Niederbayern,DE22,Deggendorf,DE224
Bayern,DE2,Niederbayern,DE22,Freyung-Grafenau,DE225
Bayern,DE2,Niederbayern,DE22,Kelheim,DE226
Bayern,DE2,Niederbayern,DE22,"Landshut, Landkreis",DE227
Bayern,DE2,Niederbayern,DE22,"Passau, Landkreis",DE228
Bayern,DE2,Niederbayern,DE22,Regen,DE229
Bayern,DE2,Niederbayern,DE22,Rottal-Inn,DE22A
Bayern,DE2,Niederbayern,DE22,Straubing-Bogen,DE22B
Bayern,DE2,Niederbayern,DE22,Dingolfing-Landau,DE22C
Bayern,DE2,Oberpfalz,DE23,"Amberg, kreisfreie Stadt",DE231
Bayern,DE2,Oberpfalz,DE23,"Regensburg, kreisfreie Stadt",DE232
Bayern,DE2,Oberpfalz,DE23,"Weiden i. d. OPf, kreisfreie Stadt",DE233
Bayern,DE2,Oberpfalz,DE23,Amberg-Sulzbach,DE234
Bayern,DE2,Oberpfalz,DE23,Cham,DE235
Bayern,DE2,Oberpfalz,DE23,Neumarkt i. d. OPf.,DE236
Bayern,DE2,Oberpfalz,DE23,Neustadt a. d. Waldnaab,DE237
Bayern,DE2,Oberpfalz,DE23,"Regensburg, Landkreis",DE238
Bayern,DE2,Oberpfalz,DE23,Schwandorf,DE239
Bayern,DE2,Oberpfalz,DE23,Tirschenreuth,DE23A
Bayern,DE2,Oberfranken,DE24,"Bamberg, kreisfreie Stadt",DE241
Bayern,DE2,Oberfranken,DE24,"Bayreuth, kreisfreie Stadt",DE242
Bayern,DE2,Oberfranken,DE24,"Coburg, kreisfreie Stadt",DE243
Bayern,DE2,Oberfranken,DE24,"Hof, kreisfreie Stadt",DE244
Bayern,DE2,Oberfranken,DE24,"Bamberg, Landkreis",DE245
Bayern,DE2,Oberfranken,DE24,"Bayreuth, Landkreis",DE246
Bayern,DE2,Oberfranken,DE24,"Coburg, Landkreis",DE247
Bayern,DE2,Oberfranken,DE24,Forchheim,DE248
Bayern,DE2,Oberfranken,DE24,"Hof, Landkreis",DE249
Bayern,DE2,Oberfranken,DE24,Kronach,DE24A
Bayern,DE2,Oberfranken,DE24,Kulmbach,DE24B
