NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA;;
DE111;DE111;n.a.;08111000;no;Stuttgart, Landeshauptstadt;Stuttgart, Landeshauptstadt;597939;207347700;1;;
DE112;DE112;081155001;08115001;no;Aidlingen;Aidlingen;8742;26561500;2;;
DE112;DE112;081155001;08115054;no;Grafenau;Grafenau;6425;13046300;2;;
DE112;DE112;081155002;08115013;no;Ehningen;Ehningen;7901;17804100;2;;
DE112;DE112;081155002;08115015;no;Gärtringen;Gärtringen;11638;20211300;2;;
DE112;DE112;081155003;08115010;no;Deckenpfronn;Deckenpfronn;3206;11414800;3;;
DE112;DE112;081155003;08115021;no;Herrenberg, Stadt;Herrenberg, Stadt;30118;65711600;2;;
DE112;DE112;081155003;08115037;no;Nufringen;Nufringen;5412;10040700;2;;
DE112;DE112;081155004;08115002;no;Altdorf;Altdorf;4519;17467400;2;;#NAME?
DE112;DE112;081155004;08115022;no;Hildrizhausen;Hildrizhausen;3505;12163200;2;;
DE112;DE112;081155004;08115024;no;Holzgerlingen, Stadt;Holzgerlingen, Stadt;12268;13381300;2;;
DE112;DE112;081155005;08115004;no;Bondorf;Bondorf;5702;17550900;2;;
DE112;DE112;081155005;08115016;no;Gäufelden;Gäufelden;9143;20073300;2;;
DE112;DE112;081155005;08115034;no;Mötzingen;Mötzingen;3622;8150200;3;;
DE112;DE112;081155005;08115053;no;Jettingen;Jettingen;7495;21108200;2;;
DE112;DE112;081155006;08115046;no;Steinenbronn;Steinenbronn;6066;9722000;2;;
DE112;DE112;081155006;08115048;no;Waldenbuch, Stadt;Waldenbuch, Stadt;8461;22696500;2;;
DE112;DE112;n.a.;08115003;no;Böblingen, Stadt;Böblingen, Stadt;45805;39041100;2;;
DE112;DE112;n.a.;08115028;no;Leonberg, Stadt;Leonberg, Stadt;45108;48735400;2;;
DE112;DE112;n.a.;08115029;no;Magstadt;Magstadt;8994;19126600;2;;
DE112;DE112;n.a.;08115041;no;Renningen, Stadt;Renningen, Stadt;17011;31136900;2;;
DE112;DE112;n.a.;08115042;no;Rutesheim, Stadt;Rutesheim, Stadt;10104;16219800;2;;
DE112;DE112;n.a.;08115044;no;Schönaich;Schönaich;9708;14161900;2;;
DE112;DE112;n.a.;08115045;no;Sindelfingen, Stadt;Sindelfingen, Stadt;60795;50849800;1;;
DE112;DE112;n.a.;08115050;no;Weil der Stadt, Stadt;Weil der Stadt, Stadt;18356;43142700;2;;
DE112;DE112;n.a.;08115051;no;Weil im Schönbuch;Weil im Schönbuch;9667;26120500;2;;
DE112;DE112;n.a.;08115052;no;Weissach;Weissach;7437;22185800;2;;
DE113;DE113;081165001;08116016;no;Dettingen unter Teck;Dettingen unter Teck;5806;15134000;2;;
DE113;DE113;081165001;08116033;no;Kirchheim unter Teck, Stadt;Kirchheim unter Teck, Stadt;39264;40470200;2;;
DE113;DE113;081165001;08116048;no;Notzingen;Notzingen;3582;7699300;2;;
DE113;DE113;081165002;08116018;no;Erkenbrechtsweiler;Erkenbrechtsweiler;2080;6926200;2;;
DE113;DE113;081165002;08116054;no;Owen, Stadt;Owen, Stadt;3406;9704500;2;;
DE113;DE113;081165002;08116079;no;Lenningen;Lenningen;7955;41441700;2;;
DE113;DE113;081165003;08116005;no;Altdorf;Altdorf;1531;3246800;3;;
DE113;DE113;081165003;08116006;no;Altenriet;Altenriet;1907;3348800;2;;
DE113;DE113;081165003;08116008;no;Bempflingen;Bempflingen;3398;6273700;2;;
DE113;DE113;081165003;08116041;no;Neckartailfingen;Neckartailfingen;3706;8259800;2;;
DE113;DE113;081165003;08116042;no;Neckartenzlingen;Neckartenzlingen;6342;9033800;2;;
DE113;DE113;081165003;08116063;no;Schlaitdorf;Schlaitdorf;1827;7312800;2;;
DE113;DE113;081165004;08116011;no;Beuren;Beuren;3388;11693400;2;;
