"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Marousi","4601","Municipal Commune of Amaroussio (psevdo)","EL301_46010000","72333","13.44","5381.92"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Aghia Paraskevi","4602","Municipal Commune of Aghia Paraskevi (psevdo)","EL301_46020000","59704","8.38","7124.58"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Vrilissia","4603","Municipal Commune of Vrilissia (psevdo)","EL301_46030000","30741","3.54","8683.9"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Iraklio","4604","Municipal Commune of Iraklio (psevdo)","EL301_46040000","49642","4.68","10607.26"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Kifisia","4605","Municipal Commune of Kifissia","EL301_46050101","47332","26.11","1812.79"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Kifisia","4605","Municipal Commune of Ekali","EL301_46050201","5889","4.32","1363.19"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Kifisia","4605","Municipal Commune of Nea Erythrea","EL301_46050301","18038","5.03","3586.08"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Lykovrysi-Pefki","4606","Municipal Commune of Pefki","EL301_46060101","21415","2.14","10007.01"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Lykovrysi-Pefki","4606","Municipal Commune of Lykovryssi","EL301_46060201","9738","1.97","4943.15"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Metamorfossi","4607","Municipal Commune of Metamorfossi (psevdo)","EL301_46070000","29891","5.34","5597.57"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Nea Ionia","4608","Municipal Commune of Nea Ionia (psevdo)","EL301_46080000","67134","4.4","15257.73"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Papagou-Cholargos","4609","Municipal Commune of Cholargos","EL301_46090101","30840","3.78","8158.73"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Papagou-Cholargos","4609","Municipal Commune of Papagos","EL301_46090201","13699","3.37","4064.99"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Penteli","4610","Municipal Commune of Melissia","EL301_46100101","22741","3.87","5876.23"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Penteli","4610","Municipal Commune of Nea Penteli","EL301_46100201","7198","3.03","2375.58"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Penteli","4610","Municipal Commune of Penteli","EL301_46100301","4995","24.16","206.75"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Filothei-Psychiko","4611","Municipal Commune of Psychiko","EL301_46110101","9529","2.76","3452.54"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Filothei-Psychiko","4611","Municipal Commune of Neo Psychiko","EL301_46110201","10137","1.06","9563.21"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Filothei-Psychiko","4611","Municipal Commune of Filothei","EL301_46110301","7302","2.21","3304.07"
"Attiki","EL3","Attica","EL30","Northern Athens","EL301","Chalandri","4612","Municipal Commune of Chalandri (psevdo)","EL301_46120000","74192","10.26","7231.19"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Peristeri","4701","Municipal Commune of Peristeri (psevdo)","EL302_47010000","139981","10.82","12937.25"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Aghia Varvara","4702","Municipal Commune of Aghia Varvara (psevdo)","EL302_47020000","26550","2.17","12235.02"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Agioi Anargyroi-Kamatero","4703","Municipal Commune of Aghii Anargyri","EL302_47030101","34168","3.26","10480.98"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Agioi Anargyroi-Kamatero","4703","Municipal Commune of Kamatero","EL302_47030201","28361","6.27","4523.29"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Aegaleo","4704","Municipal Commune of Aegaleo (psevdo)","EL302_47040000","69946","6.42","10895.02"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Ilio","4705","Municipal Commune of Ilio (psevdo)","EL302_47050000","84793","8.1","10468.27"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Petroupoli","4706","Municipal Commune of Petroupoli (psevdo)","EL302_47060000","58979","7.54","7822.15"
"Attiki","EL3","Attica","EL30","Western Athens","EL302","Chaidari","4707","Municipal Commune of Chaidari (psevdo)","EL302_47070000","46897","23.15","2025.79"
"Attiki","EL3","Attica","EL30","Central Athens","EL303","Athens","4501","Municipal Commune of Athens (psevdo)","EL303_45010000","664046","38.98","17035.56"
"Attiki","EL3","Attica","EL30","Central Athens","EL303","Vyronas","4502","Municipal Commune of Vyron (psevdo)","EL303_45020000","61308","9.65","6353.16"
"Attiki","EL3","Attica","EL30","Central Athens","EL303","Galatsi","4503","Municipal Commune of Galatsi (psevdo)","EL303_45030000","59345","4.18","14197.37"
"Attiki","EL3","Attica","EL30","Central Athens","EL303","Dafni-Ymittos","4504","Municipal Commune of Dafni","EL303_45040101","22913","1.36","16847.79"
