nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Foktő,HU0214,1901,36.58,51.97
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskunfélegyházai,3306,Pálmonostora,HU0270,1991,62.68,31.77
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Felsőszentiván,HU0295,2056,62.08,33.12
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Fajsz,HU0323,1823,36.91,49.39
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Baja,HU0352,37490,205.81,182.16
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Géderlak,HU0357,916,22.09,41.47
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Bátmonostor,HU0365,1643,45.05,36.47
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kecskeméti,3304,Helvécia,HU0409,3249,67.03,48.47
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Dusnok,HU0410,3198,67.12,47.65
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kecskeméti,3304,Ladánybene,HU0578,1729,48.58,35.59
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kunszentmiklósi,3309,Kunadacs,HU0585,1700,106.38,15.98
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bácsalmási,3302,Kunbaja,HU0604,1741,39.53,44.04
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kecskeméti,3304,Lakitelek,HU0620,4433,64.39,68.85
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Kalocsa,HU0644,17622,62.05,284.02
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Drágszél,HU0752,377,14.8,25.47
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kunszentmiklósi,3309,Dunavecse,HU0761,3301,78.75,41.92
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kecskeméti,3304,Kunbaracs,HU0772,689,65.48,10.52
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Dunapataj,HU0786,3587,106.13,33.8
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskőrösi,3305,Imrehegy,HU0809,768,82.19,9.34
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskőrösi,3305,Bócsa,HU0830,1820,114.14,15.95
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskunhalasi,3307,Harkakötöny,HU0835,944,60.78,15.53
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskunmajsai,3308,Jászszentlászló,HU0837,2620,71.02,36.89
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Öregcsertő,HU0867,900,50.65,17.77
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Bácsszentgyörgy,HU0869,171,16.88,10.13
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kunszentmiklósi,3309,Újsolt,HU0878,150,38.06,3.94
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskőrösi,3305,Kiskőrös,HU0934,14789,120.43,122.8
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Jánoshalmai,3310,Jánoshalma,HU0946,9585,154.57,62.01
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Bácsbokod,HU1018,3183,75,42.44
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskőrösi,3305,Császártöltés,HU1047,2555,96.77,26.4
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Dávod,HU1053,2090,80.48,25.97
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kecskeméti,3304,Városföld,HU1066,2224,74.14,30
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bácsalmási,3302,Bácsalmás,HU1071,7319,126.38,57.91
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bácsalmási,3302,Katymár,HU1128,1183,82.23,14.39
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kalocsai,3303,Dunaszentbenedek,HU1160,1028,27.42,37.49
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Kiskunmajsai,3308,Szank,HU1179,2546,87.86,28.98
Észak és Alföld,HU3,Dél-Alföld,HU33,Bács-Kiskun,HU331,Bajai,3301,Érsekcsanád,HU1186,2914,67.71,43.04
