"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Porte","ITC11_001200","318","4.45","71.50"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Burolo","ITC11_001042","1480","5.48","270.27"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Alpette","ITC11_001007","228","5.63","40.52"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Issiglio","ITC11_001124","415","5.50","75.40"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cantalupa","ITC11_001053","1412","11.20","126.12"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Rivarossa","ITC11_001218","1443","10.87","132.71"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cantoira","ITC11_001054","551","23.03","23.92"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Alpignano","ITC11_001008","16660","11.92","1397.71"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Andezeno","ITC11_001009","2331","7.49","311.38"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Grosso","ITC11_001119","580","4.33","133.96"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bollengo","ITC11_001027","2031","14.22","142.79"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Busano","ITC11_001043","845","5.06","167.02"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Maglione","ITC11_001143","500","6.31","79.20"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Francesco al Campo","ITC11_001240","4957","14.98","330.91"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Mombello di Torino","ITC11_001153","431","4.08","105.57"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Montalenghe","ITC11_001159","826","6.47","127.70"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Montalto Dora","ITC11_001160","3341","7.36","454.14"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Montanaro","ITC11_001161","5375","20.90","257.13"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Monteu da Po","ITC11_001162","880","7.39","119.08"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Palazzo Canavese","ITC11_001177","821","5.08","161.55"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Castagneto Po","ITC11_001064","1569","11.47","136.75"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Andrate","ITC11_001010","174","9.31","18.69"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Claviere","ITC11_001087","50","2.69","18.61"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Settimo Rottaro","ITC11_001264","624","6.06","103.01"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Giorio di Susa","ITC11_001245","1043","19.74","52.85"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Giusto Canavese","ITC11_001246","3431","9.61","356.90"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Grugliasco","ITC11_001120","56934","13.13","4335.42"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Osasio","ITC11_001174","832","4.58","181.77"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Caprie","ITC11_001055","2058","16.41","125.43"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Sangano","ITC11_001241","3356","6.65","504.56"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chiaverano","ITC11_001077","2177","12.02","181.08"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Castellamonte","ITC11_001066","9317","38.71","240.71"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Sebastiano da Po","ITC11_001253","1964","16.58","118.48"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Vallo Torinese","ITC11_001286","31","6.08","5.10"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Pietro Val Lemina","ITC11_001250","1342","12.44","107.84"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Balangero","ITC11_001016","3723","13.01","286.24"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Azeglio","ITC11_001014","899","9.96","90.25"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bibiana","ITC11_001025","2778","18.60","149.37"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Vinovo","ITC11_001309","15401","17.69","870.39"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Virle Piemonte","ITC11_001310","1157","14.06","82.30"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bairo","ITC11_001015","964","7.09","136.04"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Baldissero Canavese","ITC11_001017","626","4.51","138.91"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","San Ponso","ITC11_001251","311","2.12","146.40"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Almese","ITC11_001006","6727","17.88","376.32"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Ala di Stura","ITC11_001003","467","46.33","10.08"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Buriasco","ITC11_001041","1232","14.69","83.88"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Campiglione-Fenile","ITC11_001049","1820","11.09","164.16"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Villafranca Piemonte","ITC11_001300","4778","50.79","94.08"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Susa","ITC11_001270","6656","10.99","605.75"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Tavagnasco","ITC11_001271","1116","8.68","128.64"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Alice Superiore","ITC11_001005","607","7.38","82.25"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Agliè","ITC11_001001","2521","13.15","191.76"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Airasca","ITC11_001002","3801","15.74","241.49"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Villanova Canavese","ITC11_001301","950","4.03","235.69"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Angrogna","ITC11_001011","837","38.88","21.53"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Avigliana","ITC11_001013","9307","23.22","400.86"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Villar Dora","ITC11_001303","1916","5.71","335.75"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Baldissero Torinese","ITC11_001018","3502","15.41","227.32"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bobbio Pellice","ITC11_001026","613","94.08","6.52"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Balme","ITC11_001019","0","62.71","0.00"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Banchette","ITC11_001020","1843","2.03","908.37"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Barbania","ITC11_001021","2107","12.80","164.57"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bardonecchia","ITC11_001022","2634","132.20","19.92"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Barone Canavese","ITC11_001023","761","3.99","190.90"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Beinasco","ITC11_001024","14668","6.73","2178.07"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Borgaro Torinese","ITC11_001028","17357","14.33","1211.54"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Borgiallo","ITC11_001029","347","6.96","49.82"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Borgofranco d'Ivrea","ITC11_001030","4317","13.42","321.71"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Borgomasino","ITC11_001031","833","12.37","67.33"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Borgone Susa","ITC11_001032","2655","4.96","535.10"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bosconero","ITC11_001033","3110","10.92","284.82"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Brandizzo","ITC11_001034","7450","6.29","1184.14"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bricherasio","ITC11_001035","3951","22.76","173.60"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Brosso","ITC11_001036","380","11.14","34.13"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Brozolo","ITC11_001037","513","8.95","57.32"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bruino","ITC11_001038","7537","5.57","1353.09"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Brusasco","ITC11_001039","908","14.36","63.23"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bruzolo","ITC11_001040","1373","12.56","109.32"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Bussoleno","ITC11_001044","6431","37.07","173.50"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Buttigliera Alta","ITC11_001045","6516","8.10","804.70"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cafasse","ITC11_001046","3557","10.23","347.66"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Caluso","ITC11_001047","7363","39.49","186.44"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cambiano","ITC11_001048","6092","14.13","431.09"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Candia Canavese","ITC11_001050","1304","9.13","142.80"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Candiolo","ITC11_001051","5190","11.85","437.97"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Canischio","ITC11_001052","415","11.95","34.73"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Caravino","ITC11_001056","1178","11.54","102.10"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Carema","ITC11_001057","1057","10.26","103.06"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Carignano","ITC11_001058","8783","50.68","173.30"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Carmagnola","ITC11_001059","26055","95.72","272.21"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Casalborgone","ITC11_001060","1775","20.13","88.20"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cascinette d'Ivrea","ITC11_001061","830","2.17","382.03"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Caselette","ITC11_001062","3015","14.31","210.64"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Caselle Torinese","ITC11_001063","18408","28.71","641.13"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Castagnole Piemonte","ITC11_001065","2124","17.28","122.92"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Castelnuovo Nigra","ITC11_001067","532","28.38","18.75"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Castiglione Torinese","ITC11_001068","5344","14.13","378.07"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cavagnolo","ITC11_001069","2867","12.33","232.55"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cavour","ITC11_001070","5450","48.96","111.32"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cercenasco","ITC11_001071","1843","13.16","140.05"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Lugnacco","ITC11_001138","434","4.88","88.87"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Ceres","ITC11_001072","1050","28.05","37.43"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Ceresole Reale","ITC11_001073","161","99.82","1.61"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cesana Torinese","ITC11_001074","1939","121.70","15.93"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chialamberto","ITC11_001075","0","35.45","0.00"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chianocco","ITC11_001076","1756","18.61","94.34"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Moriondo Torinese","ITC11_001163","1171","6.49","180.44"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Coassolo Torinese","ITC11_001088","1511","27.88","54.20"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chieri","ITC11_001078","34697","54.20","640.18"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chiesanuova","ITC11_001079","470","4.12","114.11"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Front","ITC11_001109","1469","10.95","134.17"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chiomonte","ITC11_001080","987","26.76","36.89"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chiusa di San Michele","ITC11_001081","1529","5.92","258.43"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Chivasso","ITC11_001082","23911","51.24","466.66"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cintano","ITC11_001084","430","4.93","87.14"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Cinzano","ITC11_001085","365","6.20","58.91"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Ciriè","ITC11_001086","19137","17.73","1079.17"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Coazze","ITC11_001089","3236","56.57","57.20"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Collegno","ITC11_001090","45939","18.10","2538.12"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Colleretto Castelnuovo","ITC11_001091","30","6.33","4.74"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Colleretto Giacosa","ITC11_001092","856","4.59","186.51"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Condove","ITC11_001093","5460","71.11","76.78"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Isolabella","ITC11_001123","384","4.77","80.47"
"Nord-Ovest","ITC","Piemonte","ITC1","Torino","ITC11","Torino","ITC11","Corio","ITC11_001094","1834","41.49","44.20"
