NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA
LU000;00;0001;no;Luxembourg;Lëtzebuerg;90848;51460000
LU000;02;0201;no;Bascharage;Nidderkäerjeng;7315;19140000
LU000;02;0202;no;Clemency;Kënzeg;2159;14530000
LU000;02;0203;no;Dippach;Dippech;3537;17420000
LU000;02;0204;no;Garnich;Garnech;1771;20950000
LU000;02;0205;no;Hobscheid;Habscht;3026;17550000
LU000;02;0206;no;Kehlen;Kielen;4931;28180000
LU000;02;0207;no;Koerich;Käerch;2101;18880000
LU000;02;0208;no;Kopstal;Koplescht;3092;7900000
LU000;02;0209;no;Mamer;Mamer;7499;27540000
LU000;02;0210;no;Septfontaines;Simmer;775;14960000
LU000;02;0211;no;Steinfort;Stengefort;4422;12160000
LU000;03;0301;no;Bettembourg;Beetebuerg;9818;21490000
LU000;03;0302;no;Differdange;Déifferdeng;21530;22180000
LU000;03;0303;no;Dudelange;Diddeleng;18507;21380000
LU000;03;0304;no;Esch-sur-Alzette;Esch-Uelzecht;30147;14350000
LU000;03;0305;no;Frisange;Fréiseng;3722;18430000
LU000;03;0306;no;Kayl;Keel;7821;14860000
LU000;03;0307;no;Leudelange;Leideleng;2108;13570000
LU000;03;0308;no;Mondercange;Monnerech;6209;21400000
LU000;03;0309;no;Pétange;Péiteng;15582;11930000
LU000;03;0310;no;Reckange-sur-Mess;Reckeng op der Mess;2054;20420000
LU000;03;0311;no;Roeser;Réiser;5159;23800000
LU000;03;0312;no;Rumelange;Rëmeleng;5029;6830000
LU000;03;0313;no;Sanem;Suessem;14421;24420000
LU000;03;0314;no;Schifflange;Schëffleng;8540;7710000
LU000;04;0401;no;Bertrange;Bartreng;6389;17390000
LU000;04;0402;no;Contern;Konter;3483;20550000
LU000;04;0403;no;Hesperange;Hesper;13163;27220000
LU000;04;0404;no;Niederanven;Nidderaanwen;5435;41360000
LU000;04;0405;no;Sandweiler;Sandweiler;3150;7730000
LU000;04;0406;no;Schuttrange;Schëtter;3534;16100000
LU000;04;0407;no;Steinsel;Steesel;4665;21810000
LU000;04;0408;no;Strassen;Stroossen;7218;10710000
LU000;04;0409;no;Walferdange;Walfer;7291;7060000
LU000;04;0410;no;Weiler-la-Tour;Weiler;1841;17070000
LU000;05;0501;no;Colmar-Berg;Kolmer-Bierg;1948;12310000
LU000;05;0502;no;Bissen;Biissen;2750;20750000
LU000;05;0503;no;Boevange-sur-Attert;Béiwen/Attert;1945;18870000
LU000;05;0504;no;Fischbach;Fëschbesch;820;19610000
LU000;05;0505;no;Heffingen;Hiefenech;1045;13340000
LU000;05;0506;no;Larochette;Fiels (an der);1969;15400000
LU000;05;0507;no;Lintgen;Lëntgen;2483;15250000
LU000;05;0508;no;Lorentzweiler;Luerenzweiler;3261;17450000
LU000;05;0509;no;Mersch;Miersch;7655;49740000
LU000;05;0510;no;Nommern;Noumer;1142;22440000
LU000;05;0511;no;Tuntange;Tënten;1195;18740000
LU000;06;0601;no;Wincrange;Wëntger;3729;113360000
LU000;06;0603;no;Clervaux;Klierf;1960;25490000
LU000;06;0604;no;Consthum;Konstem;483;14950000
LU000;06;0606;no;Heinerscheid;Hengescht;1169;33990000
LU000;06;0607;no;Hosingen;Housen;1860;45280000
LU000;06;0608;no;Munshausen;Mënsbech;1102;25570000
LU000;06;0609;no;Troisvierges;Ëlwen;2918;37860000
LU000;06;0610;no;Weiswampach;Wäisswampech;1331;35250000
LU000;07;0702;no;Bettendorf;Bettenduerf;2506;23240000
LU000;07;0703;no;Bourscheid;Buerschent;1317;36860000
LU000;07;0704;no;Diekirch;Dikrech;6390;12420000
LU000;07;0705;no;Ermsdorf;Iermsdref;1008;24090000
LU000;07;0706;no;Erpeldange;Ierpeldeng;2220;17970000
LU000;07;0707;no;Ettelbruck;Ettelbréck;7700;15180000
LU000;07;0708;no;Feulen;Feelen;1572;22760000
LU000;07;0709;no;Hoscheid;Houschent;586;10420000
LU000;07;0710;no;Medernach;Miedernach;1215;15640000
LU000;07;0711;no;Mertzig;Mäerzeg;1705;11100000
LU000;07;0712;no;Reisdorf;Reisduerf;1027;14840000
LU000;07;0713;no;Schieren;Schieren;1531;10410000
LU000;08;0802;no;Beckerich;Biekerech;2284;28410000
LU000;08;0803;no;Preizerdaul;Préizerdaul;1372;15600000
LU000;08;0805;no;Ell;Ell;1081;21550000
LU000;08;0806;no;Rambrouch;Rammerech;3854;79090000
LU000;08;0807;no;Grosbous;Groussbus;883;20110000
LU000;08;0809;no;Redange-sur-Attert;Réiden;2480;31950000
LU000;08;0810;no;Saeul;Sëll;697;14860000
LU000;08;0811;no;Useldange;Useldeng;1472;23920000
LU000;08;0812;no;Vichten;Viichten;1032;12260000
LU000;08;0813;no;Wahl;Wal;850;19740000
LU000;09;0901;no;Boulaide;Bauschelt;927;32130000
LU000;09;0902;no;Esch-sur-Sûre;Esch-Sauer;311;6760000
LU000;09;0903;no;Eschweiler;Eschweiler;851;19880000
LU000;09;0904;no;Goesdorf;Géisdref;1264;29410000
LU000;09;0905;no;Lac de la Haute-Sûre;Stauséigemeng;1575;48500000
LU000;09;0906;no;Heiderscheid;Heischent;1445;32650000
LU000;09;0907;no;Kiischpelt;Kiischpelt;943;33580000
LU000;09;0909;no;Neunhausen;Néngsen;340;11850000
LU000;09;0911;no;Wiltz;Woltz;4851;19370000
LU000;09;0913;no;Winseler;Wanseler;1116;30420000
LU000;10;1001;no;Tandel;Tandel;1725;41720000
LU000;10;1002;no;Putscheid;Pëtscht;958;27130000
LU000;10;1003;no;Vianden;Veianen;1679;9670000
LU000;11;1101;no;Beaufort;Beefort;2126;13740000
LU000;11;1102;no;Bech;Bech;1034;23310000
LU000;11;1103;no;Berdorf;Bäerdref;1600;21930000
LU000;11;1104;no;Consdorf;Konsdref;1803;25720000
LU000;11;1105;no;Echternach;Iechternach;4902;20490000
LU000;11;1106;no;Mompach;Mompech;1047;27580000
LU000;11;1107;no;Rosport;Rouspert;2051;29490000
LU000;11;1108;no;Waldbillig;Waldbëlleg;1478;23280000
LU000;12;1201;no;Betzdorf;Betzder;3196;26080000
LU000;12;1202;no;Biwer;Biwer;1647;23080000
LU000;12;1203;no;Flaxweiler;Fluessweller;1725;30170000
LU000;12;1204;no;Grevenmacher;Gréiwenmaacher;4260;16480000
LU000;12;1205;no;Junglinster;Jonglënster;6341;55380000
LU000;12;1206;no;Manternach;Manternach;1718;27680000
LU000;12;1207;no;Mertert;Mäertert;3631;15250000
LU000;12;1209;no;Wormeldange;Wuermeldeng;2451;17250000
LU000;13;1300;no;Bous;Bus;1319;15430000
LU000;13;1301;no;Burmerange;Biermereng;1042;13370000
LU000;13;1302;no;Dalheim;Duelem;1980;18980000
LU000;13;1303;no;Lenningen;Lenneng;1654;20350000
LU000;13;1304;no;Mondorf-les-Bains;Munneref;4530;13660000
LU000;13;1305;no;Schengen;Schengen;1526;10630000
LU000;13;1306;no;Remich;Réimech;3217;5290000
LU000;13;1307;no;Stadtbredimus;Stadbriedemes;1466;10170000
LU000;13;1308;no;Waldbredimus;Waldbriedemes;966;12570000
LU000;13;1309;no;Wellenstein;Wellesteen;1532;7420000
