"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg","00","Lëtzebuerg","LU000_0001","84679","51.46","1645.53"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Dippech","LU000_0203","3461","17.42","198.68"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Garnech","LU000_0204","1617","20.95","77.18"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Habscht","LU000_0205","2866","17.55","163.30"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Kielen","LU000_0206","4718","28.18","167.42"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Koplescht","LU000_0208","2493","7.90","315.57"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Käerch","LU000_0207","1956","18.88","103.60"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Kënzeg","LU000_0202","2165","14.53","149.00"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Mamer","LU000_0209","7098","27.54","257.73"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Nidderkäerjeng","LU000_0201","7556","19.14","394.78"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Simmer","LU000_0210","780","14.96","52.14"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Capellen","02","Stengefort","LU000_0211","3990","12.16","328.13"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Beetebuerg","LU000_0301","9559","21.49","444.81"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Diddeleng","LU000_0303","17879","21.38","836.25"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Déifferdeng","LU000_0302","17229","22.18","776.78"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Esch-Uelzecht","LU000_0304","23547","14.35","1640.91"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Fréiseng","LU000_0305","3197","18.43","173.47"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Keel","LU000_0306","7098","14.86","477.66"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Leideleng","LU000_0307","1943","13.57","143.18"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Monnerech","LU000_0308","9651","21.40","450.98"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Péiteng","LU000_0309","15252","11.93","1278.46"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Reckeng op der Mess","LU000_0310","2050","20.42","100.39"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Réiser","LU000_0311","4794","23.80","201.43"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Rëmeleng","LU000_0312","4589","6.83","671.89"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Schëffleng","LU000_0314","9213","7.71","1194.94"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Esch-sur-Alzette","03","Suessem","LU000_0313","16756","24.42","686.16"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Bartreng","LU000_0401","6625","17.39","380.97"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Hesper","LU000_0403","10789","27.22","396.36"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Konter","LU000_0402","3018","20.55","146.86"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Nidderaanwen","LU000_0404","5917","41.36","143.06"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Sandweiler","LU000_0405","2620","7.73","338.94"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Schëtter","LU000_0406","3403","16.10","211.37"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Steesel","LU000_0407","4608","21.81","211.28"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Stroossen","LU000_0408","5635","10.71","526.14"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Walfer","LU000_0409","6423","7.06","909.77"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Luxembourg (canton)","04","Weiler","LU000_0410","1342","17.07","78.62"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Mersch","05","Biissen","LU000_0502","2509","20.75","120.92"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Mersch","05","Béiwen/Attert","LU000_0503","1916","18.87","101.54"
"Luxembourg","LU0","Luxembourg","LU00","Luxembourg","LU000","Mersch","05","Fiels (an der)","LU000_0506","1636","15.40","106.23"
