nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Valletta,MT001_MT01101,6550,0.83,7901.24
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Vittoriosa,MT001_MT01103,2629,0.37,7105.4
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Senglea,MT001_MT01104,7072,0.1,67750.11
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Cospicua,MT001_MT01105,9224,0.92,9983.35
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Ħaż-Żabbar,MT001_MT01108,8058,5.24,1537.06
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Fgura,MT001_MT01117,3021,1.11,2714.06
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Floriana,MT001_MT01118,1294,0.95,1361.5
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Kalkara,MT001_MT01129,4394,2.13,2059.17
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Ħal Luqa,MT001_MT01133,9930,6.76,1468.01
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Marsa,MT001_MT01134,1967,2.99,658.42
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Paola,MT001_MT01145,11823,2.57,4604.6
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Santa Luċija,MT001_MT01157,3416,0.79,4345.54
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Ħal Tarxien,MT001_MT01162,10308,0.7,14662.29
Malta,MT0,Malta,MT00,Malta,MT001,Southern Harbour District,MT011,Xgħajra,MT001_MT01165,507,0.86,586.77
