nuts1_name,nuts1,nuts2_name,nuts2,nuts3_name,nuts3
Northern Netherlands,NL1,Groningen,NL11,East Groningen,NL111
Northern Netherlands,NL1,Groningen,NL11,Delfzijl and surroundings,NL112
Northern Netherlands,NL1,Groningen,NL11,Rest of Groningen,NL113
Northern Netherlands,NL1,Friesland,NL12,North Friesland,NL121
Northern Netherlands,NL1,Friesland,NL12,South West Friesland,NL122
Northern Netherlands,NL1,Friesland,NL12,South East Friesland,NL123
Northern Netherlands,NL1,Drenthe,NL13,North Drenthe,NL131
Northern Netherlands,NL1,Drenthe,NL13,South East Drenthe,NL132
Northern Netherlands,NL1,Drenthe,NL13,South West Drenthe,NL133
Eastern Netherlands,NL2,Overijssel,NL21,North Overijssel,NL211
Eastern Netherlands,NL2,Overijssel,NL21,South West Overijssel,NL212
Eastern Netherlands,NL2,Overijssel,NL21,Twente,NL213
Eastern Netherlands,NL2,Gelderland,NL22,Veluwe,NL221
Eastern Netherlands,NL2,Gelderland,NL22,South West Gelderland,NL224
Eastern Netherlands,NL2,Gelderland,NL22,Achterhoek,NL225
Eastern Netherlands,NL2,Gelderland,NL22,Arnhem & Nijmegen,NL226
Eastern Netherlands,NL2,Flevoland,NL23,Flevoland,NL230
Western Netherlands,NL3,Utrecht,NL31,Utrecht,NL310
Western Netherlands,NL3,North Holland,NL32,Kop van North Holland,NL321
Western Netherlands,NL3,North Holland,NL32,Alkmaar and surroundings,NL322
Western Netherlands,NL3,North Holland,NL32,IJmond,NL323
Western Netherlands,NL3,North Holland,NL32,Haarlem agglomeration,NL324
Western Netherlands,NL3,North Holland,NL32,Zaanstreek,NL325
Western Netherlands,NL3,North Holland,NL32,Greater Amsterdam,NL326
Western Netherlands,NL3,North Holland,NL32,Het Gooi and Vechtstreek,NL327
Western Netherlands,NL3,South Holland,NL33,Leiden and Bollenstreek,NL331
Western Netherlands,NL3,South Holland,NL33,The Hague,NL332
Western Netherlands,NL3,South Holland,NL33,Delft and Westland,NL333
Western Netherlands,NL3,South Holland,NL33,East South Holland,NL334
Western Netherlands,NL3,South Holland,NL33,Rijnmond,NL335
Western Netherlands,NL3,South Holland,NL33,South South Holland,NL336
Western Netherlands,NL3,Zeeland,NL34,Zeelandic Flanders,NL341
Western Netherlands,NL3,Zeeland,NL34,Overig Zeeland,NL342
Southern Netherlands,NL4,North Brabant,NL41,West North Brabant,NL411
Southern Netherlands,NL4,North Brabant,NL41,Mid North Brabant,NL412
Southern Netherlands,NL4,North Brabant,NL41,North-East North Brabant,NL413
Southern Netherlands,NL4,North Brabant,NL41,South-East North Brabant,NL414
Southern Netherlands,NL4,Limburg,NL42,North Limburg,NL421
Southern Netherlands,NL4,Limburg,NL42,Mid Limburg,NL422
Southern Netherlands,NL4,Limburg,NL42,South Limburg,NL423
