NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA
NL111;n.a.;0007;no;Bellingwedde;Bellingwedde;9261;108330000
NL111;n.a.;1987;no;Menterwolde;Menterwolde;12503;80340000
NL111;n.a.;1895;01/01/2010;Oldambt;Oldambt;39486;227850000
NL111;n.a.;0765;no;Pekela;Pekela;13054;49100000
NL111;n.a.;0037;no;Stadskanaal;Stadskanaal;33416;117680000
NL111;n.a.;0047;no;Veendam;Veendam;28024;76100000
NL111;n.a.;0048;no;Vlagtwedde;Vlagtwedde;16260;167610000
NL112;n.a.;0003;no;Appingedam;Appingedam;12032;23800000
NL112;n.a.;0010;no;Delfzijl;Delfzijl;26635;133150000
NL112;n.a.;0024;no;Loppersum;Loppersum;10452;111030000
NL113;n.a.;0005;no;Bedum;Bedum;10447;44580000
NL113;n.a.;0009;no;Ten Boer;Ten Boer;7427;45270000
NL113;n.a.;1651;no;Eemsmond;Eemsmond;16426;189940000
NL113;n.a.;0014;no;Groningen;Groningen;187298;78280000
NL113;n.a.;0015;no;Grootegast;Grootegast;12141;86820000
NL113;n.a.;0017;no;Haren;Haren;18516;45640000
NL113;n.a.;0018;no;Hoogezand-Sappemeer;Hoogezand-Sappemeer;34754;66620000
NL113;n.a.;0022;no;Leek;Leek;19364;63320000
NL113;n.a.;1663;no;De Marne;De Marne;10527;168020000
NL113;n.a.;0025;no;Marum;Marum;10449;64500000
NL113;n.a.;0040;no;Slochteren;Slochteren;15555;151100000
NL113;n.a.;0053;no;Winsum;Winsum;14073;101100000
NL113;n.a.;0056;no;Zuidhorn;Zuidhorn;18568;125560000
NL121;n.a.;0059;no;Achtkarspelen;Achtkarspelen;28088;102550000
NL121;n.a.;0060;no;Ameland;Ameland;3501;58830000
NL121;n.a.;0063;no;het Bildt;het Bildt;10908;92380000
NL121;n.a.;0055;no;Boarnsterhim;Boarnsterhim;19357;151660000
NL121;n.a.;1891;no;Dantumadiel;Dantumadiel;19283;85460000
NL121;n.a.;0058;no;Dongeradeel;Dongeradeel;24409;167290000
NL121;n.a.;1722;no;Ferwerderadiel;Ferwerderadiel;8839;97680000
NL121;n.a.;0070;no;Franekeradeel;Franekeradeel;20597;102720000
NL121;n.a.;0072;no;Harlingen;Harlingen;15809;25040000
NL121;n.a.;0079;no;Kollumerland en Nieuwkruisland;Kollumerland en Nieuwkruisland;13005;109810000
NL121;n.a.;0080;no;Leeuwarden;Leeuwarden;94073;79100000
NL121;n.a.;0081;no;Leeuwarderadeel;Leeuwarderadeel;10435;40790000
NL121;n.a.;0140;no;Littenseradiel;Littenseradiel;10924;130710000
NL121;n.a.;0083;no;Menaldumadeel;Menaldumadeel;13748;68880000
NL121;n.a.;0088;no;Schiermonnikoog;Schiermonnikoog;942;43990000
NL121;n.a.;0093;no;Terschelling;Terschelling;4733;86080000
NL121;n.a.;0737;no;Tytsjerksteradiel;Tytsjerksteradiel;32237;149480000
NL121;n.a.;0096;no;Vlieland;Vlieland;1160;36140000
NL122;n.a.;0064;no;Bolsward;Bolsward;9905;9060000
NL122;n.a.;0653;no;Gaasterlân-Sleat;Gaasterlân-Sleat;10303;95260000
NL122;n.a.;0082;no;Lemsterland;Lemsterland;13623;76140000
NL122;n.a.;0104;no;Nijefurd;Nijefurd;10947;96500000
NL122;n.a.;0091;no;Sneek;Sneek;33431;30090000
NL122;n.a.;0710;no;Wûnseradiel;Wûnseradiel;11829;158500000
NL122;n.a.;0683;no;Wymbritseradiel;Wymbritseradiel;16138;138050000
NL123;n.a.;0074;no;Heerenveen;Heerenveen;43418;135070000
NL123;n.a.;0085;no;Ooststellingwerf;Ooststellingwerf;26235;224110000
NL123;n.a.;0086;no;Opsterland;Opsterland;30039;224710000
NL123;n.a.;0051;no;Skarsterlân;Skarsterlân;27289;185270000
NL123;n.a.;0090;no;Smallingerland;Smallingerland;55271;118280000
NL123;n.a.;0098;no;Weststellingwerf;Weststellingwerf;25829;221310000
NL131;n.a.;1680;no;Aa en Hunze;Aa en Hunze;25563;276380000
NL131;n.a.;0106;no;Assen;Assen;66857;81980000
NL131;n.a.;1731;no;Midden-Drenthe;Midden-Drenthe;33560;340980000
NL131;n.a.;1699;no;Noordenveld;Noordenveld;30808;201010000
NL131;n.a.;1730;no;Tynaarlo;Tynaarlo;32408;143500000
NL132;n.a.;1681;no;Borger-Odoorn;Borger-Odoorn;26072;275330000
NL132;n.a.;0109;no;Coevorden;Coevorden;36121;296300000
NL132;n.a.;0114;no;Emmen;Emmen;109491;336580000
NL133;n.a.;0118;no;Hoogeveen;Hoogeveen;54805;127650000
NL133;n.a.;0119;no;Meppel;Meppel;32378;55660000
NL133;n.a.;1701;no;Westerveld;Westerveld;19342;278780000
NL133;n.a.;1690;no;De Wolden;De Wolden;23576;224780000
NL211;n.a.;0148;no;Dalfsen;Dalfsen;27259;165110000
NL211;n.a.;0160;no;Hardenberg;Hardenberg;59014;312850000
NL211;n.a.;0166;no;Kampen;Kampen;50051;142540000
NL211;n.a.;0175;no;Ommen;Ommen;17404;179980000
NL211;n.a.;0180;no;Staphorst;Staphorst;16153;134240000
NL211;n.a.;1708;no;Steenwijkerland;Steenwijkerland;43208;290300000
NL211;n.a.;1896;no;Zwartewaterland;Zwartewaterland;21935;82730000
NL211;n.a.;0193;no;Zwolle;Zwolle;119030;111370000
NL212;n.a.;0150;no;Deventer;Deventer;98523;131250000
NL212;n.a.;1773;no;Olst-Wijhe;Olst-Wijhe;17540;114150000
NL212;n.a.;0177;no;Raalte;Raalte;36796;171190000
NL213;n.a.;0141;no;Almelo;Almelo;72602;67390000
NL213;n.a.;0147;no;Borne;Borne;21330;25990000
NL213;n.a.;1774;no;Dinkelland;Dinkelland;26058;175750000
NL213;n.a.;0153;no;Enschede;Enschede;157052;141030000
NL213;n.a.;0158;no;Haaksbergen;Haaksbergen;24486;104860000
NL213;n.a.;0163;no;Hellendoorn;Hellendoorn;35791;138090000
NL213;n.a.;0164;no;Hengelo;Hengelo;80772;60840000
NL213;n.a.;1735;no;Hof van Twente;Hof van Twente;35468;212850000
NL213;n.a.;0168;no;Losser;Losser;22647;98870000
NL213;n.a.;0173;no;Oldenzaal;Oldenzaal;31974;21590000
NL213;n.a.;1742;no;Rijssen-Holten;Rijssen-Holten;37080;94120000
NL213;n.a.;0183;no;Tubbergen;Tubbergen;21145;147000000
NL213;n.a.;1700;no;Twenterand;Twenterand;33580;106350000
NL213;n.a.;0189;no;Wierden;Wierden;23447;94750000
NL221;n.a.;0200;no;Apeldoorn;Apeldoorn;155726;339870000
NL221;n.a.;0203;no;Barneveld;Barneveld;52490;176020000
NL221;n.a.;0228;no;Ede;Ede;107756;318290000
NL221;n.a.;0230;no;Elburg;Elburg;22176;63860000
NL221;n.a.;0232;no;Epe;Epe;32881;156190000
NL221;n.a.;0233;no;Ermelo;Ermelo;26264;85680000
NL221;n.a.;0243;no;Harderwijk;Harderwijk;44010;38590000
NL221;n.a.;0244;no;Hattem;Hattem;11792;23120000
NL221;n.a.;0246;no;Heerde;Heerde;18313;78690000
NL221;n.a.;0267;no;Nijkerk;Nijkerk;39538;69440000
NL221;n.a.;0302;no;Nunspeet;Nunspeet;26728;128750000
NL221;n.a.;0269;no;Oldebroek;Oldebroek;22750;97730000
NL221;n.a.;0273;no;Putten;Putten;23592;85060000
NL221;n.a.;0279;no;Scherpenzeel;Scherpenzeel;9316;13810000
NL221;n.a.;0285;no;Voorst;Voorst;23772;123100000
NL221;n.a.;0289;no;Wageningen;Wageningen;37359;30450000
NL224;n.a.;0214;no;Buren;Buren;25887;134340000
NL224;n.a.;0216;no;Culemborg;Culemborg;27501;29420000
NL224;n.a.;0236;no;Geldermalsen;Geldermalsen;26260;99940000
NL224;n.a.;0733;no;Lingewaal;Lingewaal;10899;50440000
NL224;n.a.;0263;no;Maasdriel;Maasdriel;23756;66020000
NL224;n.a.;1740;no;Neder-Betuwe;Neder-Betuwe;22553;60660000
NL224;n.a.;0304;no;Neerijnen;Neerijnen;11880;65990000
NL224;n.a.;0281;no;Tiel;Tiel;41192;32290000
NL224;n.a.;0668;no;West Maas en Waal;West Maas en Waal;18413;77400000
NL224;n.a.;0297;no;Zaltbommel;Zaltbommel;26428;79720000
NL225;n.a.;0197;no;Aalten;Aalten;27500;96570000
NL225;n.a.;1859;no;Berkelland;Berkelland;44978;258610000
NL225;n.a.;1876;no;Bronckhorst;Bronckhorst;37751;283550000
NL225;n.a.;0213;no;Brummen;Brummen;21139;84030000
NL225;n.a.;0222;no;Doetinchem;Doetinchem;56108;79070000
NL225;n.a.;0262;no;Lochem;Lochem;33395;213260000
NL225;n.a.;1955;no;Montferland;Montferland;35179;105720000
NL225;n.a.;1586;no;Oost Gelre;Oost Gelre;30026;109750000
NL225;n.a.;1509;no;Oude IJsselstreek;Oude IJsselstreek;39897;136380000
NL225;n.a.;0294;no;Winterswijk;Winterswijk;29051;138150000
NL225;n.a.;0301;no;Zutphen;Zutphen;46870;40930000
NL226;n.a.;0202;no;Arnhem;Arnhem;147018;97940000
NL226;n.a.;0209;no;Beuningen;Beuningen;25481;43740000
NL226;n.a.;0221;no;Doesburg;Doesburg;11600;11590000
