NUTS_3;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
NL111;n.a.;0007;no;Bellingwedde;Bellingwedde;8996;110080000;3
NL111;n.a.;0037;no;Stadskanaal;Stadskanaal;32861;119940000;2
NL111;n.a.;0047;no;Veendam;Veendam;27909;78680000;2
NL111;n.a.;0048;no;Vlagtwedde;Vlagtwedde;16112;170550000;3
NL111;n.a.;0765;no;Pekela;Pekela;12809;50200000;2
NL111;n.a.;1895;no;Oldambt;Oldambt;38750;295960000;3
NL111;n.a.;1987;no;Menterwolde;Menterwolde;12378;81620000;3
NL112;n.a.;0003;no;Appingedam;Appingedam;12019;24580000;2
NL112;n.a.;0010;no;Delfzijl;Delfzijl;26029;227500000;2
NL112;n.a.;0024;no;Loppersum;Loppersum;10298;111990000;3
NL113;n.a.;0005;no;Bedum;Bedum;10550;44960000;2
NL113;n.a.;0009;no;Ten Boer;Ten Boer;7501;45730000;3
NL113;n.a.;0014;no;Groningen;Groningen;195405;83750000;1
NL113;n.a.;0015;no;Grootegast;Grootegast;12220;87740000;3
NL113;n.a.;0017;no;Haren;Haren;18646;50730000;2
NL113;n.a.;0018;no;Hoogezand-Sappemeer;Hoogezand-Sappemeer;34522;72990000;2
NL113;n.a.;0022;no;Leek;Leek;19606;64280000;2
NL113;n.a.;0025;no;Marum;Marum;10387;64890000;2
NL113;n.a.;0040;no;Slochteren;Slochteren;15626;158870000;3
NL113;n.a.;0053;no;Winsum;Winsum;13906;102530000;3
NL113;n.a.;0056;no;Zuidhorn;Zuidhorn;18700;128370000;3
NL113;n.a.;1651;no;Eemsmond;Eemsmond;16085;543350000;3
NL113;n.a.;1663;no;De Marne;De Marne;10335;240330000;3
NL121;n.a.;0055;no;Boarnsterhim;Boarnsterhim;19502;168580000;3
NL121;n.a.;0058;no;Dongeradeel;Dongeradeel;24225;266920000;2
NL121;n.a.;0059;no;Achtkarspelen;Achtkarspelen;28105;103980000;3
NL121;n.a.;0060;no;Ameland;Ameland;3525;268500000;3
NL121;n.a.;0063;no;het Bildt;het Bildt;10652;116480000;3
NL121;n.a.;0070;no;Franekeradeel;Franekeradeel;20469;109170000;2
NL121;n.a.;0072;no;Harlingen;Harlingen;15851;387670000;2
NL121;n.a.;0079;no;Kollumerland en Nieuwkruisland;Kollumerland en Nieuwkruisland;12823;116350000;3
NL121;n.a.;0080;no;Leeuwarden;Leeuwarden;95978;83950000;1
NL121;n.a.;0081;no;Leeuwarderadeel;Leeuwarderadeel;10315;41460000;2
NL121;n.a.;0088;no;Schiermonnikoog;Schiermonnikoog;961;199070000;3
NL121;n.a.;0093;no;Terschelling;Terschelling;4798;673990000;3
NL121;n.a.;0096;no;Vlieland;Vlieland;1110;315800000;3
NL121;n.a.;0140;no;Littenseradiel;Littenseradiel;10954;132640000;3
NL121;n.a.;0737;no;Tytsjerksteradiel;Tytsjerksteradiel;31976;161410000;3
NL121;n.a.;1722;no;Ferwerderadiel;Ferwerderadiel;8852;133180000;3
NL121;n.a.;1891;no;Dantumadiel;Dantumadiel;19131;87530000;2
NL121;n.a.;1908;no;Menameradiel;Menameradiel;13724;70030000;3
NL122;n.a.;0082;no;Lemsterland;Lemsterland;13565;124340000;2
NL122;n.a.;0653;no;Gaasterlân-Sleat;Gaasterlân-Sleat;10192;209340000;3
NL122;n.a.;1900;no;Súdwest Fryslân;Súdwest Fryslân;82632;813140000;3
NL123;n.a.;0051;no;Skarsterlân;Skarsterlân;27434;216800000;3
NL123;n.a.;0074;no;Heerenveen;Heerenveen;43303;140070000;2
NL123;n.a.;0085;no;Ooststellingwerf;Ooststellingwerf;25824;226110000;3
NL123;n.a.;0086;no;Opsterland;Opsterland;29906;227640000;3
NL123;n.a.;0090;no;Smallingerland;Smallingerland;55411;126170000;2
NL123;n.a.;0098;no;Weststellingwerf;Weststellingwerf;25599;228450000;3
NL131;n.a.;0106;no;Assen;Assen;67173;83450000;2
NL131;n.a.;1680;no;Aa en Hunze;Aa en Hunze;25544;278880000;3
NL131;n.a.;1699;no;Noordenveld;Noordenveld;31035;205320000;2
NL131;n.a.;1730;no;Tynaarlo;Tynaarlo;32453;147700000;3
NL131;n.a.;1731;no;Midden-Drenthe;Midden-Drenthe;33435;345870000;3
NL132;n.a.;0109;no;Coevorden;Coevorden;35749;299690000;3
NL132;n.a.;0114;no;Emmen;Emmen;108411;346250000;2
NL132;n.a.;1681;no;Borger-Odoorn;Borger-Odoorn;25670;277890000;3
NL133;n.a.;0118;no;Hoogeveen;Hoogeveen;54845;129250000;2
NL133;n.a.;0119;no;Meppel;Meppel;32721;57030000;2
NL133;n.a.;1690;no;De Wolden;De Wolden;23754;226350000;3
NL133;n.a.;1701;no;Westerveld;Westerveld;19095;282740000;3
NL211;n.a.;0148;no;Dalfsen;Dalfsen;27567;166520000;3
NL211;n.a.;0160;no;Hardenberg;Hardenberg;59588;317140000;3
NL211;n.a.;0166;no;Kampen;Kampen;50905;161790000;2
NL211;n.a.;0175;no;Ommen;Ommen;17307;182010000;2
NL211;n.a.;0180;no;Staphorst;Staphorst;16267;135690000;3
NL211;n.a.;0193;no;Zwolle;Zwolle;122486;119360000;1
NL211;n.a.;1708;no;Steenwijkerland;Steenwijkerland;43432;321590000;3
NL211;n.a.;1896;no;Zwartewaterland;Zwartewaterland;22140;87860000;2
NL212;n.a.;0150;no;Deventer;Deventer;98526;134330000;1
