"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Bellingwedde","NL111_0007","9461","108.33","87.33"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Stadskanaal","NL111_0037","32590","117.68","276.94"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Veendam","NL111_0047","28260","76.10","371.35"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Vlagtwedde","NL111_0048","16826","167.61","100.39"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Pekela","NL111_0765","13296","49.10","270.79"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Oldambt","NL111_1895","39230","227.85","172.17"
"Northern Netherlands","NL1","Groningen","NL11","East Groningen","NL111","East Groningen","NL111","Menterwolde","NL111_1987","12442","80.34","154.87"
"Northern Netherlands","NL1","Groningen","NL11","Delfzijl and surroundings","NL112","Delfzijl and surroundings","NL112","Loppersum","NL112_0024","11362","111.03","102.33"
"Northern Netherlands","NL1","Groningen","NL11","Delfzijl and surroundings","NL112","Delfzijl and surroundings","NL112","Appingedam","NL112_0003","12230","23.80","513.87"
"Northern Netherlands","NL1","Groningen","NL11","Delfzijl and surroundings","NL112","Delfzijl and surroundings","NL112","Delfzijl","NL112_0010","28050","133.15","210.66"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Marne De","NL113_1663","10987","168.02","65.39"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Bedum","NL113_0005","10716","44.58","240.38"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Boer Ten","NL113_0009","6978","45.27","154.14"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Groningen","NL113_0014","179859","78.28","2297.64"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Grootegast","NL113_0015","12246","86.82","141.05"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Haren","NL113_0017","19746","45.64","432.65"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Hoogezand+Sappemeer","NL113_0018","34607","66.62","519.47"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Marum","NL113_0025","10435","64.50","161.78"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Slochteren","NL113_0040","14962","151.10","99.02"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Winsum","NL113_0053","14000","101.10","138.48"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Zuidhorn","NL113_0056","18225","125.56","145.15"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Eemsmond","NL113_1651","16351","189.94","86.09"
"Northern Netherlands","NL1","Groningen","NL11","Rest of Groningen","NL113","Rest of Groningen","NL113","Leek","NL113_0022","18040","63.32","284.90"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Boarnsterhim","NL121_0055","19162","151.66","126.35"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Dongeradeel","NL121_0058","25017","167.29","149.54"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Achtkarspelen","NL121_0059","28665","102.55","279.52"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Ameland","NL121_0060","3474","58.83","59.05"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Bildt het","NL121_0063","11274","92.38","122.04"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Schiermonnikoog","NL121_0088","986","43.99","22.41"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Franekeradeel","NL121_0070","20781","102.72","202.31"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Harlingen","NL121_0072","15702","25.04","627.08"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Kollumerland en Nieuwkruisland","NL121_0079","13069","109.81","119.01"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Leeuwarden","NL121_0080","91784","79.10","1160.35"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Leeuwarderadeel","NL121_0081","10694","40.79","262.17"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Terschelling","NL121_0093","4726","86.08","54.90"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Vlieland","NL121_0096","1124","36.14","31.10"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Littenseradiel","NL121_0140","10782","130.71","82.49"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Tytsjerksteradiel","NL121_0737","31989","149.48","214.00"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Ferwerderadiel","NL121_1722","8975","97.68","91.88"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Dantumadiel","NL121_1891","19272","85.46","225.51"
"Northern Netherlands","NL1","Friesland","NL12","North Friesland","NL121","North Friesland","NL121","Menameradiel","NL121_1908","13696","70.03","195.57"
"Northern Netherlands","NL1","Friesland","NL12","South West Friesland","NL122","South West Friesland","NL122","Lemsterland","NL122_0082","12505","76.14","164.24"
"Northern Netherlands","NL1","Friesland","NL12","South West Friesland","NL122","South West Friesland","NL122","Gaasterlân-Sleat","NL122_0653","10210","95.26","107.18"
"Northern Netherlands","NL1","Friesland","NL12","South West Friesland","NL122","South West Friesland","NL122","Súdwest Fryslân","NL122_1900","80530","813.14","99.04"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Skarsterlân","NL123_0051","27902","185.27","150.60"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Heerenveen","NL123_0074","41802","135.07","309.48"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Ooststellingwerf","NL123_0085","25986","224.11","115.95"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Opsterland","NL123_0086","29153","224.71","129.74"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Smallingerland","NL123_0090","55247","118.28","467.09"
"Northern Netherlands","NL1","Friesland","NL12","South East Friesland","NL123","South East Friesland","NL123","Weststellingwerf","NL123_0098","25386","221.31","114.71"
"Northern Netherlands","NL1","Drenthe","NL13","North Drenthe","NL131","North Drenthe","NL131","Assen","NL131_0106","63760","81.98","777.75"
