NUTS_3_2013_CODE;NUTS_3_2010_CODE;LAU1_NAT_CODE;LAU2_NAT_CODE;CHANGE;NAME_1;NAME_2_LAT;POP;AREA;DEGURBA
PL638;PL635;6224207;622420701;no;Kwidzyn;Kwidzyn;38931;21540000;2
PL638;PL635;6224207;622420702;no;Gardeja;Gardeja;8482;192700000;3
PL638;PL635;6224207;622420703;no;Kwidzyn;Kwidzyn;11119;207370000;3
PL638;PL635;6224207;622420704;no;Prabuty;Prabuty;13373;197130000;3
PL638;PL635;6224207;622420705;no;Ryjewo;Ryjewo;5985;103710000;3
PL638;PL635;6224207;622420706;no;Sadlinki;Sadlinki;5893;112250000;3
PL638;PL635;6224209;622420901;no;Malbork;Malbork;39252;17160000;2
PL638;PL635;6224209;622420903;no;Lichnowy;Lichnowy;4801;88910000;3
PL638;PL635;6224209;622420904;no;Malbork;Malbork;4620;100670000;3
PL638;PL635;6224209;622420906;no;Miłoradz;Miłoradz;3365;93700000;3
PL638;PL635;6224209;622420907;no;Nowy Staw;Nowy Staw;7926;114300000;3
PL638;PL635;6224209;622420908;no;Stare Pole;Stare Pole;4733;79490000;3
PL638;PL635;6224213;622421301;no;Czarna Woda;Czarna Woda;3303;27730000;3
PL638;PL635;6224213;622421302;no;Skórcz;Skórcz;3605;3630000;3
PL638;PL635;6224213;622421303;no;Starogard Gdański;Starogard Gdański;48808;25280000;2
PL638;PL635;6224213;622421304;no;Bobowo;Bobowo;3033;51630000;3
PL638;PL635;6224213;622421305;no;Kaliska;Kaliska;5283;110580000;3
PL638;PL635;6224213;622421306;no;Lubichowo;Lubichowo;6221;160900000;3
PL638;PL635;6224213;622421307;no;Osieczna;Osieczna;2934;122980000;3
PL638;PL635;6224213;622421308;no;Osiek;Osiek;2475;156160000;3
PL638;PL635;6224213;622421309;no;Skarszewy;Skarszewy;14658;169580000;3
PL638;PL635;6224213;622421310;no;Skórcz;Skórcz;4659;96860000;3
PL638;PL635;6224213;622421311;no;Smętowo Graniczne;Smętowo Graniczne;5354;86010000;3
PL638;PL635;6224213;622421312;no;Starogard Gdański;Starogard Gdański;15338;196210000;3
PL638;PL635;6224213;622421313;no;Zblewo;Zblewo;11426;137790000;3
PL638;PL635;6224214;622421401;no;Tczew;Tczew;60769;22380000;1
PL638;PL635;6224214;622421402;no;Gniew;Gniew;16006;194120000;3
PL638;PL635;6224214;622421403;no;Morzeszczyn;Morzeszczyn;3778;91190000;3
PL638;PL635;6224214;622421404;no;Pelplin;Pelplin;16718;141020000;3
PL638;PL635;6224214;622421405;no;Subkowy;Subkowy;5466;77800000;3
PL638;PL635;6224214;622421406;no;Tczew;Tczew;13238;170600000;3
PL638;PL635;6224216;622421601;no;Dzierzgoń;Dzierzgoń;9590;131030000;3
PL638;PL635;6224216;622421602;no;Mikołajki Pomorskie;Mikołajki Pomorskie;3740;91600000;3
PL638;PL635;6224216;622421603;no;Stary Dzierzgoń;Stary Dzierzgoń;4164;185700000;3
PL638;PL635;6224216;622421604;no;Stary Targ;Stary Targ;6429;141350000;3
PL638;PL635;6224216;622421605;no;Sztum;Sztum;18735;181060000;3
PL637;PL631;6224102;622410201;no;Chojnice;Chojnice;40306;21040000;2
PL637;PL631;6224102;622410202;no;Brusy;Brusy;14079;400450000;3
PL637;PL631;6224102;622410203;no;Chojnice;Chojnice;17845;458210000;3
PL637;PL631;6224102;622410204;no;Czersk;Czersk;21491;380110000;3
PL637;PL631;6224102;622410205;no;Konarzyny;Konarzyny;2273;104400000;3
PL637;PL631;6224103;622410301;no;Człuchów;Człuchów;14536;12780000;2
PL637;PL631;6224103;622410302;no;Czarne;Czarne;9394;234830000;3
PL637;PL631;6224103;622410303;no;Człuchów;Człuchów;10686;361470000;3
PL637;PL631;6224103;622410304;no;Debrzno;Debrzno;9301;224030000;3
