"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Miasto Łódź","PL113","Powiat m. Łódź","1101661","Łódź","PL113_110166101","674017","293.25","2298.44"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Ksawerów","PL114_110150805","4958","13.64","363.49"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Dobroń","PL114_110150804","7594","95.46","79.55"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Lutomiersk","PL114_110150806","7442","133.92","55.57"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Głowno","PL114_110152005","4842","104.77","46.22"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Konstantynów Łódzki","PL114_110150801","17422","27.25","639.34"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Brójce","PL114_110150603","3932","69.02","56.97"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Dłutów","PL114_110150803","4387","101.23","43.34"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Koluszki","PL114_110150607","12440","157.20","79.13"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Nowosolna","PL114_110150608","3781","53.98","70.04"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Andrespol","PL114_110150602","9808","23.34","420.22"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Rzgów","PL114_110150610","8015","66.32","120.85"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat łódzki wschodni","1101506","Tuszyn","PL114_110150611","11687","129.90","89.97"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Pabianice","PL114_110150802","26807","32.99","812.58"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat pabianicki","1101508","Pabianice","PL114_110150807","5346","87.69","60.96"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Głowno","PL114_110152001","15291","19.84","770.72"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Ozorków","PL114_110152002","19557","15.46","1265.01"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Zgierz","PL114_110152003","58402","42.33","1379.68"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Aleksandrów Łódzki","PL114_110152004","26777","116.43","229.98"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Ozorków","PL114_110152006","7514","95.51","78.67"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Parzęczew","PL114_110152007","4875","103.89","46.92"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Stryków","PL114_110152008","12216","157.90","77.37"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat zgierski","1101520","Zgierz","PL114_110152009","11488","199.05","57.71"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat brzeziński","1101521","Brzeziny","PL114_110152102","5068","106.64","47.52"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat brzeziński","1101521","Dmosin","PL114_110152103","4375","100.19","43.67"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat brzeziński","1101521","Jeżów","PL114_110152104","3608","64.09","56.30"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat brzeziński","1101521","Rogów","PL114_110152105","4835","66.06","73.19"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Łódzki","PL114","Powiat brzeziński","1101521","Brzeziny","PL114_110152101","12214","21.58","565.99"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Kobiele Wielkie","PL115_110171206","4494","101.72","44.18"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Rozprza","PL115_110171008","12198","163.08","74.80"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Sulejów","PL115_110171009","15973","188.23","84.86"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Poświętne","PL115_110170706","3165","140.81","22.48"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Bełchatów","PL115_110170101","61845","34.64","1785.36"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Bełchatów","PL115_110170102","9394","180.36","52.08"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Drużbice","PL115_110170103","4842","113.35","42.72"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Kleszczów","PL115_110170104","4255","124.76","34.11"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Kluki","PL115_110170105","3937","118.54","33.21"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Rusiec","PL115_110170106","5354","99.91","53.59"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Szczerców","PL115_110170107","7564","128.95","58.66"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat bełchatowski","1101701","Zelów","PL115_110170108","15193","167.09","90.93"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Wola Krzysztoporska","PL115_110171010","11736","170.75","68.73"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Białaczów","PL115_110170701","6069","114.63","52.94"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Drzewica","PL115_110170702","11138","118.19","94.24"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Mniszków","PL115_110170703","4804","124.16","38.69"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Opoczno","PL115_110170704","34969","190.64","183.43"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Paradyż","PL115_110170705","4592","81.39","56.42"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Sławno","PL115_110170707","7095","129.31","54.87"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat opoczyński","1101707","Żarnów","PL115_110170708","6069","141.06","43.02"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Aleksandrów","PL115_110171001","4531","144.09","31.45"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Kamieńsk","PL115_110171205","6124","96.44","63.50"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Czarnocin","PL115_110171002","3440","71.79","47.92"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Gorzkowice","PL115_110171003","8474","102.17","82.94"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Grabica","PL115_110171004","5832","127.62","45.70"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Łęki Szlacheckie","PL115_110171005","3725","108.96","34.19"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Moszczenica","PL115_110171006","12983","111.49","116.45"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Radomsko","PL115_110171201","48083","51.43","934.92"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Ręczno","PL115_110171007","3554","88.90","39.98"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat piotrkowski","1101710","Wolbórz","PL115_110171011","7845","151.66","51.73"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Lgota Wielka","PL115_110171208","4567","63.07","72.41"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Dobryszyce","PL115_110171202","3761","50.82","74.01"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Gidle","PL115_110171203","6474","115.98","55.82"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Gomunice","PL115_110171204","6130","62.45","98.16"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Kodrąb","PL115_110171207","4604","105.83","43.50"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Ładzice","PL115_110171209","5003","82.77","60.44"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Masłowice","PL115_110171210","4327","115.97","37.31"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Przedbórz","PL115_110171211","7644","189.70","40.30"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Radomsko","PL115_110171212","6933","85.63","80.96"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Wielgomłyny","PL115_110171213","4967","123.15","40.33"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat radomszczański","1101712","Żytno","PL115_110171214","5101","197.61","25.81"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Tomaszów Mazowiecki","PL115_110171601","64631","41.30","1564.92"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Rzeczyca","PL115_110171608","4779","108.61","44.00"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Będków","PL115_110171602","3146","57.74","54.49"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Budziszewice","PL115_110171603","1257","30.17","41.66"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Czerniewice","PL115_110171604","4741","128.07","37.02"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Inowłódz","PL115_110171605","3798","97.83","38.82"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Lubochnia","PL115_110171606","6831","131.37","52.00"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Rokiciny","PL115_110171607","4255","90.58","46.98"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Tomaszów Mazowiecki","PL115_110171609","11486","149.82","76.67"
"REGION CENTRALNY","PL1","Łódzkie","PL11","Piotrkowski","PL115","Powiat tomaszowski","1101716","Ujazd","PL115_110171610","5674","96.95","58.53"
