"nuts1_name","nuts1_code","nuts2_name","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","population","territory","density"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Dumbría","ES111_15034","4097","125.19","32.73"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Laracha, A","ES111_15041","10742","125.95","85.29"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Muxía","ES111_15052","5551","121.19","45.81"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Ponteceso","ES111_15068","6738","91.97","73.26"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Teo","ES111_15082","16542","79.30","208.60"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Toques","ES111_15083","1442","77.93","18.50"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Corcubión","ES111_15028","1534","6.52","235.43"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Mugardos","ES111_15051","5455","12.77","427.14"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Carballo","ES111_15019","29764","186.09","159.95"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Arzúa","ES111_15006","6491","155.48","41.75"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cambre","ES111_15017","21446","40.74","526.42"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Abegondo","ES111_15001","5628","83.81","67.15"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Ames","ES111_15002","22914","80.04","286.27"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Culleredo","ES111_15031","26427","61.73","428.12"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Camariñas","ES111_15016","6237","51.60","120.88"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Aranga","ES111_15003","1987","119.65","16.61"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Ares","ES111_15004","5384","18.31","294.05"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Arteixo","ES111_15005","24564","93.68","262.21"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Curtis","ES111_15032","4195","116.57","35.99"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Coristanco","ES111_15029","7683","141.28","54.38"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Capela, A","ES111_15018","1453","58.00","25.05"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Baña, A","ES111_15007","4471","98.19","45.53"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Bergondo","ES111_15008","6612","32.72","202.08"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Betanzos","ES111_15009","13299","24.19","549.81"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Muros","ES111_15053","9999","72.91","137.14"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Boimorto","ES111_15010","2414","82.34","29.32"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Boiro","ES111_15011","16767","86.58","193.66"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Boqueixón","ES111_15012","4583","73.18","62.63"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Brión","ES111_15013","7100","74.90","94.80"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cabana de Bergantiños","ES111_15014","5242","100.23","52.30"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cabanas","ES111_15015","3500","30.30","115.49"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Carnota","ES111_15020","5148","70.90","72.61"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Carral","ES111_15021","5046","48.03","105.06"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cedeira","ES111_15022","7439","85.42","87.09"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Mañón","ES111_15044","1765","82.21","21.47"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cee","ES111_15023","7960","57.45","138.55"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cerceda","ES111_15024","5510","111.27","49.52"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cerdido","ES111_15025","1411","52.72","26.76"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Cesuras","ES111_15026","2268","79.46","28.54"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Mazaricos","ES111_15045","5335","187.30","28.48"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Coirós","ES111_15027","1601","33.87","47.27"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Coruña, A","ES111_15030","225229","37.83","5953.69"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Ribeira","ES111_15073","27012","68.83","392.45"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Dodro","ES111_15033","3594","36.12","99.51"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Fene","ES111_15035","14385","26.31","546.84"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Ferrol","ES111_15036","81687","82.65","988.33"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Fisterra","ES111_15037","5009","29.43","170.19"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Frades","ES111_15038","2749","81.56","33.70"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Irixoa","ES111_15039","1691","68.59","24.65"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Laxe","ES111_15040","3330","36.78","90.55"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Lousame","ES111_15042","3589","93.65","38.32"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Malpica de Bergantiños","ES111_15043","6417","61.22","104.82"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Melide","ES111_15046","8066","101.30","79.62"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Mesía","ES111_15047","3427","107.07","32.01"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Miño","ES111_15048","5207","32.97","157.93"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Moeche","ES111_15049","1465","48.50","30.21"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Monfero","ES111_15050","2365","171.67","13.78"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Narón","ES111_15054","29604","66.91","442.44"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Neda","ES111_15055","6822","24.46","278.89"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Negreira","ES111_15056","6601","115.10","57.35"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Noia","ES111_15057","15105","37.21","405.96"
"NOROESTE","ES1","Galicia","ES11","A Coruña","ES111","A Coruña","ES111","Oleiros","ES111_15058","30425","43.66","696.83"
