beneficiary,beneficiary_address,project_title,project_description,total_amount,status,funding_agency
"""BAMED"" Babyartikel Gesellschaft m.b.H.","7011 Siegendorf im Burgenland, Gewerbezone Ost 2/Top 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Führungskräfte-Training für Manager/Abteilungsleiter - ""Freude am Führen - Ihr persönlicher Führungsstil""",997.5,A,Wirtschaft Burgenland GmbH
"""BAMED"" Babyartikel Gesellschaft m.b.H.","7011 Siegendorf im Burgenland, Gewerbezone Ost 2/Top 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",TRIZ Level 1 Training,735,A,Wirtschaft Burgenland GmbH
"""BAMED"" Babyartikel Gesellschaft m.b.H.","7011 Siegendorf im Burgenland, Gewerbezone Ost 2/Top 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","Das 3 ""K""-System - Kommunikation, Kooperation und Konfliktmanagement",679,A,Wirtschaft Burgenland GmbH
"""Fleisch-Wurst""-Graf GmbH","2443 Leithaprodersdorf, Hauptstraße 13","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Seminar Strategische Unternehmensplanung (BYB),3817.5,A,Wirtschaft Burgenland GmbH
"""Sport Zink Eisenstadt"" Sportartikelhandels KG","7000 Eisenstadt, Ruster Straße 146","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Akademischer Lehrgang für MitarbeiterInnen im Handel,5160,A,Wirtschaft Burgenland GmbH
A.I.R. Kommunal- und Regionalplanung GmbH,"7000 Eisenstadt, Marktstraße 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",Zertifikationslehrgang für ModeratorInnen und ProzessbegleiterInnen,1792.5,A,Wirtschaft Burgenland GmbH
A.T.C. Produktion & Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften","EN ISO 3834, EN 1090 Implementierung im Unternehmen",1035,A,Wirtschaft Burgenland GmbH
A.T.C. Produktion & Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3","Aus- und Weiterbildung von UnternehmerInnen, Fach- und Führungskräften",ZfP Komibkurs - Eindringprüfung (PT) Stufe 1+2,733.12,A,Wirtschaft Burgenland GmbH
A.T.C.-Produktion&Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Schulung Fakturierung,10200,A,Arbeitsmarktservice Burgenland
A.T.C.-Produktion&Handel GmbH,"7041 Wulkaprodersdorf, Industriegelände 3",Qualifizierungsförderung für Beschäftigung Qualifizierungsverbund,Qualifizierungsförderung für Beschäftigte: Schweißerausbildung,11779,A,Arbeitsmarktservice Burgenland
Abalon Hardwood GmbH.,"7561 Heiligenkreuz, Europastraße 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: Cambridge English Course I,172.5,A,Arbeitsmarktservice Burgenland
Abalon Hardwood GmbH.,"7561 Heiligenkreuz, Europastraße 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: SPS IV,735,A,Arbeitsmarktservice Burgenland
Abalon Hardwood GmbH.,"7561 Heiligenkreuz, Europastraße 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: SPS III,487.5,A,Arbeitsmarktservice Burgenland
Abalon Hardwood GmbH.,"7561 Heiligenkreuz, Europastraße 2",Qualifizierungsförderung für Beschäftigte,Qualifizierungsförderung für Beschäftigte: VK Meisterprüfung Schlosser,2052,A,Arbeitsmarktservice Burgenland
