nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Deutschkreutz,AT111_10801,3153,41.0,76.9
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Draßmarkt,AT111_10802,1381,41.91,32.95
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Frankenau-Unterpullendorf,AT111_10803,1121,35.75,31.36
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Großwarasdorf,AT111_10804,1454,50.16,28.99
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Horitschon,AT111_10805,1648,22.58,72.98
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Kaisersdorf,AT111_10806,542,15.32,35.39
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Kobersdorf,AT111_10807,1947,31.6,61.62
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Lackenbach,AT111_10808,1104,22.47,49.12
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Lockenhaus,AT111_10809,1971,69.77,28.25
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Lutzmannsburg,AT111_10810,945,27.63,34.21
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Mannersdorf an der Rabnitz,AT111_10811,1805,45.95,39.28
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Markt Sankt Martin,AT111_10812,1088,38.61,28.18
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Neckenmarkt,AT111_10813,2054,31.67,64.86
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Neutal,AT111_10814,1004,13.49,74.42
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Nikitsch,AT111_10815,1483,61.19,24.24
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Oberpullendorf,AT111_10816,2934,15.39,190.61
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Pilgersdorf,AT111_10817,1888,52.74,35.8
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Piringsdorf,AT111_10818,796,19.51,40.79
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Raiding,AT111_10819,775,16.19,47.87
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Ritzing,AT111_10820,1011,21.97,46.02
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Steinberg-Dörfl,AT111_10821,1320,44.47,29.68
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Stoob,AT111_10822,1461,20.73,70.47
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Weppersdorf,AT111_10823,1806,30.48,59.24
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Lackendorf,AT111_10824,574,14.23,40.34
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Unterfrauenhaid,AT111_10825,674,12.35,54.56
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Unterrabnitz-Schwendgraben,AT111_10826,648,16.63,38.96
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Weingraben,AT111_10827,381,11.48,33.18
Ostösterreich,AT1,Burgenland,AT11,Mittelburgenland,AT111,Mittelburgenland,AT111,Oberloisdorf,AT111_10828,774,13.62,56.83
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Eisenstadt,AT112_10101,12239,51.18,239.14
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Rust,AT112_10201,1822,24.11,75.56
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Breitenbrunn am Neusiedler See,AT112_10301,1904,30.95,61.53
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Donnerskirchen,AT112_10302,1725,40.88,42.19
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Großhöflein,AT112_10303,1693,16.46,102.85
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Hornstein,AT112_10304,2461,44.01,55.92
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Klingenbach,AT112_10305,430,5.67,75.85
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Leithaprodersdorf,AT112_10306,974,22.16,43.94
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Mörbisch am See,AT112_10307,2327,33.38,69.71
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Müllendorf,AT112_10308,1467,15.65,93.74
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Neufeld an der Leitha,AT112_10309,4037,4.66,865.73
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Oggau am Neusiedler See,AT112_10310,1815,62.21,29.18
Ostösterreich,AT1,Burgenland,AT11,Nordburgenland,AT112,Nordburgenland,AT112,Oslip,AT112_10311,1291,21.8,59.21
