Bénéficiaires,Date de décision,Montant de l'investissement total,Montants cofinancés décidées,Feder décidées,Part wallonne décidées,Montants cofinancés payées,Feder payées,Part wallonne payées,Date de clôture,project
BELGIUM SATELLITE SA,15/09/2008,"5.004.688,00","724.178,35","253.462,42","470.715,93","289.671,34","101.384,96","188.286,38",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
EVS BROADCAST SA,26/09/2008,"8.000.000,00","1.240.800,00","434.280,00","806.520,00","1.240.800,02","434.280,01","806.520,01",19/07/2013,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
FONDERIES MARICHAL KETIN SA,18/12/2008,"4.014.875,00","671.688,59","235.091,01","436.597,58","671.688,59","235.091,01","436.597,58",4/12/2014,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
LIEGE AIR CARGO SA,26/09/2008,"3.119.135,00","467.870,25","163.754,59","304.115,66","327.509,19","114.628,22","212.880,97",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
NRB SA,26/08/2008,"30.107.000,00","4.622.000,00","1.617.700,00","3.004.300,00","4.622.000,00","1.617.700,00","3.004.300,00",14/05/2012,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
KNAUF INSULATION SPRL,18/12/2008,"2.965.000,00","473.214,00","165.624,90","307.589,10","473.213,99","165.624,89","307.589,10",13/01/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
KITOZYME SA,24/04/2009,"4.393.000,00","1.054.320,00","369.012,00","685.308,00","738.023,99","258.308,40","479.715,59",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
LASER ENGINEERING APPLICATIONS SA,10/11/2009,"1.550.000,00","310.000,00","108.500,00","201.500,00","309.999,99","108.499,99","201.500,00",30/11/2012,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. STERIGENICS BELGIUM,01/04/2010,"7.980.642,00","1.200.000,00","420.000,00","780.000,00","1.199.999,99","419.999,99","780.000,00",29/11/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. IKNOST,01/04/2010,"121.500,00","29.160,00","10.206,00","18.954,00","29.160,01","10.206,00","18.954,01",01/07/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. ELIOSYS,16/07/2010,"300.000,00","96.000,00","33.600,00","62.400,00","96.000,00","33.600,00","62.400,00",29/11/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. EVS BROADCAST EQUIPMENT,28/12/2010,"29.000.000,00","4.390.600,00","1.536.710,00","2.853.890,00","3.073.420,00","1.075.696,99","1.997.723,01",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
FARNELL ELECTRONIC COMPONENTS LTD,14/07/2011,"2.425.499,00","363.824,85","127.338,70","236.486,15","0,00","0,00","0,00",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. LVH INDUSTRY,14/10/2011,"300.607,93","87.176,30","46.487,00","40.689,30","87.176,29","46.486,99","40.689,30",2/10/2013,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. LASER ENGINEERING APPLICATIONS,15/10/2013,"562.000,00","129.260,00","45.241,00","84.019,00","51.704,00","18.096,40","33.607,60",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. AC RECYCLING,15/04/2014,"7.500.000,00","1.146.000,00","401.100,00","744.900,00","0,00","0,00","0,00",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. MAPEI BENELUX,03/06/2014,"4.200.000,00","504.000,00","176.400,00","327.600,00","0,00","0,00","0,00",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
S.A. PHYSIOL,24/06/2014,"3.900.000,00","663.000,00","232.050,00","430.950,00","265.200,00","92.819,99","172.380,01",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
