Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
ASBL MNEMA,"Mnema, Cité Miroir / Réhabilitation des Bains et Thermes de la Sauvenière - Liège",ASSAINISSEMENT DU SITE,08/10/2015,"1.608.627,00","643.450,80","965.176,20","0,00","1.608.626,10","643.450,44","965.175,66","0,00",20/03/2014
Commune de Ans,Ans en actions,REHABILITATION DU SITE DE LA CAISSERIE,24/07/2008,"836.000,00","334.400,00","501.600,00","0,00","135.874,90","54.349,96","81.524,94","0,00",
Commune de DISON,VERDI,P 2.1. Interlac - bâtiment PHASE 1,27/02/2014,"6.937.618,59","2.775.047,43","4.162.571,16","0,00","6.396.631,21","2.558.652,48","3.837.978,73","0,00",
Commune de DISON,VERDI,P 2.3. Ancienne usine Interlac - réhabilitation du bâtiment PHASE 2,27/02/2014,"919.517,73","367.807,09","551.710,64","0,00","0,00","0,00","0,00","0,00",
Commune de Sambreville,Sambreville - Pôle de développement de la Basse- Sambre,Rénovation du site industriel du Bon grain,03/12/2015,"1.913.106,86","765.242,74","1.147.864,12","0,00","355.611,71","142.244,68","213.367,03","0,00",
GEPART SA,Liège - Extension de l'aéroport,Réhabilitation du site Boma,10/12/2015,"8.001.572,00","3.200.628,80","4.800.943,20","0,00","5.651.227,43","2.260.490,97","3.390.736,46","0,00",
GEPART SA,Réhabilitation de sites pollués - Compétitivité et emploi,Liège - Site LBP,10/12/2015,"11.050.119,55","4.420.047,82","6.630.071,73","0,00","10.433.481,87","4.173.392,74","6.260.089,13","0,00",
GEPART SA,Réhabilitation de sites pollués - Compétitivité et emploi,Marchin - Site Papeterie Godin,10/12/2015,"2.429.800,42","971.920,16","1.457.880,26","0,00","2.429.800,38","971.920,15","1.457.880,23","0,00",24/06/2014
GEPART SA,Réhabilitation de sites pollués - Compétitivité et emploi,Seraing - Site Bois Saint-Jean,10/12/2015,"227.200,49","90.880,20","136.320,29","0,00","227.200,49","90.880,20","136.320,29","0,00",28/07/2010
GEPART SA,Réhabilitation de sites pollués - Compétitivité et emploi,Seraing - Usine Cockerill - Néocittà II - Boulevard urbain,10/12/2015,"1.427.964,54","571.185,82","856.778,72","0,00","1.427.963,99","571.185,59","856.778,40","0,00",28/03/2014
GEPART SA,Requalification des terrains entourant la gare de Bressoux à Liège,Réhabilitation,10/12/2015,"7.836.877,27","3.134.750,91","4.702.126,36","0,00","6.764.183,83","2.705.673,53","4.058.510,30","0,00",
SPI- Services Promotion Initiatives en Province de Liège,SPI - INTERVAPEUR - ABATTOIR,Requalification,22/10/2015,"2.727.453,00","991.592,81","1.487.389,22","0,00","1.035.947,89","376.629,22","564.943,81","0,00",
Ville de Verviers,VERVIERS EST - COUVALLES,Assainissement,08/10/2015,"890.582,65","356.233,06","534.349,59","0,00","833.434,68","333.373,87","500.060,81","0,00",20/01/2014
