Bénéficiaires,Date de décision,Montant de l'investissement total,Montants cofinancés décidées,FEDER décidées,Part wallonne décidées,Montants cofinancés payées,FEDER payées,Part wallonne payées,Date de clôture,project
GDTECH,14/12/2010,"680.000,00","408.000,00","163.200,00","244.800,00","0,00","0,00","0,00",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DELTATEC,14/12/2010,"985.000,00","689.500,00","275.800,00","413.700,00","689.500,01","275.800,00","413.700,01",31/03/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
CARDIO3 BIOSCIENCES,14/12/2010,"1.572.200,00","1.100.540,00","440.216,00","660.324,00","644.732,89","257.893,15","386.839,74",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
FEMAGSOFT,14/12/2010,"1.070.459,96","749.321,97","299.728,79","449.593,18","749.321,97","299.728,79","449.593,18",31/10/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DECKERS,14/12/2010,"262.000,00","157.200,00","62.880,00","94.320,00","157.200,01","62.880,00","94.320,01",08/04/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
TECHNIC ONE,14/12/2010,"142.000,00","85.200,00","34.080,00","51.120,00","72.227,72","28.891,08","43.336,64",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
IONIC YACHTS,14/12/2010,"26.902,17","16.141,30","6.456,52","9.684,78","8.910,33","3.564,14","5.346,19",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
NANOCYL,14/12/2010,"23.411,03","14.046,62","5.618,65","8.427,97","14.046,62","5.618,65","8.427,97",30/09/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
HORPI DEVELOPMENT,14/12/2010,"437.939,00","306.557,30","122.622,92","183.934,38","191.684,65","76.673,86","115.010,79",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
AURIGA INTERNATIONAL,13/12/2010,"696.555,00","487.588,50","195.035,40","292.553,10","395.842,96","158.337,18","237.505,78",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BOS INTERNATIONAL,14/12/2010,"476.597,27","214.468,77","85.787,51","128.681,26","214.468,77","85.787,51","128.681,26",31/12/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
PROGENOSIS,13/12/2010,"385.000,00","269.500,00","107.800,00","161.700,00","123.898,22","49.559,28","74.338,94",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
THELIS,14/12/2010,"240.000,00","108.000,00","43.200,00","64.800,00","108.000,00","43.200,00","64.800,00",16/05/2012,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
JEMA,13/07/2011,"461.623,29","369.298,63","147.719,45","221.579,18","369.298,69","147.719,48","221.579,21",17/09/2013,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
CE+T,13/07/2011,"995.000,00","696.500,00","278.600,00","417.900,00","682.513,64","273.005,46","409.508,18",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
BOCAD SERVICE,13/07/2011,"708.519,67","425.111,80","170.044,72","255.067,08","425.112,04","170.044,81","255.067,23",14/11/2014,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
Ateliers ROGER PONCIN,13/07/2011,"1.160.000,00","580.000,00","232.000,00","348.000,00","0,00","0,00","0,00",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
E-XSTREAM ENGINEERING,01/07/2011,"480.000,00","336.000,00","134.400,00","201.600,00","22.505,53","9.002,21","13.503,32",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
DUMOULIN SA,02/08/2011,"719.899,05","431.939,43","172.775,77","259.163,66","395.699,69","158.279,88","237.419,81",,Mesure 2.01 : Stimulation du potentiel technologique des PME (RETECH)
