Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
BUREAU D'ETUDES GREISCH,18/12/2008,13000,3900,5850,9750,3900,5850,9750,24/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Cardiartis,19/12/2008,20000,6000,9000,15000,6000,9000,15000,30/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
C.E. T. TECHNICS,07/01/2009,2000,600,900,1500,600,900,1500,15/04/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SIGNAL ENGINEERING AND ELECTRONICS,26/01/2009,2500,750,1125,1875,750,1125,1875,15/04/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SCRLFS Fromagerie du Gros Chêne ,30/01/2009,5000,1500,2250,3750,1500,2250,3750,19/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Pastificio della Mamma,09/02/2009,20000,6000,9000,15000,6000,9000,15000,1/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
InRadCo,23/02/2009,16500,4950,7425,12375,4950,7425,12375,13/11/2015,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Coris BioConcept,12/02/2009,14000,4200,6300,10500,4200,6300,10500,15/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TRASIS,13/02/2009,3500,1050,1575,2625,1050,1575,2625,16/04/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Facybel,03/03/2009,12500,3750,5625,9375,3750,5625,9375,23/04/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MEDI - LINE,03/03/2009,1000,300,450,750,300,450,750,30/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SCRL Syne,06/03/2009,6000,1800,2700,4500,1800,2700,4500,27/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Ateliers Bodart et Vange,06/03/2009,1000,300,450,750,300,450,750,30/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Bodart et Gonay,11/03/2009,3000,900,1350,2250,900,1350,2250,27/04/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PHARMA TECHNOLOGY,11/03/2009,13500,4050,6075,10125,4050,6075,10125,30/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RCT Industrie,12/03/2009,6000,1800,2700,4500,1800,2700,4500,,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Food Impact,13/03/2009,3500,1050,1575,2625,1050,1575,2625,16/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COENE,19/03/2009,2500,750,1125,1875,750,1125,1875,11/05/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SPRL Fromagerie des Ardennes,24/03/2009,10500,3150,4725,7875,3150,4725,7875,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Grando,24/03/2009,1000,300,450,750,300,450,750,12/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
IWAN SIMONIS,30/03/2009,2000,600,900,1500,600,900,1500,08/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BRASSERIE LEFEBVRE,31/03/2009,1000,300,450,750,300,450,750,16/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
INDUSTRIAL CONTROL MACHINES,31/03/2009,14500,4350,6525,10875,4350,6525,10875,30/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
GILFI,31/03/2009,500,150,225,375,150,225,375,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW SOKAO,19/05/2009,2500,750,1125,1875,750,1125,1875,18/09/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
X - PACK,07/04/2009,1000,300,450,750,300,450,750,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
RESPECT-IT,17/04/2009,13000,3900,5850,9750,3900,5850,9750,28/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MOCKEL,21/04/2009,10000,3000,4500,7500,3000,4500,7500,21/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Bodart et Gonay,21/04/2009,11000,3300,4950,8250,3300,4950,8250,09/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
COVERSYS,29/05/2009,2000,600,900,1500,600,900,1500,15/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIPOLE CONSULTING,04/05/2009,2000,600,900,1500,600,900,1500,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
TRASIS,27/04/2009,1500,450,675,1125,450,675,1125,10/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ECOGITO MEDICAL,28/04/2009,3500,1050,1575,2625,1050,1575,2625,15/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
E - XSTREAM ENGINEERING,30/04/2009,1500,450,675,1125,450,675,1125,28/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MAGnésium,07/05/2009,4000,1200,1800,3000,1200,1800,3000,28/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MAGnésium,07/05/2009,7500,2250,3375,5625,2250,3375,5625,28/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KIDEAkit,19/05/2009,8500,2550,3825,6375,2550,3825,6375,29/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
LAKSA,12/05/2009,1500,450,675,1125,450,675,1125,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
C.E. T. TECHNICS,23/06/2009,1500,450,675,1125,450,675,1125,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW SOKAO,24/06/2009,2500,750,1125,1875,750,1125,1875,28/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
STRATER,18/05/2009,20000,6000,9000,15000,6000,9000,15000,5/11/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Mahusaca,09/06/2009,19500,5850,8775,14625,5850,8775,14625,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CHANVRECO,28/05/2009,1500,450,675,1125,450,675,1125,30/11/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
DIAGENODE,10/12/2009,4500,1350,2025,3375,1350,2025,3375,10/05/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Progrescom,04/06/2009,19500,5850,8775,14625,5850,8775,14625,15/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
BUSINESS SOLUTIONS BUILDERS (Belgium) SA ,01/09/2009,13500,4050,6075,10125,4050,6075,10125,08/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Broyeurs Soudron-Sacre,08/06/2009,500,150,225,375,150,225,375,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CARRIERES DE LA PREALLE,13/07/2009,9500,2850,4275,7125,2850,4275,7125,02/05/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
AIGREMONT,26/06/2009,6000,1800,2700,4500,1800,2700,4500,18/06/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SYNACO,30/06/2009,1000,300,450,750,300,450,750,24/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NEW SOKAO,24/06/2009,6000,1800,2700,4500,1800,2700,4500,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CREACTION,09/07/2009,2000,600,900,1500,600,900,1500,16/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
ELOY WATER,29/06/2009,10000,3000,4500,7500,3000,4500,7500,18/01/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
KITOZYME,15/07/2009,9000,2700,4050,6750,2700,4050,6750,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PAOKIT,14/12/2009,14000,4200,6300,10500,4200,6300,10500,31/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
3-GSP,16/07/2009,8000,2400,3600,6000,2400,3600,6000,16/10/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Trachet - Soberac,15/07/2009,3000,900,1350,2250,900,1350,2250,05/02/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PHARMA TECHNOLOGY,21/08/2009,6500,1950,2925,4875,1950,2925,4875,24/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
PLASTIFLAC-LEJEUNE,12/10/2009,4500,1350,2025,3375,1350,2025,3375,15/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
NOMICS,24/08/2009,4500,1350,2025,3375,1350,2025,3375,11/10/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
