Bénéficiaires,Portefeuille,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
CELABOR,CILAB - Composite Innovation Laboratory,Celabor - Equipement,12/07/2012,"194.235,00","77.694,00","116.541,00","0,00","194.229,96","77.691,99","116.537,97","0,00",31/12/2013
CELABOR,CILAB - Composite Innovation Laboratory,Celabor - Recherche,12/07/2012,"156.130,80","62.452,33","54.645,76","39.032,71","156.125,91","62.450,35","54.644,07","39.031,49",31/12/2015
CELABOR,CILAB - Composite Innovation Laboratory,Celabor - Valorisation,12/07/2012,"41.585,60","16.634,24","24.951,36","0,00","41.584,35","16.633,74","24.950,61","0,00",31/12/2015
CELABOR,MICROPACK,Aliments,04/02/2016,"293.998,00","117.599,20","102.899,30","73.499,50","293.994,04","117.597,60","102.897,91","73.498,53",31/12/2015
CELABOR,MICROPACK,Matériaux,04/02/2016,"377.161,00","150.864,40","132.006,34","94.290,26","377.157,50","150.862,98","132.005,13","94.289,39",31/12/2015
CELABOR,Portefeuille WALEXTRACT,INGRENAT - extraction,18/02/2016,"1.808.369,02","578.678,08","777.598,69","452.092,25","1.807.295,10","578.334,42","777.136,90","451.823,78",
CELABOR,Portefeuille WALEXTRACT,Plate-forme extraction,18/02/2016,"2.352.407,18","940.962,87","1.411.444,31","0,00","2.351.420,56","940.568,22","1.410.852,34","0,00",
CELABOR,Portefeuille WALEXTRACT,STABALIM - stabilisation,18/02/2016,"617.352,30","172.858,65","290.155,57","154.338,08","617.320,37","172.849,69","290.140,58","154.330,10",31/12/2015
CELABOR,Portefeuille WALEXTRACT,Valorisation,18/02/2016,"364.294,57","145.717,83","218.576,74","0,00","364.285,76","145.714,31","218.571,45","0,00",31/12/2015
CENTEXBEL,CILAB - Composite Innovation Laboratory,Centexbel - Equipement,12/07/2012,"404.122,30","161.648,92","242.473,38","0,00","404.048,58","161.619,43","242.429,15","0,00",31/12/2014
CENTEXBEL,CILAB - Composite Innovation Laboratory,Centexbel - Recherche,12/07/2012,"207.210,61","82.884,25","72.523,70","51.802,66","144.587,39","57.834,94","50.605,60","36.146,85",
CENTEXBEL,CILAB - Composite Innovation Laboratory,Centexbel - Valorisation,12/07/2012,"41.617,70","16.647,08","24.970,62","0,00","40.202,11","16.080,84","24.121,27","0,00",
CENTEXBEL,MEDIATIC,Plate forme2_ENVIMEDIA,08/11/2012,"832.462,52","208.115,64","416.231,24","208.115,64","828.035,15","207.008,76","414.017,60","207.008,79",
CENTEXBEL,Piμi (Plateforme d'Intégration en Microsystèmes Intelligents),MONSOTEX,18/07/2013,"840.081,36","252.024,41","378.036,61","210.020,34","820.786,99","246.236,09","369.354,14","205.196,76",
