Bénéficiaires,Date de décision,Montant de l'investissement total,Montants cofinancés décidées,Feder décidées,Part wallonne décidées,Montants cofinancés payées,Feder payées,Part wallonne payées,Date de clôture,project
PENNEL & FLIPO SPRL,09/04/2008,"11.263.000,00","2.850.000,00","997.500,00","1.852.500,00","2.850.000,00","997.500,00","1.852.500,00",28/08/2012,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
ENTREPRISES DE MONTAGES EN GENERAL JEAN BOUTIQUE SA,22/04/2008,"5.663.000,00","1.125.000,00","393.750,00","731.250,00","1.125.000,00","393.750,00","731.250,00",26/10/2010,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
ABRASIVE TRADING INVEST SPRL,22/04/2008,"966.774,34","193.354,87","67.674,20","125.680,67","193.354,87","67.674,20","125.680,67",05/09/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
DOOSAN INFRACORE EUROPE SA,09/06/2008,"9.122.554,00","2.736.766,20","957.868,17","1.778.898,03","1.915.736,34","670.507,72","1.245.228,62",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
LOGITOYS SA,09/06/2008,"6.000.000,00","1.125.000,00","393.750,00","731.250,00","1.125.000,01","393.750,01","731.250,00",26/08/2015,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
DELEYE PRODUCTS SA,10/06/2008,"3.923.511,09","784.702,22","274.645,78","510.056,44","784.702,22","274.645,77","510.056,45",06/09/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
ECOPLAST TECHNOLOGY SA,10/06/2008 (augmentation le 14/10/2008),"1.000.908,66","240.218,08","84.076,33","156.141,75","240.218,08","84.076,33","156.141,75",23/11/2010,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
ARPADIS MANAGE SA,20/06/2008,"2.600.000,00","910.000,00","364.000,00","546.000,00","910.000,00","364.000,00","546.000,00",29/07/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
DEQUENNE CHIMIE SPRL,20/06/2008,"2.050.000,00","662.307,69","231.807,69","430.500,00","662.307,69","231.807,69","430.500,00",4/12/2009,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
CONTINENTAL BAKERIES BELGIUM SA (anciennement THE RICE CAKE FACTORY),20/06/2008,"9.300.000,00","2.511.000,00","878.850,00","1.632.150,00","2.510.999,99","878.849,99","1.632.150,00",11/06/2010,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
LASER COATING DIAMOND TECHNOLOGY SA,23/06/2008,"874.000,00","262.200,00","91.770,00","170.430,00","104.880,00","36.708,01","68.171,99",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
CARDON LOGISTIQUE SA,24/09/2008,"2.198.264,30","329.739,64","115.408,87","214.330,77","329.739,65","115.408,88","214.330,77",31/07/2013,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
KINGSPAN DOOR COMPONENTS SA,24/09/2008 (diminution le 05/12/2008),"6.450.000,00","1.290.000,00","451.500,00","838.500,00","515.999,99","180.600,00","335.399,99",,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
MEGAMAX SA,24/09/2008,"4.739.014,30","947.802,86","331.731,00","616.071,86","947.802,86","331.731,01","616.071,85",21/04/2010,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
CAMARG SPRL,24/09/2008,"3.499.300,57","1.049.790,17","367.426,56","682.363,61","1.049.790,17","367.426,56","682.363,61",29/04/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
BIA SERVICES SA,26/09/2008,"6.200.000,00","1.860.000,00","651.000,00","1.209.000,00","1.860.000,01","650.999,99","1.209.000,02",21/11/2014,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
ENTREPRISES DE MONTAGES EN GENERAL JEAN BOUTIQUE SA,26/09/2008,"6.010.000,00","1.200.000,00","420.000,00","780.000,00","1.200.000,00","419.999,99","780.000,01",16/04/2010,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
QUINTENS BAKERIES SA,26/09/2008,"3.773.300,00","649.909,28","227.468,25","422.441,03","649.909,27","227.468,24","422.441,03",15/05/2014,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
SIOEN FABRICS SA,26/09/2008,"8.256.000,00","1.651.200,00","577.920,00","1.073.280,00","1.651.200,00","577.920,00","1.073.280,00",25/11/2013,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
CS ENGINEERING SPRL,14/10/2008,"160.000,00","51.692,30","18.092,30","33.600,00","51.692,31","18.092,31","33.600,00",25/06/2009,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
POLYMEDIS SA,24/10/2008,"1.450.500,00","435.150,00","152.302,50","282.847,50","435.150,01","152.302,51","282.847,50",25/07/2011,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
DELPHI GENETICS SA,24/11/2008,"3.450.000,00","780.230,76","273.080,77","507.149,99","780.230,76","273.080,75","507.150,01",22/05/2013,Mesure 1.01 : Stimulation des Investissements créateurs d'emplois et de valeur ajoutée
