Bénéficiaires,Portefeuilles,Projets,Date de la dernière décision du GW,Coût total décidées,Feder décidées,Part wallonne décidées,Autres décidées,Coût total payées,Feder payées,Part wallonne payées,Autres payées,Date de clôture
Administration communale de Seneffe,Seneffe - Manage Ouest: Développement économique,2. Mobilité : Rue de Tyberchamps - rue du Long Tri,28/06/2012,"690.999,00","276.399,60","345.499,49","69.099,91","614.319,14","245.727,64","307.159,58","61.431,92",
IDEA,Mons ouest : reconversion économique du territoire,Projet 2 ZAEP Mons - GIRATOIRE INITIALIS,10/12/2015,"791.430,29","316.572,12","395.715,15","79.143,02","791.430,29","316.572,12","395.715,15","79.143,02",
IDEA,Plate-forme multimodale de Garocentre,3: Amélior. access. et abords Safea et Glaverbel,17/12/2015,"596.800,62","238.720,25","298.400,31","59.680,06","594.824,11","237.929,64","297.412,06","59.482,41",
IDETA,Renforcement des infrastructures à vocation économique de la Wallonie picarde,2. Création d'infrastructures d'accueil,18/07/2013,"16.381.775,12","6.544.846,80","8.199.056,83","1.618.213,37","16.381.775,12","6.544.846,79","8.199.056,83","1.618.213,38",11/01/2013
IGRETEC,ECOPOLE - création d'un pôle d'activités du développement durable,Désenclavement Est de l'ECOPOLE - projet 3,24/03/2016,"5.157.812,60","2.063.125,04","2.578.906,30","515.781,26","5.004.823,00","2.001.929,19","2.502.411,51","500.482,30",
IGRETEC,ECOPOLE - création d'un pôle d'activités du développement durable,Désenclavement Ouest de l'ECOPOLE - projet 2,24/03/2016,"16.870.157,70","6.748.063,08","8.435.078,85","1.687.015,77","16.244.743,76","6.497.897,49","8.122.371,89","1.624.474,38",
Port Autonome de Charleroi,ECOPOLE - création d'un pôle d'activités du développement durable,Désenclavement Ouest de l'ECOPOLE - projet 1,24/03/2016,"4.262.992,69","1.705.197,08","2.557.795,61","0,00","4.262.992,69","1.705.197,07","2.557.795,62","0,00",23/12/2015
Port Autonome de Charleroi,ECOPOLE - création d'un pôle d'activités du développement durable,"Extension,renforcement plate-forme Multimodale",24/03/2016,"9.142.801,72","3.657.120,68","5.485.681,04","0,00","9.275.000,02","3.710.000,01","5.565.000,01","0,00",
Port Autonome du Centre et de l'Ouest,Plate-forme multimodale de Garocentre,1 - Aménagement du terminal trimodal,17/12/2015,"2.167.802,00","867.120,80","1.300.681,20","0,00","2.167.802,00","867.120,80","1.300.681,20","0,00",27/06/2012
SPW - DG01,Achèvement de la RN518 et connexion à l'autoroute A17 - Fonctionnalité de la plate- forme multimodale de Mouscron (D.P.M.L.),Axe prioritaire 3,23/04/2015,"8.300.000,00","3.320.000,00","4.980.000,00","0,00","7.920.790,97","3.168.316,38","4.752.474,59","0,00",
SPW - DG01,Développement du pôle économique du nord de la Région du Centre,1. Prolongement de la RN57 et accès à la ZAEP,19/11/2015,"10.386.733,46","4.154.693,38","6.232.040,08","0,00","10.281.908,42","4.112.763,37","6.169.145,05","0,00",
SPW - DG01,Extension et renforcement de la plate-forme multimodale Charleroi-Châtelet et amélioration de son accessibilité,Amélioration de l'accessibilité & liaison viaR3&R9,24/03/2016,"6.205.745,33","2.482.298,13","3.723.447,20","0,00","5.331.080,36","2.132.432,15","3.198.648,21","0,00",
SPW - DG01,Mons ouest : reconversion économique du territoire,Projet 1 ZAE Ghlin-Baudour - GIRATOIRE,10/12/2015,"503.356,87","201.342,75","302.014,12","0,00","503.356,87","201.342,75","302.014,12","0,00",23/07/2014
SPW - DG01,Mons ouest : reconversion économique du territoire,Projet 4 ZAEP Mons - PASSAGE SUR AUTOROUTE,10/12/2015,"14.130.957,33","5.652.382,94","8.478.574,39","0,00","13.361.519,68","5.344.607,86","8.016.911,82","0,00",
SPW - DG02,Plate-forme multimodale de Garocentre,2 - Accessibilité aux zones de stockage du terminal,17/12/2015,"1.203.424,00","481.369,60","722.054,40","0,00","1.203.423,99","481.369,59","722.054,40","0,00",16/08/2011
Ville de Mons,"MONS, pôle de croissance : OBJECTIF 2015. Portefeuille 3. Le quartier des Arts et de l'artisanat de création","1. Le centre d'entreprise ""Design""",24/03/2016,"7.289.867,72","2.833.134,20","3.727.746,75","521.954,53","7.261.269,16","2.822.019,64","3.713.122,61","519.906,87",
Ville de Soignies,Développement du pôle économique du nord de la Région du Centre,2. Route de la Pierre Bleue,19/11/2015,"1.680.210,84","616.570,16","895.568,18","29.287,08","1.680.210,84","616.570,16","895.568,17","29.287,09",30/03/2012
