Bénéficiaires,Date de la demande,Montant total des chèques technologiques,Feder décidées,Part wallonne décidées,Montants cofinancés décidées,Feder payées,Part wallonne payées,Montants cofinancés payées,Date de clôture,project
CILBiotech,22/12/2008,3000,900,1350,2250,900,1350,2250,21/04/2011,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Bouchons Leclerq et Fils,19/12/2008,8500,2550,3825,6375,2550,3825,6375,1/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
FIB - SERVICES,22/12/2008,20000,6000,9000,15000,6000,9000,15000,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Selligent,04/02/2009,3000,900,1350,2250,900,1350,2250,2/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
CILBiotech,09/02/2009,19500,5850,8775,14625,5850,8775,14625,18/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Bone Therapeutics,05/03/2009,4000,1200,1800,3000,1200,1800,3000,20/08/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
XYLOWATT,13/03/2009,1500,450,675,1125,450,675,1125,20/05/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
SA Beads Belgium,15/04/2009,20000,6000,9000,15000,6000,9000,15000,07/04/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
it4ip,30/03/2009,1500,450,675,1125,450,675,1125,12/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
MALEX,06/04/2009,16500,4950,7425,12375,4950,7425,12375,24/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
UNIFAST DAUDE,09/04/2009,1500,450,675,1125,450,675,1125,12/06/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
THERMIBEL,26/05/2009,2000,600,900,1500,600,900,1500,25/03/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Etablissements Jarilux,06/05/2009,1000,300,450,750,300,450,750,30/07/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
VITALTRONICS,22/04/2009,8500,2550,3825,6375,2550,3825,6375,18/01/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Humiva,08/05/2009,16500,4950,7425,12375,4950,7425,12375,14/12/2010,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
Scaldis Saint-Martin,06/05/2009,18000,5400,8100,13500,5400,8100,13500,14/12/2009,Mesure 2.01 : Stimulation du potentiel technologique des PME (Action 2.1.4 - Chèques Technologiques)
