beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
MENUISERIE RICHE,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Mariembourg,5660,Route Charlemagne,,"Route Charlemagne, 5660 Mariembourg, Belgium",50.0962226,4.5054419,True,93014
STABILAME,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Mariembourg,5660,Zoning Industriel,,"Zoning Industriel, 5660 Mariembourg, Belgium",50.096688,4.506324999999999,True,93014
MATHY-BY-BOLS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Couvin,5660,Chaussée de Roly,26,"Chaussée de Roly 26, 5660 Couvin, Belgium",50.100267,4.524586,True,93014
Coris BioConcept,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5032,Rue Jean sonet,4,"Rue Jean sonet 4, 5032 Gembloux, Belgium",50.5048302,4.713254600000001,True,92142
CORIS BIOCONCEPT,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5032,Rue Jean sonet,4,"Rue Jean sonet 4, 5032 Gembloux, Belgium",50.5048302,4.713254600000001,True,92142
E-Protein,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5030,Rue des Praules,2,"Rue des Praules 2, 5030 Gembloux, Belgium",50.5793634,4.7136562,True,92142
LAMBDA - PLUS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes,5032,Rue Camille Hubert,5,"Rue Camille Hubert 5, 5032 Isnes, Belgium",50.50605179999999,4.7188745,True,92142
ERC Belgium,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5032,Rue Jean sonet,10,"Rue Jean sonet 10, 5032 Gembloux, Belgium",50.5032998,4.7130797,True,92142
CARDIATIS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes,5032,Rue Jules Poskin,3,"Rue Jules Poskin 3, 5032 Isnes, Belgium",50.49909719999999,4.722555999999999,True,92142
BELGIAN VOLITION,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes,5032,Rue Phocas Lejeune,22,"Rue Phocas Lejeune 22, 5032 Isnes, Belgium",50.501195,4.7162326,True,92142
MEDSYS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5030,Rue du Gaillard,3,"Rue du Gaillard 3, 5030 Gembloux, Belgium",50.583564,4.713571999999999,True,92142
Spechim,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5030,,,"Chaussée de Tirlemont 75 B, 5030 Gembloux, Belgium",50.58002579999999,4.705537400000001,True,92142
Bureau Economique de la Province de Namur,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes,5032,Rue Jean sonet,29,"Rue Jean sonet 29, 5032 Isnes, Belgium",50.50342819999999,4.712708399999999,True,92142
BIO-LIFE,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes,5032,Rue Camille Hubert,33,"Rue Camille Hubert 33, 5032 Isnes, Belgium",50.50729379999999,4.7215202,True,92142
COVERSYS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5030,Rue de la Posterie,23,"Rue de la Posterie 23, 5030 Gembloux, Belgium",50.5767946,4.7061218,True,92142
ARCHIBEL,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5032,Rue Jean sonet,25,"Rue Jean sonet 25, 5032 Gembloux, Belgium",50.50341749999999,4.7128488,True,92142
MG CONSULTANTS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Isnes - Gembloux,5032,,,"rue Jean Sonet 23 Bâtiment Pégase Parc Créalys, 5032 Isnes - Gembloux, Belgium",50.50355099999999,4.712005,True,92142
ISOMATEX,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5032,Rue Camille Hubert,29,"Rue Camille Hubert 29, 5032 Gembloux, Belgium",50.5070236,4.7203487,True,92142
COSMIK,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Gembloux,5030,Rue des Praules,2,"Rue des Praules 2, 5030 Gembloux, Belgium",50.5793634,4.7136562,True,92142
SOCIETE BELGE DE MATERIAUX COMPOSITES,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5080,Rue des Chapelles,58,"Rue des Chapelles 58, 5080 Namur, Belgium",50.5069066,4.7917188,True,92141
SOCIETE BELGE DE MATERIAUX COMPOSITES ,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5080,Rue des Chapelles,58,"Rue des Chapelles 58, 5080 Namur, Belgium",50.5069066,4.7917188,True,92141
FONDERIE ET MECANIQUE DE LA SAMBRE,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Jemeppe-sur-Sambre,5190,Rue des Trois Frères Servais,44,"Rue des Trois Frères Servais 44, 5190 Jemeppe-sur-Sambre, Belgium",50.447852,4.657071000000001,True,92140
TRADECOWALL,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,Rue du Tronquoy,24,"Rue du Tronquoy 24, 5380 Fernelmont, Belgium",50.539644,4.972669700000001,True,92138
BEAL INTERNATIONAL,BE,Belgium,beneficiary,,,,,,,Belgium,Waals Gewest,Namen,Fernelmont,5380,,,"Rue du Tronquoy 8, 5380 Fernelmont, Belgium",50.538215,4.977082999999999,True,92138
Entreprises Marcel Collignon et Fils,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,Rue du Tronquoi,25,"Rue du Tronquoi 25, 5380 Fernelmont, Belgium",50.53816329999999,4.977354599999999,True,92138
IsoHemp,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,Rue du Grand Champ,18,"Rue du Grand Champ 18, 5380 Fernelmont, Belgium",50.533198,4.97124,True,92138
NECTAR & CO,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,,,"Rue du Trou du Sart, 8, Zoning industriel de Fernelmont, 5380 Fernelmont, Belgium",50.536404,4.9699888,True,92138
RVC,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,Rue Georges Cosse,1,"Rue Georges Cosse 1, 5380 Fernelmont, Belgium",50.5366052,4.9687059,True,92138
MICROMEGA - DYNAMICS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Fernelmont,5380,,,"Parc Industriel de Noville-les-Bois, 10 rue du Trou du Sart, 5380 Fernelmont, Belgium",50.536814,4.969037999999999,True,92138
NANOCYL,BE,Belgium,beneficiary,,,,,,,Belgium,Waals Gewest,Namen,Sambreville,5060,Rue de l'Essor,,"n°4, Rue de l'Essor, 5060 Sambreville, Belgium",50.443924,4.648357,True,92137
Stûv,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Bois-de-Villers,5170,Rue Jules Borbouse,4,"Rue Jules Borbouse 4, 5170 Bois-de-Villers, Belgium",50.39432,4.821013,True,92101
Chassis Norma,BE,Belgium,beneficiary,,,,,,,Belgium,Waals Gewest,Namen,Malonne,5020,,,"Rue Gabriel de Moriamé 4, 5020 Malonne, Belgium",50.45072,4.802849999999999,True,92094
MARKET - IP,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Naninne,5100,Chaussée de Marche,774,"Chaussée de Marche 774, 5100 Naninne, Belgium",50.4280135,4.9257554,True,92094
ANALIS,BE,Belgium,beneficiary,,,,,,,Belgium,Waals Gewest,Namen,Namen,5020,,,"Zoning Industriel de Rhisnes, Rue de Neverlée 11, 5020 Namen, Belgium",50.492588,4.803769,True,92094
Port autonome de Namur,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Jambes,5100,Rue des Peupliers,2,"Rue des Peupliers 2, 5100 Jambes, Belgium",50.43763239999999,4.8642503,True,92094
PROFISH TECHNOLOGY,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5100,Rue des Scabieuses,18,"Rue des Scabieuses 18, 5100 Namur, Belgium",50.4199944,4.9346075,True,92094
S.C.R.L. LA RESSOURCERIE NAMUROISE,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5002,Chaussée de Waterloo,484,"Chaussée de Waterloo 484, 5002 Namur, Belgium",50.473004,4.831456600000001,True,92094
La Comète,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5003,Chaussée de Perwez,301,"Chaussée de Perwez 301, 5003 Namur, Belgium",50.4870276,4.8583767,True,92094
LASERSPEC,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Malonne,5020,Trieux-Scieurs,15,"Trieux-Scieurs 15, 5020 Malonne, Belgium",50.437153,4.806798499999999,True,92094
ASBL Gîtes de Wallonie,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5100,Avenue du Prince de Liège,1,"Avenue du Prince de Liège 1, 5100 Namur, Belgium",50.461185,4.877219000000001,True,92094
THELIS,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5100,Rue de la Gare de Naninne,35,"Rue de la Gare de Naninne 35, 5100 Namur, Belgium",50.418807,4.923816899999999,True,92094
SPW - DGO1,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Jambes,5100,Avenue du Gouverneur Bovesse,37,"Avenue du Gouverneur Bovesse 37, 5100 Jambes, Belgium",50.4590451,4.874850700000001,True,92094
FUNDP Namur,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5000,Rue de Bruxelles,61,"Rue de Bruxelles 61, 5000 Namur, Belgium",50.466158,4.860199,True,92094
Institut du Patrimoine wallon,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5000,Rue du Lombard,79,"Rue du Lombard 79, 5000 Namur, Belgium",50.4655776,4.8714886,True,92094
ASBL HORECA Wallonie,BE,Belgium,beneficiary,,,,,,,Belgium,Wallonie,Namur,Namur,5100,Avenue du Gouverneur Bovesse,35,"Avenue du Gouverneur Bovesse 35, 5100 Namur, Belgium",50.45867639999999,4.874018800000001,True,92094
