"Date","Price","Open","High","Low","Change %"
"Jan 01, 2007","1.9559","1.9554","1.9618","1.9517","0.01%"
"Jan 02, 2007","1.9558","1.9560","1.9567","1.9541","-0.01%"
"Jan 03, 2007","1.9558","1.9554","1.9585","1.9524","0.00%"
"Jan 04, 2007","1.9564","1.9554","1.9578","1.9540","0.03%"
"Jan 05, 2007","1.9568","1.9556","1.9576","1.9499","0.02%"
"Jan 08, 2007","1.9559","1.9552","1.9572","1.9541","-0.05%"
"Jan 09, 2007","1.9558","1.9554","1.9567","1.9540","-0.01%"
"Jan 10, 2007","1.9558","1.9553","1.9569","1.9535","0.00%"
"Jan 11, 2007","1.9558","1.9555","1.9571","1.9535","0.00%"
"Jan 12, 2007","1.9556","1.9557","1.9571","1.9518","-0.01%"
"Jan 15, 2007","1.9558","1.9552","1.9567","1.9537","0.01%"
"Jan 16, 2007","1.9558","1.9560","1.9573","1.9533","0.00%"
"Jan 17, 2007","1.9558","1.9551","1.9581","1.9540","0.00%"
"Jan 18, 2007","1.9559","1.9549","1.9582","1.9537","0.01%"
"Jan 19, 2007","1.9561","1.9556","1.9570","1.9537","0.01%"
"Jan 22, 2007","1.9558","1.9556","1.9568","1.9541","-0.02%"
"Jan 23, 2007","1.9558","1.9557","1.9572","1.9541","0.00%"
"Jan 24, 2007","1.9563","1.9545","1.9574","1.9540","0.03%"
"Jan 25, 2007","1.9558","1.9554","1.9571","1.9529","-0.03%"
"Jan 26, 2007","1.9563","1.9554","1.9572","1.9509","0.03%"
"Jan 29, 2007","1.9558","1.9555","1.9568","1.9540","-0.03%"
"Jan 30, 2007","1.9557","1.9555","1.9653","1.9538","-0.01%"
"Jan 31, 2007","1.9602","1.9554","1.9605","1.9530","0.23%"
"Feb 01, 2007","1.9558","1.9593","1.9611","1.9534","-0.22%"
"Feb 02, 2007","1.9560","1.9555","1.9600","1.9534","0.01%"
"Feb 05, 2007","1.9564","1.9553","1.9571","1.9541","0.02%"
"Feb 06, 2007","1.9558","1.9560","1.9571","1.9540","-0.03%"
"Feb 07, 2007","1.9558","1.9555","1.9567","1.9538","0.00%"
"Feb 08, 2007","1.9558","1.9556","1.9579","1.9541","0.00%"
"Feb 09, 2007","1.9563","1.9557","1.9567","1.9543","0.03%"
"Feb 12, 2007","1.9558","1.9555","1.9604","1.9537","-0.03%"
"Feb 13, 2007","1.9558","1.9552","1.9577","1.9541","0.00%"
"Feb 14, 2007","1.9559","1.9553","1.9572","1.9538","0.01%"
"Feb 15, 2007","1.9559","1.9556","1.9588","1.9536","0.00%"
"Feb 16, 2007","1.9556","1.9554","1.9573","1.9537","-0.02%"
"Feb 19, 2007","1.9558","1.9555","1.9582","1.9538","0.01%"
"Feb 20, 2007","1.9558","1.9552","1.9575","1.9539","0.00%"
"Feb 21, 2007","1.9558","1.9557","1.9573","1.9524","0.00%"
"Feb 22, 2007","1.9558","1.9557","1.9573","1.9537","0.00%"
"Feb 23, 2007","1.9558","1.9562","1.9571","1.9536","0.00%"
"Feb 26, 2007","1.9558","1.9553","1.9570","1.9538","0.00%"
"Feb 27, 2007","1.9558","1.9555","1.9577","1.9534","0.00%"
"Feb 28, 2007","1.9558","1.9553","1.9573","1.9536","0.00%"
"Mar 01, 2007","1.9559","1.9554","1.9584","1.9525","0.01%"
"Mar 02, 2007","1.9559","1.9549","1.9576","1.9532","0.00%"
"Mar 05, 2007","1.9556","1.9555","1.9571","1.9536","-0.02%"
"Mar 06, 2007","1.9558","1.9555","1.9571","1.9535","0.01%"
"Mar 07, 2007","1.9560","1.9548","1.9577","1.9536","0.01%"
"Mar 08, 2007","1.9558","1.9562","1.9575","1.9538","-0.01%"
"Mar 09, 2007","1.9558","1.9556","1.9575","1.9530","0.00%"
"Mar 12, 2007","1.9558","1.9554","1.9577","1.9538","0.00%"
"Mar 13, 2007","1.9565","1.9554","1.9576","1.9539","0.04%"
"Mar 14, 2007","1.9558","1.9554","1.9570","1.9536","-0.04%"
"Mar 15, 2007","1.9559","1.9554","1.9576","1.9534","0.01%"
"Mar 16, 2007","1.9556","1.9554","1.9574","1.9539","-0.02%"
"Mar 19, 2007","1.9558","1.9552","1.9569","1.9539","0.01%"
"Mar 20, 2007","1.9558","1.9558","1.9571","1.9528","0.00%"
"Mar 21, 2007","1.9554","1.9554","1.9674","1.9539","-0.02%"
"Mar 22, 2007","1.9558","1.9551","1.9598","1.9498","0.02%"
"Mar 23, 2007","1.9562","1.9554","1.9579","1.9449","0.02%"
"Mar 26, 2007","1.9558","1.9559","1.9581","1.9537","-0.02%"
"Mar 27, 2007","1.9556","1.9554","1.9575","1.9539","-0.01%"
"Mar 28, 2007","1.9553","1.9554","1.9588","1.9537","-0.02%"
"Mar 29, 2007","1.9558","1.9555","1.9573","1.9537","0.03%"
"Mar 30, 2007","1.9564","1.9553","1.9580","1.9538","0.03%"
"Apr 02, 2007","1.9558","1.9555","1.9577","1.9538","-0.03%"
"Apr 03, 2007","1.9558","1.9569","1.9573","1.9538","0.00%"
"Apr 04, 2007","1.9558","1.9553","1.9575","1.9537","0.00%"
"Apr 05, 2007","1.9558","1.9555","1.9574","1.9538","0.00%"
"Apr 06, 2007","1.9563","1.9552","1.9586","1.9515","0.03%"
"Apr 09, 2007","1.9560","1.9554","1.9573","1.9537","-0.02%"
"Apr 10, 2007","1.9559","1.9552","1.9572","1.9539","-0.01%"
"Apr 11, 2007","1.9558","1.9554","1.9569","1.9543","-0.01%"
"Apr 12, 2007","1.9559","1.9554","1.9571","1.9542","0.01%"
"Apr 13, 2007","1.9561","1.9555","1.9571","1.9540","0.01%"
"Apr 16, 2007","1.9558","1.9554","1.9573","1.9537","-0.02%"
"Apr 17, 2007","1.9558","1.9552","1.9585","1.9538","0.00%"
"Apr 18, 2007","1.9558","1.9559","1.9606","1.9539","0.00%"
"Apr 19, 2007","1.9558","1.9555","1.9577","1.9538","0.00%"
"Apr 20, 2007","1.9559","1.9556","1.9573","1.9540","0.01%"
"Apr 23, 2007","1.9558","1.9553","1.9569","1.9540","-0.01%"
"Apr 24, 2007","1.9558","1.9556","1.9587","1.9536","0.00%"
"Apr 25, 2007","1.9558","1.9553","1.9573","1.9538","0.00%"
"Apr 26, 2007","1.9559","1.9554","1.9572","1.9540","0.01%"
"Apr 27, 2007","1.9587","1.9556","1.9604","1.9531","0.14%"
"Apr 30, 2007","1.9537","1.9555","1.9583","1.9523","-0.26%"
"May 01, 2007","1.9573","1.9527","1.9598","1.9520","0.18%"
"May 02, 2007","1.9558","1.9560","1.9573","1.9513","-0.08%"
"May 03, 2007","1.9557","1.9554","1.9571","1.9542","-0.01%"
"May 04, 2007","1.9558","1.9554","1.9585","1.9539","0.01%"
"May 07, 2007","1.9565","1.9555","1.9578","1.9540","0.04%"
"May 08, 2007","1.9543","1.9557","1.9568","1.9498","-0.11%"
"May 09, 2007","1.9559","1.9541","1.9567","1.9525","0.08%"
"May 10, 2007","1.9558","1.9555","1.9577","1.9536","-0.01%"
"May 11, 2007","1.9567","1.9555","1.9573","1.9540","0.05%"
"May 14, 2007","1.9558","1.9555","1.9569","1.9544","-0.05%"
"May 15, 2007","1.9558","1.9553","1.9568","1.9541","0.00%"
"May 16, 2007","1.9559","1.9554","1.9573","1.9541","0.01%"
"May 17, 2007","1.9560","1.9555","1.9573","1.9537","0.01%"
"May 18, 2007","1.9559","1.9553","1.9572","1.9540","-0.01%"
"May 21, 2007","1.9559","1.9558","1.9572","1.9540","0.00%"
"May 22, 2007","1.9558","1.9555","1.9568","1.9541","-0.01%"
"May 23, 2007","1.9559","1.9555","1.9572","1.9540","0.01%"
"May 24, 2007","1.9558","1.9554","1.9570","1.9533","-0.01%"
"May 25, 2007","1.9556","1.9556","1.9577","1.9540","-0.01%"
"May 28, 2007","1.9559","1.9553","1.9569","1.9542","0.02%"
"May 29, 2007","1.9558","1.9555","1.9576","1.9525","-0.01%"
"May 30, 2007","1.9559","1.9557","1.9572","1.9539","0.01%"
"May 31, 2007","1.9559","1.9554","1.9571","1.9539","0.00%"
"Jun 01, 2007","1.9559","1.9554","1.9574","1.9512","0.00%"
"Jun 04, 2007","1.9558","1.9556","1.9572","1.9541","-0.01%"
"Jun 05, 2007","1.9558","1.9553","1.9573","1.9540","0.00%"
"Jun 06, 2007","1.9558","1.9552","1.9569","1.9540","0.00%"
"Jun 07, 2007","1.9558","1.9554","1.9571","1.9541","0.00%"
"Jun 08, 2007","1.9581","1.9554","1.9583","1.9538","0.12%"
"Jun 11, 2007","1.9558","1.9602","1.9610","1.9540","-0.12%"
"Jun 12, 2007","1.9558","1.9555","1.9573","1.9534","0.00%"
"Jun 13, 2007","1.9559","1.9555","1.9573","1.9531","0.01%"
"Jun 14, 2007","1.9559","1.9553","1.9567","1.9542","0.00%"
"Jun 15, 2007","1.9557","1.9552","1.9583","1.9539","-0.01%"
"Jun 18, 2007","1.9558","1.9554","1.9567","1.9540","0.01%"
