"nuts1_name","nuts1_code","nuts2_name","nuts2_name_english","nuts2_code","nuts3_name","nuts3_code","lau1_name","lau1_code","lau2_name","lau2_code","settlement_type","population","territory","density","population_source","url"
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Vidin,VID09,Akatsievo,BG311_00179,village,81,3.486,23.24,webscrape,http://www.guide-bulgaria.com/nw/vidin/vidin/akatsievo
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Vidin,VID09,Antimovo,BG311_00919,village,503,11.96,42.06,webscrape,http://www.guide-bulgaria.com/nw/vidin/vidin/antimovo
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Dimovo,VID16,Archar,BG311_00672,village,2296,54.418,42.19,webscrape,http://www.guide-bulgaria.com/nw/vidin/dimovo/archar
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Bregovo,VID06,Baley,BG311_02395,village,381,10.445,36.48,webscrape,http://www.guide-bulgaria.com/nw/vidin/bregovo/baley
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Dimovo,VID16,Bela,BG311_03263,village,106,0.785,135.03,webscrape,http://www.guide-bulgaria.com/nw/vidin/dimovo/bela
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Vidin,VID09,Bela Rada,BG311_03280,village,526,5.569,94.45,webscrape,http://www.guide-bulgaria.com/nw/vidin/vidin/bela_rada
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Rujintsi,VID33,Belo pole,BG311_03678,village,726,30.656,23.68,webscrape,http://www.guide-bulgaria.com/nw/vidin/rujintsi/belo_pole
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Belogradchik,VID01,Belogradchik,BG311_03616,town,5013,0.234,21423.08,webscrape,http://www.guide-bulgaria.com/nw/vidin/belogradchik/belogradchik
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Boynitsa,VID03,Borilovets,BG311_05428,village,140,10.229,13.69,webscrape,http://www.guide-bulgaria.com/nw/vidin/boynitsa/borilovets
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Belogradchik,VID01,Borovitsa,BG311_05582,village,149,3.533,42.17,webscrape,http://www.guide-bulgaria.com/nw/vidin/belogradchik/borovitsa
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Vidin,VID09,Botevo,BG311_05832,village,62,4.937,12.56,webscrape,http://www.guide-bulgaria.com/nw/vidin/vidin/botevo
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Gramada,VID15,Boyanovo,BG311_05997,village,11,6.01,1.83,webscrape,http://www.guide-bulgaria.com/nw/vidin/gramada/boyanovo
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Boynitsa,VID03,Boynitsa,BG311_05195,village,430,42.939,10.01,webscrape,http://www.guide-bulgaria.com/nw/vidin/boynitsa/boynitsa
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Gramada,VID15,Brankovtsi,BG311_06121,village,94,0.609,154.35,webscrape,http://www.guide-bulgaria.com/nw/vidin/gramada/brankovtsi
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Bregovo,VID06,Bregovo,BG311_06224,town,2431,46.476,52.31,webscrape,http://www.guide-bulgaria.com/nw/vidin/bregovo/bregovo
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Vidin,VID09,Bukovets,BG311_06954,village,614,18.15,33.83,webscrape,http://www.guide-bulgaria.com/nw/vidin/vidin/bukovets
Northern and Eastern Bulgaria,BG3,Severozapaden ,Northwestern,BG31,Vidin Province,BG311,Rujintsi,VID33,Cherno pole,BG311_81247,village,309,30.3,10.20,eurostat_2013,http://www.guide-bulgaria.com/nw/vidin/rujintsi/cherno_pole
