location_bg,country,nuts1,nuts2,nuts3,lau1
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Челопеч",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Chelopech
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Добрич, Шабла",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Dobrich Province,Shabla
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Бургас, Созопол",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Bourgas Province,Sozopol
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен, Пордим",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,Pordim
На територията на ЕС,Within the EU,,,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Плевен",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Pleven Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Силистра",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Silistra Province,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Мъглиж",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Maglij
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен, Стара Загора, Опан",Bulgaria,Northern and Eastern Bulgaria,Southeastern,Stara Zagora Province,Opan
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Пазарджик, Пазарджик",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Pazardjik Province,Pazardjik
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Правец",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Pravets
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Русе, Бяла",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Rousse Province,Byala
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Ружинци",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Rujintsi
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северен централен, Силистра, Главиница",Bulgaria,Northern and Eastern Bulgaria,Northern Central,Silistra Province,Glavinitsa
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Южен централен, Хасково, Ивайловград",Bulgaria,South-Western and South-Central Bulgaria,Southern Central,Haskovo Province,Ivaylovgrad
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Белослав",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Beloslav
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Монтана, Якимово",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Montana Province,Yakimovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Видин, Брегово",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vidin Province,Bregovo
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Югоизточен",Bulgaria,Northern and Eastern Bulgaria,Southeastern,,
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Северозападен, Враца, Козлодуй",Bulgaria,Northern and Eastern Bulgaria,Northwestern,Vratsa Province,Kozloduy
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, Благоевград, Сатовча",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Blagoevgrad Province,Satovcha
"България, СЕВЕРНА И ЮГОИЗТОЧНА БЪЛГАРИЯ, Североизточен, Варна, Дългопол",Bulgaria,Northern and Eastern Bulgaria,Northeastern,Varna Province,Dulgopol
"България, ЮГОЗАПАДНА И ЮЖНА ЦЕНТРАЛНА БЪЛГАРИЯ, Югозападен, София област, Божурище",Bulgaria,South-Western and South-Central Bulgaria,Southwestern,Sofia Province,Bojurishte
