"Date","Price","Open","High","Low","Change %"
"Dec 31, 2013","7.6211","7.6248","7.6323","7.5911","-0.08%"
"Dec 30, 2013","7.6274","7.6316","7.6429","7.6086","-0.16%"
"Dec 27, 2013","7.6398","7.6366","7.6581","7.6077","0.01%"
"Dec 26, 2013","7.6394","7.6363","7.6425","7.6318","-0.00%"
"Dec 25, 2013","7.6395","7.6358","7.6441","7.6089","0.01%"
"Dec 24, 2013","7.6390","7.6359","7.6447","7.6100","-0.01%"
"Dec 23, 2013","7.6397","7.6302","7.6440","7.6139","0.09%"
"Dec 20, 2013","7.6332","7.6316","7.6433","7.6082","-0.03%"
"Dec 19, 2013","7.6356","7.6340","7.6417","7.6083","-0.01%"
"Dec 18, 2013","7.6366","7.6355","7.6507","7.6019","-0.00%"
"Dec 17, 2013","7.6369","7.6288","7.6422","7.6025","0.33%"
"Dec 16, 2013","7.6117","7.6250","7.6441","7.5938","-0.24%"
"Dec 13, 2013","7.6300","7.6359","7.6457","7.6076","-0.12%"
"Dec 12, 2013","7.6395","7.6172","7.6478","7.6106","0.25%"
"Dec 11, 2013","7.6208","7.6400","7.6516","7.6137","-0.30%"
"Dec 10, 2013","7.6437","7.6390","7.6524","7.6150","0.00%"
"Dec 09, 2013","7.6436","7.6409","7.6530","7.6127","-0.02%"
"Dec 06, 2013","7.6452","7.6394","7.6644","7.6161","0.05%"
"Dec 05, 2013","7.6415","7.6355","7.6529","7.6266","0.05%"
"Dec 04, 2013","7.6376","7.6348","7.6515","7.6084","-0.01%"
"Dec 03, 2013","7.6385","7.6313","7.6429","7.6054","0.05%"
"Dec 02, 2013","7.6345","7.6336","7.6436","7.6061","-0.04%"
"Nov 29, 2013","7.6376","7.6303","7.6485","7.6216","0.05%"
"Nov 28, 2013","7.6335","7.6368","7.6510","7.6183","-0.07%"
"Nov 27, 2013","7.6391","7.6413","7.6516","7.6138","-0.07%"
"Nov 26, 2013","7.6442","7.6380","7.6517","7.6144","0.04%"
"Nov 25, 2013","7.6409","7.6167","7.6471","7.6116","0.19%"
"Nov 22, 2013","7.6265","7.6474","7.6620","7.6138","-0.30%"
"Nov 21, 2013","7.6498","7.6447","7.6574","7.6321","0.02%"
"Nov 20, 2013","7.6479","7.6395","7.6665","7.6126","0.07%"
"Nov 19, 2013","7.6429","7.6338","7.6502","7.6116","0.07%"
"Nov 18, 2013","7.6376","7.6289","7.6452","7.6022","0.06%"
"Nov 15, 2013","7.6331","7.6243","7.6365","7.6016","0.07%"
"Nov 14, 2013","7.6279","7.6239","7.6345","7.5988","0.03%"
"Nov 13, 2013","7.6257","7.6203","7.6313","7.5961","0.02%"
"Nov 12, 2013","7.6238","7.6189","7.6294","7.5933","0.03%"
"Nov 11, 2013","7.6212","7.6192","7.6284","7.5954","-0.11%"
"Nov 08, 2013","7.6296","7.6207","7.6314","7.5849","0.10%"
"Nov 07, 2013","7.6221","7.6198","7.6367","7.5467","-0.02%"
"Nov 06, 2013","7.6235","7.6193","7.6327","7.5921","0.01%"
"Nov 05, 2013","7.6227","7.5966","7.6279","7.5886","0.27%"
"Nov 04, 2013","7.6020","7.6169","7.6292","7.5893","-0.27%"
"Nov 01, 2013","7.6229","7.6177","7.6277","7.5906","0.01%"
"Oct 31, 2013","7.6222","7.6154","7.6295","7.5899","0.03%"
"Oct 30, 2013","7.6197","7.6224","7.6319","7.5834","-0.08%"
"Oct 29, 2013","7.6255","7.6122","7.6328","7.6035","-0.03%"
"Oct 28, 2013","7.6275","7.6204","7.6311","7.6070","0.01%"
