project_title,beneficiary,start_date,end_date,eu_cofinancing_amount,total_amount,priority_axis,thematical_program,fund_acronym
Ανάπτυξη δικτύου Πράσινων Σημείων (Green Points) σε όλη την Κύπρο,Υπουργείο Εσωτερικών,2009,2009,27312500,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 1: Συμβολή στην Εναρμόνιση της Κύπρου με το Κοινοτικό Κεκτημένο στον Τομέα της Διαχείρισης των Στερεών Αποβλήτων,ERDF
Αποκατάσταση Χώρων Ανεξέλεγκτης Διάθεσης Αποβλήτων (ΧΑΔΑ) στην επαρχία Πάφου,Υπουργείο Εσωτερικών,2009,2009,17756000,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 1: Συμβολή στην Εναρμόνιση της Κύπρου με το Κοινοτικό Κεκτημένο στον Τομέα της Διαχείρισης των Στερεών Αποβλήτων,ERDF
Αποχετευτικό Σύστημα του Συμπλέγματος Αστρομερίτη-Περιστερώνας-Ακακίου,Τμήμα Αναπτύξεως Υδάτων,2011,2011,20300000,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 2: Συμβολή στην Διαχείριση των Υγρών Αποβλήτων και των Υδάτινων Πόρων,ERDF
Αποχετευτικό Σύστημα του Δήμου Αθηένου,Τμήμα Αναπτύξεως Υδάτων,2009,2009,13795493,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 2: Συμβολή στην Διαχείριση των Υγρών Αποβλήτων και των Υδάτινων Πόρων,ERDF
Αποχετευτικό Σύστημα του Συμπλέγματος Σολέας (Φάση Α),Τμήμα Αναπτύξεως Υδάτων,2011,2011,22002800,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 2: Συμβολή στην Διαχείριση των Υγρών Αποβλήτων και των Υδάτινων Πόρων,ERDF
"ΜΕΛΕΤΕΣ ΓΙΑ ΤΗΝ ΕΦΑΡΜΟΓΗ ΤΩΝ ΑΡΘΡΩΝ 9, 11, 13, 14 & 15 ΤΗΣ ΕΥΡΩΠΑΪΚΗΣ ΟΔΗΓΙΑΣ ΠΛΑΙΣΙΟ ΠΕΡΙ ΥΔΑΤΩΝ 2000/60/ΕΚ",Τμήμα Αναπτύξεως Υδάτων,2012,2012,1304161,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 2: Συμβολή στην Διαχείριση των Υγρών Αποβλήτων και των Υδάτινων Πόρων,ERDF
Αποχετευτικό Σύστημα του Συμπλέγματος Κοκκινοχωριών -ΜΕΓΑΛΟ ΕΡΓΟ,Τμήμα Αναπτύξεως Υδάτων,2011,2011,95000000,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 2: Συμβολή στην Διαχείριση των Υγρών Αποβλήτων και των Υδάτινων Πόρων,ERDF
"Προμήθεια και Εγκατάσταση Φωτοβολταϊκών Συστημάτων σε Δημόσια Κτίρια, Σχολεία και Στρατόπεδα.",Υπηρεσία Ενέργειας,2010,2012,4978777,4978777,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 3: Αύξηση της Συνεισφοράς των Ανανεώσιμων Πηγών Ενέργειας στο Ενεργειακό Ισοζύγιο Στερεών Αποβλήτων,ERDF
ΠΡΟΜΗΘΕΙΑ ΚΑΙ ΕΓΚΑΤΑΣΤΑΣΗ ΗΛΙΑΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΨΥΞΗΣ/ΘΕΡΜΑΝΣΗΣ ΣΤΙΣ ΕΓΚΑΤΑΣΤΑΣΕΙΣ ΤΟΥ ΤΜΗΜΑΤΟΣ ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ ΚΑΙ ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΜΗΧΑΝΙΚΗΣ ΥΛΙΚΩΝ ΤΟΥ ΤΕΧΝΟΛΟΓΙΚΟΥ ΠΑΝΕΠΙΣΤΗΜΙΟΥ ΚΥΠΡΟΥ,Τεχνολογικό Πανεπιστήμιο Κύπρου,2011,2011,704950,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 3: Αύξηση της Συνεισφοράς των Ανανεώσιμων Πηγών Ενέργειας στο Ενεργειακό Ισοζύγιο Στερεών Αποβλήτων,ERDF
Εγκατάσταση Φωτοβολταϊκών Στοιχείων στο Πανεπιστήμιο Κύπρου,Πανεπιστήμιο Κύπρου,2009,2009,799200,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 1: ΒΑΣΙΚΕΣ ΥΠΟΔΟΜΕΣ ΣΤΟΝ ΤΟΜΕΑ ΤΟΥ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΤΗΣ ΕΝΕΡΓΕΙΑΣ,ΑΠ 1 > Ειδικός Στόχος 3: Αύξηση της Συνεισφοράς των Ανανεώσιμων Πηγών Ενέργειας στο Ενεργειακό Ισοζύγιο Στερεών Αποβλήτων,ERDF
Αναβάθμιση Λιμανιού Λεμεσού,Αρχή Λιμένων Κύπρου,2010,2010,46533732,,ΑΞΟΝΑΣ ΠΡΟΤΕΡΑΙΟΤΗΤΑΣ (ΑΠ) 2: ΒΑΣΙΚΕΣ ΜΕΤΑΦΟΡΙΚΕΣ ΥΠΟΔΟΜΕΣ,ΑΠ 2 > Ειδικός Στόχος 1: Επέκταση / Αναβάθμιση Λιμενικών Υποδομών,ERDF
