nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agia (Agia Kepir),CY000_1124,590,14.42,40.92
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agia Eirini Lefkosias,CY000_1402,13,4.59,2.83
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agia Marina Skyllouras,CY000_1246,0,20.97,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agia Marina Xyliatou,CY000_1324,613,19.31,31.75
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agia Varvara Lefkosias,CY000_1103,1879,22.2,84.63
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agioi Iliofotoi,CY000_1325,0,5.09,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agioi Trimithias,CY000_1240,1556,18.17,85.65
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Dometios,CY000_1010,12401,11.9,1041.99
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Epifanios Oreinis,CY000_1206,384,16.24,23.65
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Epifanios Soleas,CY000_1414,0,7.25,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Georgios Kafkallou,CY000_1321,21,21.85,0.96
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Georgios Soleas,CY000_1431,0,3.16,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Ioannis Malountas,CY000_1211,412,13.46,30.61
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Ioannis Selemani,CY000_1454,0,3.9,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Nikolaos Soleas,CY000_1430,0,2.4,0
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Sozomenos,CY000_1121,7,11.86,0.59
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Theodoros Soleas,CY000_1405,59,21.81,2.7
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Theodoros Tillirias,CY000_1466,16,10.79,1.48
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agios Vasileios,CY000_1248,125,15.02,8.32
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Aglantzia or Aglangia,CY000_1013,19990,31.19,640.81
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Agrokipia,CY000_1212,543,9.2,59.05
Cyprus,CY0,Cyprus,CY00,Cyprus,CY000,Nicosia,1,Akaki,CY000_1360,2936,25.42,115.5
