beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
accutech ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
aca home plus ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
ac euroblinds ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
ac bubbles children's centre limited,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.zambas & son construction ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.s. theramusica ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.r.m.e.s. ltd.,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.p.h. marine services ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.p. renew ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.o. dental plan ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.n. onlyvets ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.m.t. combination ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.l.p.l. home design ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.k. nicolaides trading co ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.k. mastoremata ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.g.m. plast ltd,CY,Cyprus,project,,,,,,,United Kingdom,Wales,Wrexham,Llay,LL12 0PX,Pinfold Lane,8,"8 Pinfold Ln, Llay, Wrexham LL12 0PX, UK",53.101836,-3.0147571,true,
a.e. dancing tutorial centre ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.d.a. industries ltd / αντιγονη μουντουκου,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.c.cool air ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.c. lithotechnic ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.c. intel ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.c. euroblinds ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.c. christodoulou consultants ltd / ανδρουλα δημοσθενουσ,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a.a ανδρονικου-αντωνιου τοπογραφικεσ υπηρεσιεσ λτδ,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. sophocleous beauty ltd/,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. n. constantinou trading ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. minas plastics co ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. m. c. metechno ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. k. anaglyfo solutions limited / ευδοκια καλια,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. k. anaglyfo solutions limited / ανδρη παπαδοπουλου,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. ch. enviro consult ltd.,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a. angeli gen. trading ltd / χριστοθεα χριστοφη,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a&m interpack ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a&g mechanical solutions ltd,CY,Cyprus,project,,,,,,,United Kingdom,England,Nottinghamshire,,NG22 9ZD,Meden Road,,"Meden Rd, Ollerton NG22 9ZD, UK",53.202733,-0.975494,true,
a&a metal solutions,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a & n officeserve bussines solutions ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a & m easy flossing ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a & c electrical services & constracting lt,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a & c christofi limited / ελπιδα ελευθεριου,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
a & a mens only shaving and more ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
3mc recycling ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
3arts exams limited,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
3a cartoon ltd,CY,Cyprus,project,,,,,,,,,,,,,,,,,true,
