lau1_code,lau2_code
CZ0100,554782
CZ0201,532886
CZ0201,530522
CZ0201,532568
CZ0201,532941
CZ0201,529478
CZ0201,532541
CZ0201,532134
CZ0201,532231
CZ0201,530115
CZ0201,599361
CZ0201,532924
CZ0201,530000
CZ0201,529648
CZ0201,529303
CZ0201,530751
CZ0201,529486
CZ0201,530191
CZ0201,529940
CZ0201,532614
CZ0201,534382
CZ0201,530701
CZ0201,529567
CZ0201,530409
CZ0201,530891
CZ0201,532258
CZ0201,532436
CZ0201,532509
CZ0201,530166
CZ0201,530158
CZ0201,530913
CZ0201,599379
CZ0201,530352
CZ0201,533084
CZ0201,532193
CZ0201,533076
CZ0201,532096
CZ0201,530492
CZ0201,599395
CZ0201,530476
CZ0201,530051
CZ0201,532690
CZ0201,530638
CZ0201,530298
CZ0201,531049
CZ0201,529931
CZ0201,530310
CZ0201,532649
CZ0201,532592
CZ0201,530841
CZ0201,538710
CZ0201,513482
CZ0201,530921
CZ0201,529451
CZ0201,529745
CZ0201,530107
CZ0201,530905
CZ0201,529842
CZ0201,532037
CZ0201,529516
CZ0201,529737
CZ0201,532304
CZ0201,532151
CZ0201,530450
CZ0201,530441
CZ0201,530093
CZ0201,530867
CZ0201,529974
CZ0201,532606
CZ0201,530778
CZ0201,530204
CZ0201,529818
CZ0201,529788
CZ0201,530344
CZ0201,532843
CZ0201,529541
CZ0201,532045
CZ0201,529532
CZ0201,530174
CZ0201,530743
CZ0201,532550
CZ0201,599387
CZ0201,530026
CZ0201,532380
CZ0201,532746
CZ0201,530883
CZ0201,530719
CZ0201,530948
CZ0201,529991
CZ0201,530514
CZ0201,538680
CZ0201,529958
CZ0201,531022
CZ0201,531031
CZ0201,530301
CZ0201,532878
CZ0201,529770
CZ0201,530531
CZ0201,530212
CZ0201,530069
CZ0201,529796
CZ0201,532266
CZ0201,529907
CZ0201,529851
CZ0201,530816
CZ0201,530549
CZ0201,532061
CZ0201,530263
CZ0201,571415
CZ0201,529702
CZ0201,530760
CZ0201,532932
CZ0201,530611
CZ0201,529621
CZ0201,530689
CZ0202,534455
CZ0202,534447
CZ0202,531596
CZ0202,531588
CZ0202,532002
CZ0202,534421
CZ0202,534072
CZ0202,531537
CZ0202,531880
CZ0202,531766
CZ0202,531545
CZ0202,531448
CZ0202,533602
CZ0202,531227
CZ0202,531634
CZ0202,531847
CZ0202,531171
CZ0202,531294
CZ0202,531812
CZ0202,531669
CZ0202,532011
CZ0202,534269
CZ0202,531791
CZ0202,531057
CZ0202,533335
CZ0202,599417
CZ0202,531251
CZ0202,533912
CZ0202,531081
CZ0202,531219
CZ0202,534463
CZ0202,531910
CZ0202,531804
CZ0202,531332
CZ0202,531901
CZ0202,534234
CZ0202,531120
CZ0202,534145
CZ0202,531944
CZ0202,531375
CZ0202,531103
CZ0202,531855
CZ0202,534218
CZ0202,531600
CZ0202,531189
CZ0202,531995
CZ0202,531162
CZ0202,531979
CZ0202,531839
CZ0202,531308
CZ0202,531073
CZ0202,531235
CZ0202,531243
CZ0202,531715
CZ0202,531464
CZ0202,531642
CZ0202,531324
CZ0202,531456
CZ0202,534048
CZ0202,531626
CZ0202,533203
CZ0202,531740
CZ0202,534111
CZ0202,531961
CZ0202,531472
CZ0202,532029
CZ0202,531529
CZ0202,533106
CZ0202,531758
CZ0202,531952
CZ0202,534285
CZ0202,533319
CZ0202,531201
CZ0202,534404
CZ0202,533670
CZ0202,533793
CZ0202,531090
CZ0202,533939
CZ0202,531316
