lau2_code,lau2_name,population
CZ010_554782,Praha,1170866
CZ020_503410,Žitovlice,126
CZ020_505781,Zápy,909
CZ020_512991,Drnek,166
CZ020_513032,Kamenný Most,313
CZ020_513041,Lhota,149
CZ020_513075,Hobšovice,326
CZ020_513113,Malé Přítočno,464
CZ020_513130,Dolany,201
CZ020_513148,Polní Voděrady,182
CZ020_513164,Ždánice,293
CZ020_513181,Dománovice,127
CZ020_513202,Zalešany,105
CZ020_513237,Polní Chrčice,147
CZ020_513261,Žabonosy,213
CZ020_513270,Lipec,109
CZ020_513288,Mrzky,110
CZ020_513369,Přehvozdí,189
CZ020_513393,Přistoupim,337
CZ020_513415,Kbel,41
CZ020_513423,Pašinka,303
CZ020_513431,Chýnice,261
CZ020_513458,Vestec,2402
CZ020_513482,Vysoký Újezd,185
CZ020_513504,Dlouhá Lhota,413
CZ020_513512,Zduchovice,253
CZ020_513521,Lešetice,94
CZ020_513539,Velká Lečice,149
CZ020_513547,Příčovy,252
CZ020_513555,Kotenčice,197
CZ020_513571,Občov,100
CZ020_513580,Hudčice,223
CZ020_513628,Klokočná,197
CZ020_513644,Zlatá,20
CZ020_526622,Rohozec,248
CZ020_528196,Podveky,339
CZ020_529303,Benešov,16115
CZ020_529451,Bystřice,3770
CZ020_529478,Čakov,110
CZ020_529486,Čechtice,1416
CZ020_529516,Čerčany,2604
CZ020_529524,Čejkovice,34
CZ020_529532,Červený Újezd,292
CZ020_529541,Český Šternberk,153
CZ020_529559,Dobrovítov,115
CZ020_529567,Čtyřkoly,384
CZ020_529575,Medonosy,104
CZ020_529583,Tupadly,127
CZ020_529591,Sedlec,171
CZ020_529605,Rokytá,183
CZ020_529613,Josefův Důl,832
CZ020_529621,Divišov,1412
CZ020_529630,Kostomlátky,261
CZ020_529648,Dolní Kralovice,829
CZ020_529656,Pětihosty,140
CZ020_529664,Těchařovice,41
CZ020_529672,Bezděkov pod Třemšínem,14
CZ020_529681,Koupě,162
CZ020_529699,Velká Chmelištná,50
CZ020_529702,Heřmaničky,658
CZ020_529711,Drahouš,69
CZ020_529737,Hulice,385
CZ020_529745,Hvězdonice,317
CZ020_529770,Chlum,144
CZ020_529788,Chmelná,116
CZ020_529796,Chocerady,1028
CZ020_529818,Chotýšany,480
CZ020_529842,Jankov,892
CZ020_529851,Javorník,127
CZ020_529907,Keblov,158
CZ020_529931,Kondrac,533
CZ020_529940,Kozmice,217
CZ020_529958,Krhanice,646
CZ020_529974,Krňany,345
CZ020_529991,Křečovice,376
CZ020_530000,Křivsoudov,389
CZ020_530026,Kuňovice,75
CZ020_530051,Lešany,837
CZ020_530069,Libež,180
CZ020_530093,Loket,450
CZ020_530107,Louňovice pod Blaníkem,664
CZ020_530115,Maršovice,609
CZ020_530158,Mezno,358
CZ020_530166,Miličín,832
CZ020_530174,Miřetice,161
CZ020_530191,Mnichovice,214
CZ020_530204,Mrač,583
CZ020_530212,Načeradec,1065
CZ020_530263,Nespeky,418
