"Date","Price","Open","High","Low","Change %"
"Dec 31, 2013","7.4619","7.4583","7.4673","7.4529","0.02%"
"Dec 30, 2013","7.4604","7.4471","7.4642","7.4465","0.02%"
"Dec 27, 2013","7.4589","7.4589","7.4677","7.4423","-0.02%"
"Dec 26, 2013","7.4604","7.4587","7.4624","7.4538","-0.00%"
"Dec 25, 2013","7.4605","7.4609","7.4684","7.4367","-0.03%"
"Dec 24, 2013","7.4627","7.4602","7.4663","7.4497","0.02%"
"Dec 23, 2013","7.4609","7.4540","7.4660","7.4525","0.01%"
"Dec 20, 2013","7.4602","7.4593","7.4665","7.4517","-0.00%"
"Dec 19, 2013","7.4605","7.4589","7.4653","7.4536","0.00%"
"Dec 18, 2013","7.4603","7.4592","7.4890","7.4454","0.00%"
"Dec 17, 2013","7.4603","7.4594","7.4671","7.4506","-0.00%"
"Dec 16, 2013","7.4606","7.4577","7.4726","7.4526","-0.01%"
"Dec 13, 2013","7.4613","7.4609","7.4696","7.4540","-0.01%"
"Dec 12, 2013","7.4621","7.4591","7.4692","7.4507","0.03%"
"Dec 11, 2013","7.4601","7.4568","7.4651","7.4546","0.00%"
"Dec 10, 2013","7.4599","7.4581","7.4664","7.4480","0.00%"
"Dec 09, 2013","7.4599","7.4509","7.4747","7.4485","0.00%"
"Dec 06, 2013","7.4599","7.4593","7.4825","7.4530","-0.00%"
"Dec 05, 2013","7.4600","7.4588","7.4729","7.4506","0.01%"
"Dec 04, 2013","7.4594","7.4585","7.4723","7.4499","-0.01%"
"Dec 03, 2013","7.4602","7.4569","7.4624","7.4538","0.01%"
"Dec 02, 2013","7.4597","7.4549","7.4707","7.4516","0.00%"
"Nov 29, 2013","7.4596","7.4566","7.4642","7.4518","0.01%"
"Nov 28, 2013","7.4587","7.4570","7.4640","7.4518","0.01%"
"Nov 27, 2013","7.4581","7.4574","7.4641","7.4492","-0.01%"
"Nov 26, 2013","7.4588","7.4581","7.4651","7.4512","0.00%"
"Nov 25, 2013","7.4588","7.4616","7.4646","7.4509","0.01%"
"Nov 22, 2013","7.4580","7.4580","7.4640","7.4452","-0.01%"
"Nov 21, 2013","7.4590","7.4584","7.4710","7.4467","0.00%"
"Nov 20, 2013","7.4590","7.4577","7.4763","7.4464","0.00%"
"Nov 19, 2013","7.4589","7.4561","7.4684","7.4514","0.01%"
"Nov 18, 2013","7.4582","7.4593","7.4641","7.4507","-0.00%"
"Nov 15, 2013","7.4585","7.4556","7.4667","7.4506","-0.01%"
"Nov 14, 2013","7.4591","7.4580","7.4692","7.4521","0.00%"
"Nov 13, 2013","7.4589","7.4545","7.4647","7.4521","0.01%"
