nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Aegviidu,EE001_0112,835,18.68,44.7
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Anija,EE001_0140,6023,821.06,7.34
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Harku,EE001_0198,9705,251.22,38.63
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Jõelähtme,EE001_0245,10591,333.4,31.77
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Keila,EE001_0295,5128,285.02,17.99
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Keila,EE001_0296,8898,17.46,509.64
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Kernu,EE001_0297,2114,275.67,7.67
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Kiili,EE001_0304,3373,156.71,21.52
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Kose,EE001_0337,5760,371.45,15.51
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Kuusalu,EE001_0353,8395,1126.48,7.45
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Kõue,EE001_0363,1641,462.74,3.55
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Loksa,EE001_0424,1408,6.11,230.28
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Maardu,EE001_0446,12536,35.91,349.08
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Nissi,EE001_0518,3323,415.22,8
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Padise,EE001_0562,1801,579.97,3.11
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Paldiski,EE001_0580,4315,95.45,45.21
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Raasiku,EE001_0651,4457,251.69,17.71
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Rae,EE001_0653,7969,326.66,24.4
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Saku,EE001_0718,8808,270.45,32.57
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Saue,EE001_0727,9267,306.5,30.24
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Saue,EE001_0728,5728,6.7,854.9
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Tallinn,EE001_0784,380698,253.53,1501.58
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Vasalemma,EE001_0868,4972,61.29,81.13
Estonia,EE0,Estonia,EE00,Põhja-Eesti,EE001,Harju maakond,37,Viimsi,EE001_0890,13530,117.11,115.53
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Pärnu maakond,67,Are,EE004_0149,1304,246.77,5.28
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Pärnu maakond,67,Audru,EE004_0159,5004,584.1,8.57
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Hiiu maakond,39,Emmaste,EE004_0175,1260,306.78,4.11
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Lääne maakond,57,Haapsalu,EE004_0183,10770,16.14,667.19
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Pärnu maakond,67,Halinga,EE004_0188,3599,563.73,6.38
Estonia,EE0,Estonia,EE00,Lääne-Eesti,EE004,Lääne maakond,57,Hanila,EE004_0195,1516,362.5,4.18
