region,region_corr
Üleriigilised projektid,Üleriigilised projektid
"Tartu, Tartu maakond",Tartu
"Harju maakond, Tallinn",Tallinn
Lääne-Viru maakond,Lääne-Viru maakond
Valga maakond,Valga maakond
Ida-Viru maakond,Ida-Viru maakond
Järva maakond,Järva maakond
"Harju maakond, Tallinn, Tartu, Tartu maakond","Tallinn,Tartu"
"Lääne-Viru maakond, Rakvere",Rakvere
"Ida-Viru maakond, Narva",Narva
"Põlva maakond, Valga maakond, Võru, Võru maakond","Põlva maakond,Valga maakond,Võru"
"Hiiu maakond, Saare maakond","Hiiu maakond,Saare maakond"
Harju maakond,Harju maakond
"Haapsalu, Lääne maakond",Haapsalu
Põlva maakond,Põlva maakond
Tartu maakond,Tartu maakond
"Harju maakond, Ida-Viru maakond, Narva, Tallinn","Narva,Tallinn"
Rapla maakond,Rapla maakond
"Põlva maakond, Tartu, Tartu maakond, Valga maakond, Võru, Võru maakond","Põlva maakond,Tartu,Valga maakond,Võru"
Jõgeva maakond,Jõgeva maakond
"Viljandi, Viljandi maakond","Viljandi,Viljandi maakond"
Viljandi maakond,Viljandi maakond
"Pärnu, Pärnu maakond, Viljandi, Viljandi maakond","Pärnu,Viljandi,Viljandi maakond"
"Pärnu, Pärnu maakond",Pärnu
Pärnu maakond,Pärnu maakond
"Järva maakond, Paide",Paide
Saare maakond,Saare maakond
,
"Võru, Võru maakond",Võru
Lääne maakond,Lääne maakond
Hiiu maakond,Hiiu maakond
Võru maakond,Võru maakond
"Harju maakond, Ida-Viru maakond, Järva maakond, Jõgeva maakond, Lääne-Viru maakond, Narva, Paide, Pärnu, Pärnu maakond, Rakvere, Saare maakond, Tallinn, Viljandi, Viljandi maakond, Võru, Võru maakond","Jõgeva maakond,Narva,Paide,Pärnu,Rakvere,Saare maakond,Tallinn,Viljandi,Viljandi maakond,Võru"
"Ida-Viru maakond, Tallinn","Ida-Viru maakond,Tallinn"
"Järva maakond, Lääne-Viru maakond, Pärnu, Pärnu maakond, Rakvere","Järva maakond,Pärnu,Rakvere"
"Harju maakond, Ida-Viru maakond, Narva, Tallinn, Tartu, Tartu maakond, Valga maakond","Narva,Tallinn,Tartu,Valga maakond"
