finnish,swedish
Isojoki,Storå
Kemiönsaari,Kimitoön
Laihia,Laihela
Turku,Åbo
Kaskinen,Kaskö
Raahe,Brahestad
Uusikaupunki,Nystad
Vaasa,Vasa
Lahti,Lahtis
Tampere,Tammerfors
Ikaalinen,Ikalis
Lieto,Lundo
Kerava,Kervo
Teuva,Östermark
Tornio,Torneå
Kruunupyy,Kronoby
Helsinki,Helsingfors
Virrat,Virdois
Sipoo,Sibbo
Ähtäri,Etseri
Pomarkku,Påmark
Kaustinen,Kaustby
Raasepori,Raseborg
Merikarvia,Sastmola
Hämeenlinna,Tavastehus
Pori,Björneborg
Vöyri,Vörå
Pirkkala,Birkala
Järvenpää,Träskända
Raisio,Reso
Kaarina,S:t Karins
Karkkila,Högfors
Kristiinankaupunki,Kristinestad
Kajaani,Kajana
Inari,Enare
Luoto,Larsmo
Ilomantsi,Ilomants
Porvoo,Borgå
Närpiö,Närpes
Taivassalo,Tövsala
Kokemäki,Kumo
Isokyrö,Storkyro
Pietarsaari,Jakobstad
Savonlinna,Nyslott
Länsi-Turunmaa,Väståboland
Uusikaarlepyy,Nykarleby
Iisalmi,Idensalmi
Nousiainen,Nousis
Hanko,Hangö
Joroinen,Jorois
Karjalohja,Karislojo
Vähäkyrö,Lillkyro
Jokioinen,Jockis
Sauvo,Sagu
Lapua,Lappo
Kauniainen,Grankulla
Hyvinkää,Hyvinge
Rauma,Raumo
Naantali,Nådendal
Ulvila,Ulvsby
Vihti,Vichtis
Maalahti,Malax
Karijoki,Bötom
Siuntio,Sjundeå
Hamina,Fredrikshamn
Vantaa,Vanda
Oulu,Uleåborg
Enontekiö,Enontekis
Espoo,Esbo
Myrskylä,Mörskom
Pornainen,Borgnäs
Loviisa,Lovisa
Liminka,Limingo
Eurajoki,Euraåminne
Pyhtää,Pyttis
Kirkkonummi,Kyrkslätt
Kustavi,Gustavs
Lohja,Lojo
Mustasaari,Korsholm
Tuusula,Tusby
Lappeenranta,Villmanstrand
Paimio,Pemar
Ylitornio,Övertorneå
Köyliö,Kjulo
Inkoo,Ingå
Hailuoto,Karlö
Kokkola,Karleby
Veteli,Vetil
Mikkeli,S:t Michel
Hämeenkyrö,Tavastkyro
Lapinjärvi,Lappträsk
