Date,Price,Open,High,Low,Change %
"Dec 31, 2013",297.42,296.23,297.94,295.18,0.30%
"Dec 30, 2013",296.525,295.84,297.755,295.61,0.02%
"Dec 27, 2013",296.48,296.29,297.92,295.53,-0.13%
"Dec 26, 2013",296.88,296.23,297.46,295.69,-0.09%
"Dec 25, 2013",297.145,296.6,297.795,295.74,0.10%
"Dec 24, 2013",296.85,296.88,297.7,295.95,-0.20%
"Dec 23, 2013",297.45,298.13,299.5,296.56,-0.35%
"Dec 20, 2013",298.48,298.49,299.36,297.94,-0.19%
"Dec 19, 2013",299.05,298.34,300.62,297.25,0.11%
"Dec 18, 2013",298.73,298.35,299.44,296.83,-0.02%
"Dec 17, 2013",298.775,299.2,300.175,297.83,-0.14%
"Dec 16, 2013",299.195,302.26,302.905,298.47,-0.90%
"Dec 13, 2013",301.91,302.66,303.77,300.81,-0.36%
"Dec 12, 2013",303.015,302.33,304.425,301.91,0.09%
"Dec 11, 2013",302.745,300.94,303.655,300.94,0.28%
"Dec 10, 2013",301.91,301.97,303.25,299.98,-0.13%
"Dec 09, 2013",302.295,300.3,302.685,299.48,0.63%
"Dec 06, 2013",300.415,301.41,303.045,299.5,-0.45%
"Dec 05, 2013",301.785,301.36,302.815,300.5,-0.03%
"Dec 04, 2013",301.875,302.38,303.275,301.01,-0.25%
"Dec 03, 2013",302.63,303.5,304.52,301.75,-0.41%
"Dec 02, 2013",303.865,300.91,304.185,300.23,0.76%
"Nov 29, 2013",301.58,299.64,301.95,298.77,0.52%
"Nov 28, 2013",300.005,298.66,300.525,298.24,0.33%
"Nov 27, 2013",299.02,298.15,300.07,297.59,0.03%
"Nov 26, 2013",298.925,297.73,299.585,297.45,0.22%
"Nov 25, 2013",298.265,298.26,299.535,297.32,-0.18%
"Nov 22, 2013",298.8,297.44,299.13,296.89,0.15%
"Nov 21, 2013",298.34,297.16,299.33,296.6,0.26%
"Nov 20, 2013",297.555,296.83,298.005,295.83,0.13%
"Nov 19, 2013",297.155,296.74,298.055,296.01,0.01%
"Nov 18, 2013",297.125,297.8,298.975,296.06,-0.41%
"Nov 15, 2013",298.35,297.48,298.98,296.93,-0.03%
"Nov 14, 2013",298.45,298.47,299.94,297.03,-0.23%
"Nov 13, 2013",299.145,298.59,300.155,297.87,0.07%
"Nov 12, 2013",298.95,297.81,299.58,297.67,0.11%
"Nov 11, 2013",298.62,296.29,299.46,295.34,0.61%
"Nov 08, 2013",296.8,296.17,297.66,294.72,-0.06%
"Nov 07, 2013",296.99,295.76,300.25,294.4,0.17%
"Nov 06, 2013",296.5,296.51,298.02,295.72,-0.29%
"Nov 05, 2013",297.355,295.64,298.415,295.21,0.37%
"Nov 04, 2013",296.255,297.24,298.055,295.01,-0.52%
"Nov 01, 2013",297.795,294.74,298.385,294.31,0.74%
"Oct 31, 2013",295.61,293.76,296.54,293.07,0.57%
"Oct 30, 2013",293.945,293.83,295.015,292.46,-0.00%
"Oct 29, 2013",293.95,292.18,294.38,291.66,0.48%
"Oct 28, 2013",292.555,292.12,293.325,291.62,0.03%
"Oct 25, 2013",292.46,291.77,294.11,291.12,0.11%
"Oct 24, 2013",292.125,292.07,294.495,291.28,-0.10%
"Oct 23, 2013",292.42,291.94,293.06,291.33,0.04%
"Oct 22, 2013",292.315,293.39,295.105,291.45,-0.49%
"Oct 21, 2013",293.76,293.11,294.53,292.55,-0.08%
"Oct 18, 2013",293.995,293.94,295.595,292.81,-0.17%
"Oct 17, 2013",294.51,294.72,296.37,293.32,-0.14%
"Oct 16, 2013",294.93,295.79,296.91,294.03,-0.36%
"Oct 15, 2013",295.995,295.61,296.865,294.55,-0.06%
"Oct 14, 2013",296.185,293.82,297.245,293.79,0.45%
"Oct 11, 2013",294.85,293.81,296.44,293.62,0.09%
"Oct 10, 2013",294.595,295.65,296.955,293.79,-0.56%
"Oct 09, 2013",296.25,294.91,297.05,294.61,0.24%
"Oct 08, 2013",295.555,294.87,296.605,294.22,0.11%
"Oct 07, 2013",295.225,296.15,297.465,294.51,-0.47%
"Oct 04, 2013",296.61,296.14,298,295.33,0.04%
"Oct 03, 2013",296.505,296.19,297.775,295.03,-0.01%
"Oct 02, 2013",296.54,295.73,297.33,295.22,0.17%
"Oct 01, 2013",296.025,297.23,297.825,295.14,-0.50%
"Sep 30, 2013",297.51,297.01,299.36,296.51,-0.45%
"Sep 27, 2013",298.86,299.31,300.87,297.74,-0.25%
"Sep 26, 2013",299.61,299.48,300.15,298.74,-0.04%
"Sep 25, 2013",299.74,298.67,300.61,298.55,0.17%
"Sep 24, 2013",299.245,298.31,300.905,297.57,0.21%
"Sep 23, 2013",298.615,298.46,299.455,297.5,-0.04%
"Sep 20, 2013",298.745,296.38,299.935,296.12,0.61%
"Sep 19, 2013",296.945,295.03,297.825,294.15,0.48%
"Sep 18, 2013",295.54,296.81,299.13,294.77,-0.63%
"Sep 17, 2013",297.415,298.78,300.015,296.44,-0.54%
"Sep 16, 2013",299.03,300.61,301.67,297.83,-0.50%
"Sep 13, 2013",300.52,300.26,301.86,299.78,-0.19%
"Sep 12, 2013",301.105,299.23,302.715,298.94,0.42%
"Sep 11, 2013",299.86,298.93,300.77,298.15,0.01%
"Sep 10, 2013",299.825,299.88,301.395,298.06,-0.13%
"Sep 09, 2013",300.225,298.95,301.395,298.64,0.08%
"Sep 06, 2013",299.995,301.5,302.055,299.01,-0.57%
"Sep 05, 2013",301.72,300.59,302.96,300.43,0.08%
"Sep 04, 2013",301.47,302.23,303.29,300.28,-0.35%
"Sep 03, 2013",302.535,299.73,303.335,299.22,0.74%
"Sep 02, 2013",300.305,300.75,301.575,299.11,-0.33%
"Aug 30, 2013",301.285,300.06,302.275,299.11,0.29%
"Aug 29, 2013",300.405,300.6,301.855,299.57,-0.15%
"Aug 28, 2013",300.865,301.28,303.585,299.9,-0.21%
"Aug 27, 2013",301.49,298.36,302.21,298,0.98%
"Aug 26, 2013",298.565,297.45,298.745,297.16,0.15%
"Aug 23, 2013",298.105,299.01,300.345,297.04,-0.49%
"Aug 22, 2013",299.56,300.59,301.35,298.7,-0.42%
"Aug 21, 2013",300.815,298.98,300.815,298.29,0.47%
"Aug 20, 2013",299.41,300.22,301.38,298.44,-0.38%
"Aug 19, 2013",300.545,298.96,301.535,298.88,0.20%
"Aug 16, 2013",299.955,298.18,301.245,297.59,0.49%
"Aug 15, 2013",298.5,298.93,300.29,297.63,-0.23%
"Aug 14, 2013",299.185,297.8,299.565,297.15,0.27%
"Aug 13, 2013",298.38,297.05,299.88,296.46,0.33%
"Aug 12, 2013",297.4,296.29,297.91,295.54,0.32%
"Aug 09, 2013",296.455,297.7,298.755,295.91,-0.50%
"Aug 08, 2013",297.945,299.43,300.025,297.18,-0.62%
"Aug 07, 2013",299.79,298.8,300.39,298.36,0.21%
"Aug 06, 2013",299.17,298.69,300,298.01,0.08%
"Aug 05, 2013",298.925,297.96,299.345,297.45,0.19%
"Aug 02, 2013",298.365,300.34,301.695,297.5,-0.75%
"Aug 01, 2013",300.61,299.09,301.25,298.27,0.42%
"Jul 31, 2013",299.36,298.94,301.09,298.54,-0.02%
"Jul 30, 2013",299.41,298.2,300.42,297.51,0.26%
"Jul 29, 2013",298.635,296.15,300.045,296.1,0.48%
"Jul 26, 2013",297.205,296.76,298.085,295.55,0.06%
"Jul 25, 2013",297.015,295.94,298.365,294.96,0.26%
"Jul 24, 2013",296.245,295.33,297.085,294.77,0.18%
"Jul 23, 2013",295.71,293.82,296.59,293.24,0.51%
"Jul 22, 2013",294.205,294.97,295.785,293.13,-0.54%
"Jul 19, 2013",295.795,294.55,296.375,293.92,0.12%
"Jul 18, 2013",295.44,292.18,296.38,291.78,0.93%
"Jul 17, 2013",292.725,292.46,295.065,291.69,0.03%
"Jul 16, 2013",292.65,291.45,293.11,290.97,0.31%
"Jul 15, 2013",291.75,291.68,292.59,290.63,-0.07%
"Jul 12, 2013",291.965,291.38,293.165,290.68,-0.08%
"Jul 11, 2013",292.195,293.72,294.945,291.06,-0.68%
"Jul 10, 2013",294.19,292.42,295.24,291.88,0.53%
"Jul 09, 2013",292.635,294.11,294.995,291.62,-0.77%
"Jul 08, 2013",294.905,294.75,296.745,293.86,-0.37%
"Jul 05, 2013",295.995,293.16,296.805,292.59,0.86%
"Jul 04, 2013",293.47,293.83,296.49,292.04,-0.33%
"Jul 03, 2013",294.445,293.54,295.825,293.04,0.18%
"Jul 02, 2013",293.905,293.76,294.625,292.39,-0.07%
"Jul 01, 2013",294.11,294.23,295.63,293.27,-0.32%
"Jun 28, 2013",295.05,295.56,296.32,293.93,-0.24%
"Jun 27, 2013",295.755,295.74,296.735,294.43,-0.11%
"Jun 26, 2013",296.095,296.5,297.905,295.29,-0.23%
"Jun 25, 2013",296.775,298.1,299.265,295.57,-0.52%
"Jun 24, 2013",298.33,298.9,300.77,297.68,-0.38%
"Jun 21, 2013",299.47,299.51,301.14,297.59,-0.17%
"Jun 20, 2013",299.985,297.43,300.395,296.79,0.59%
"Jun 19, 2013",298.22,293.55,298.93,292.69,1.51%
"Jun 18, 2013",293.77,291.59,295.53,290.79,0.64%
"Jun 17, 2013",291.91,289.44,292.32,289.19,0.37%
"Jun 14, 2013",290.83,292.61,293,289.73,-0.73%
"Jun 13, 2013",292.975,296.45,297.845,291.66,-1.26%
"Jun 12, 2013",296.705,296.36,297.535,294.73,-0.01%
"Jun 11, 2013",296.725,298.94,301.635,295.85,-0.82%
"Jun 10, 2013",299.165,295.34,299.695,294.75,1.03%
"Jun 07, 2013",296.12,297.54,298.17,294.29,-0.47%
"Jun 06, 2013",297.52,297.6,300.09,295.85,-0.14%
"Jun 05, 2013",297.945,293.5,298.605,292.62,1.38%
"Jun 04, 2013",293.88,292.27,294.12,290.96,0.48%
"Jun 03, 2013",292.475,293.39,297.075,291.92,-1.47%
"May 31, 2013",296.835,293.88,297.225,293.29,0.89%
"May 30, 2013",294.22,289.71,295.32,288.45,1.43%
"May 29, 2013",290.085,287.12,291.035,286.72,0.94%
"May 28, 2013",287.38,289.04,289.56,285.28,-0.66%
"May 27, 2013",289.28,288.77,289.93,288.56,-0.02%
"May 24, 2013",289.325,290.83,291.335,288.21,-0.63%
"May 23, 2013",291.17,289.63,293.47,289.03,0.45%
"May 22, 2013",289.87,288.93,290.16,287.53,0.12%
"May 21, 2013",289.535,290.57,291.825,288.91,-0.44%
"May 20, 2013",290.82,289.91,291.49,289.48,-0.13%
"May 17, 2013",291.2,291.18,292.26,289.84,-0.04%
"May 16, 2013",291.325,291.25,291.915,289.68,-0.09%
"May 15, 2013",291.585,294.35,295.455,290.79,-1.06%
"May 14, 2013",294.72,294.69,296.01,293.49,-0.06%
"May 13, 2013",294.895,291.98,295.105,291.75,0.54%
"May 10, 2013",293.325,292.97,294.745,291.81,0.06%
"May 09, 2013",293.14,292.79,293.83,292.08,-0.00%
"May 08, 2013",293.15,295.91,296.67,291.98,-1.03%
"May 07, 2013",296.21,296.57,298.38,294.81,-0.21%
"May 06, 2013",296.825,295.76,297.575,295.27,0.28%
"May 03, 2013",296.005,295.67,297.345,294.33,0.04%
"May 02, 2013",295.89,298.56,299.59,295.35,-1.04%
"May 01, 2013",298.985,299.24,300.035,298.03,-0.16%
"Apr 30, 2013",299.46,299.59,300.6,298.39,-0.18%
"Apr 29, 2013",300.01,301.86,302.95,297.31,-0.76%
"Apr 26, 2013",302.305,301.17,302.955,300.07,0.30%
"Apr 25, 2013",301.41,299.8,302.7,299.54,0.38%
"Apr 24, 2013",300.28,299.47,301.87,298.23,0.19%
"Apr 23, 2013",299.705,298.62,302.425,298.12,0.24%
"Apr 22, 2013",298.99,298.79,300.46,297.08,0.13%
"Apr 19, 2013",298.595,297.95,299.715,296.38,0.08%
"Apr 18, 2013",298.345,294.68,299.075,293.99,1.15%
"Apr 17, 2013",294.94,293.4,295.73,292.96,0.41%
