beneficiary,city
"Körzeti Általános Iskola és Óvoda, Tiszakürt nevében Tiszakürt Község Önkormányzata",Tiszakürt
Várpalota Város - Tés Községe Közoktatási Intézményfenntartó Társulás nevében Várpalota Város Önkormányzata mint gesztor,"Várpalota, Tés"
"Héhalom és Egyházasdengeleg községek önkormányzatainak Általános Iskolai intézményfenntartó társulása nevében Héhalom Község Önkormányzata, mint Gesztor","Egyházasdengeleg, Héhalom"
"Kálló Község Önkormányzatáról Kállói II. Rákóczi Ferenc Általános Iskola Intézmény Fenntartó Társulás nevében Kálló Község Önkormányzata, mint gesztor",Kálló
Teskánd Község Önkormányzata,Teskánd
Gyöngyöshalász Község Önkormányzata,Gyöngyöshalász
"Bagod, Hagyárosbörönd, Kávás, Zalaboldogfa, Zalaboldogfa, Zalaszentgyörgy, Ozmánbük, Vaspör Önkormányzatok Intézményi Társulása nevében eljáró Bagod Község Önkormányzata, mint gesztor","Zalaszentgyörgy, Zalaboldogfa, Vaspör, Kávás, Ozmánbük, Bagod, Hagyárosbörönd"
Általános Iskolai Társulás nevében Gödre Község Önkormányzata mint gesztor,Gödre
Adács Község Önkormányzata,Adács
Községi Ökormányzat Tolcsva,Tolcsva
Boldog Község Önkormányzata,Boldog
Arló Nagyközség Önkormányzata,Arló
KISKUNFÉLEGYHÁZA VÁROS ÖNKORMÁNYZATA,Kiskunfélegyháza
Rábatamási-Jobaháza-Magyarkeresztúr Közoktatási Intézményi Társulás nevében eljáró Rábatamási Község Önkormányzata,"Magyarkeresztúr, Rábatamási, Jobaháza"
Mucsony Nagyközségi Önkormányzat,Múcsony
"Mátraderecske-Mátraballa Intézményfenntartó Társulás nevében eljáró Mátraderecske Község Önkormányzata, mint gesztor","Mátraderecske, Mátraballa"
Balkány Város Önkormányzata,Balkány
Kék Község Önkormányzata,Kék
Járdánháza Község Önkormányzata,Járdánháza
MAKÓ ÉS TÉRSÉGE IVÓVÍZMINŐSÉG-JAVÍTÓ ÖNKORMÁNYZATI TÁRSULÁS,Makó
Pásztó-Mátraszőlős Közoktatási Intézményi Társulás és Cserhát Közoktatási Társulás nevében Pásztó Város Önkormányzata,"Mátraszőlős, Pásztó"
Telkibánya Községi Önkormányzat,Telkibánya
Rakamaz Város Önkormányzata,Rakamaz
Atkár Községi Önkormányzat,Atkár
Boba Község Önkormányzata,Boba
Nyírpilis Községi Önkormányzat,Nyírpilis
Drávasztára Község Önkormányzata,Drávasztára
Tapolcai Közoktatási Intézményi Társulás nevében eljáró Tapolca Város Önkormányzata,Tapolca
"Német Nemzetiségi Nevelési, Oktatási és Kulturális Intézményfenntartó Társulás nevében Városlőd Község Önkormányzata mint gesztor",Városlőd
Zagyvaszántó Község Önkormányzata,Zagyvaszántó
Általános Iskola és Óvoda Intézményi Fenntartó Társulás nevében Tófej Község Önkormányzata mint gesztor,Tófej
"Káptalanfa, Bodorfa, Gyepükaján, Nemeshany Önkormányzatainak Intézményi Társulása nevében eljáró Káptalanfa Község Önkormányzata","Káptalanfa, Gyepükaján, Bodorfa, Nemeshany"
Intézményfenntartói Társulás nevében eljáró Csesztreg Községi Önkormányzat (gesztor),Csesztreg
Települési Önkormányzat Lesencetomaj,Lesencetomaj
Somogyjádi integrált mikrotérségi közoktatási társulás nevében Mernye Község Önkormányzata,"Mernye, Somogyjád"
Nyírmártonfalva Községi Önkormányzat,Nyírmártonfalva
Fehérgyarmat-Penyige-Mánd Közoktatási Intézményi Társulás nevében Fehérgyarmat Város Önkormányzata,"Fehérgyarmat, Penyige, Mánd"
Magyarhomorog Községi Önkormányzat,Magyarhomorog
"Levelek, Magy, Besenyőd Közoktatási Intézményi Társulás nevében eljáró Levelek Nagyközség Önkormányzata","Besenyőd, Magy, Levelek"
"Marcali, Kelevíz, Nemesvid, Somogysimonyi, Somogyzsitfa Közoktatási Intézményi Társulás nevében Marcali Város Önkormányzata mint gesztor","Somogysimonyi, Somogyzsitfa, Nemesvid, Kelevíz, Marcali"
Szepetnek-Sormás Községi Önkormányzatok Intézményfenntartó Társulása nevében eljáró Szepetnek Község Önkormányzata,"Szepetnek, Sormás"
Bárna Község Önkormányzata,Bárna
Községi Önkormányzat Lucfalva,Lucfalva
Pátyod Község Önkormányzata,Pátyod
Páka Községi Önkormányzat,Páka
"Nagyigmánd-Csém-Csép-Kisigmánd-Szákszend Községi Önkormányzatok Közoktatási és közétkeztetési Intézményfenntartó Társulása nevében eljáró Nagyigmánd Nagyközség Önkormányzata, mint gesztor","Nagyigmánd, Kisigmánd, Csém, Csép, Szákszend"
"Bágyogszovát-Bodonhely-Kisbabot-Rábapordány Önkormányzatainak Általános Iskolai Intézményi Társulása nevében eljáró Bágyogszovát Község Önkormányzata, mint gesztor","Bágyogszovát, Kisbabot, Bodonhely, Rábapordány"
Körösszegapáti Község Önkormányzata,Körösszegapáti
Tápszentmiklós-Győrasszonyfa-Lázi-Tarjánpuszta Községek Közoktatási Mikrotérségi Társulása nevében eljáró Tápszentmiklós Község Önkormányzata,"Lázi, Győrasszonyfa, Tápszentmiklós, Tarjánpuszta"
"Hatvani Középiskola, Szakiskola és Kollégiumot Működtető Intézményfenntartó Társulás nevében eljáró Hatvan Város Önkormányzata mint gesztor",Hatvan
Nagybánhegyes Község Önkormányzata,Nagybánhegyes
Békéssámson Község Önkormányzata,Békéssámson
Általános Iskola és Óvoda Intézményeket Fenntartó Társulás nevében Bodrogkeresztúr Község Önkormányzata mint gesztor,Bodrogkeresztúr
Közös Fenntartású Oktatási Intézmények nevében eljáró Gesztor Baktakék Önkormányzat,Baktakék
Békés Város Önkormányzata mint a Békési Kistérségi Intézményfenntartó Társulás gesztora,Békés
Érsekhalma Község Önkormányxzata,Érsekhalma
TOKAJ VÁROS ÖNKORMÁNYZATA,Tokaj
Mórahalom város Önkormányzata,Mórahalom
"Edelény, Szuhogy, Abod, Balajt, Damak és Ládbesenyő települések Közoktatási Intézményfenntartó Társulása nevében eljáró Edelény Város Önkormányzata","Damak, Balajt, Ládbesenyő, Edelény, Szuhogy, Abod"
Bodroghalom Községi Önkormányzat,Bodroghalom
Fadd Nagyközség Önkormányzata,Fadd
Cikó Község Önkormányzata,Cikó
"Balatonszentgyörgy-Balatonberény-Hollád-Tikos és Vörs Községek Közoktatási Intézményfenntartó Társulása nevében eljáró Balatonszentgyörgy Község Önkormányzata, mint gesztor","Balatonszentgyörgy, Tikos, Vörs, Hollád, Balatonberény"
Taktakenéz Község Önkormányzata,Taktakenéz
Algyő Nagyközség Önkormányzata,Algyő
Hegykő Község Önkormányzata,Hegykő
Putnok-Dubicsány-Sajóvelezd-Sajómercse Közoktatási Intézményfenntartói Társulás nevében eljáró Putnok Gesztorönkormányzat,"Sajómercse, Sajóvelezd, Dubicsány, Putnok"
Naszály Község Önkormányzata,Naszály
Hanyi-Menti Közoktatási Intézményfenntartó Társulás nevében eljáró Átány Község Önkormányzata mint gesztor,Átány
Ároktő Községi Önkormányzat,Ároktő
"Jánossomorja, Újrónafő, Várbalog települések Intézményfenntartó Társulása  gesztoraként Jánossomorja Város Önkormányzata","Újrónafő, Várbalog, Jánossomorja"
Zsáka Nagyközség Önkormányzata,Zsáka
"Sajólád-Sajópetri Községek Közoktatási Intézményfenntartó Társulása nevében eljáró Sajólád Községi Önkormányzat, mint gesztor","Sajólád, Sajópetri"
"Közoktatási Intézményi Társulás nevében eljáró Egervár Község Önkormányzata, mint gesztor",Egervár
KÉK VÍZ - ÉSZAK-BÁCS-KISKUN MEGYEI IVÓVÍZMINŐSÉG-JAVÍTÓ ÖNKORMÁNYZATI TÁRSULÁS,Kék
Tác-Csősz Közoktatási Intézméyi Társulás nevében eljáró Tác Község Önkormányzata mint Gesztor,"Csősz, Tác"
Zalavár Község Önkormányzata,Zalavár
Rédics Község Önkormányzata,Rédics
Görgeteg Község Önkormányzata,Görgeteg
Fehérgyarmat- Penyige- Mánd Intézményfenntartó Társulás nevében Fehérgyarmat Város Önkormányzata,"Fehérgyarmat, Penyige, Mánd"
Görbeháza Község Önkormányzata,Görbeháza
Tarcal Község Önkormányzata,Tarcal
Üllés és Forráskút Községek Közoktatási Intézményi Társulása nevében Üllés Község Önkormányzata,"Forráskút, Üllés"
Véssey Mihály Általános Iskola és Óvoda Intézményfenntartó Társulás nevében Vése Község Önkormányzata mint Gesztor,Vése
Jakabszállás - Fülöpjakab Közoktatási Intézményfenntartó Társulása nevében eljáró Jakabszállás Község Önkormányzata,"Fülöpjakab, Jakabszállás"
Hegyháti Intézményi Társulás nevében eljáró Mágocs Város Önkormányzata mint gesztor,Mágocs
"Hetes, Csombárd és Somogysárd Községek Közoktatási Intézményi Társulása nevében eljáró gesztor: Hetes Község Önkormányzata","Csombárd, Hetes, Somogysárd"
Ecséd Községi Önkormányzat,Ecséd
Sajószöged - Sajóörös Alapfokú Közoktatási Intézményfenntartó Mikrotársulás nevében Sajószöged Község Önkormányzata mint gesztor,"Sajóörös, Sajószöged"
Cibakháza Nagyközség Önkormányzata,Cibakháza
"Igal és Környéke Közoktatási Intézményfenntartó Társulás nevében Igal Város Önkormányzata, Gesztor",Igal
Bükkszentkereszt és Répáshuta Községek Közoktatási Intézményfenntartó Társulása nevében eljáró Bükkszentkereszt Község Önkormányzata,"Répáshuta, Bükkszentkereszt"
Porcsalma Nagyközség Önkormányzata,Porcsalma
Budapest I. kerület Budavári Önkormányzat,Budapest
