beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
Dmsone es netteam szolgaltato tanacsado zrt,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Bt eszte haziorvosi la szolgaltato,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
95 beteti chely es kereskedelmi szolgaltato tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Fuvar kft szallitmanyozo z,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Es felelossegu fovallalkozo kamox kereskedelmi korlatolt tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Egyesulet ifjusagi kulturalis uton,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Beteti festo pittore tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Du es kereskedelmi kft san szolgaltato ti,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
2004 es felelossegu kereskedelmi ko korlatolt szolgaltato tarsasag ton,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Bedeco es felelossegu forgalmazo italporgyarto korlatolt tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Aktiv es felelossegu kereskedelmi korlatolt szabadido szolgaltato tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Es fia hefter kft kozlekedesi kozuti szallitmanyozasi,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Dent es gyogyito implant kft surgery szolgaltato,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Es felelossegu kereskedelmi korlatolt siker sutoipari tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Es intezmenyfenntarto konyvtari kozmuvelodesi kozpont petofi sandor,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Felelossegu idegenforgalmi korlatolt miditourist tarsasag,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Epitoipari es kereskedelmi kft paint szolgaltato team,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
Fem hulladek kereskedelmi kft vas,HU,Hungary,project,,,,,,,,,,,,,,,,,True,
