fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
other,19.09.2013,,Emma Jane Champley,Emma Jane Champley Jewellery Design and manufacture  approved salary costs,375,Carlow
other,07.03.2013,01.10.2013,Hedgehog Productions Ltd,Media Production Company. Application for assistance of salary cost,7500,Carlow
other,19.09.2013,31.12.2013,Stephen O Briain,Furniture Design and Manufacturer of bespoke furniture,375,Carlow
other,25.06.2013,,Select Roofing,"Select Roofing specialising in roofing services to both domestic and commercial customers, including the design, supply, testing, and certification of same The company has two primary service offerings; Roofing Solutions and Height Safety Solutions. Application for assistance towards the costs of Salary Costs.",10500,Carlow
other,24.04.2013,31.12.2013,D2 Print Ltd ,This is a specialist print business. Grant aid is towards the purchase of additional machinery.,24000,Clare
other,24.04.2013,31.12.2013,Ennis National Pre School ,Grant towards renovation of new building and equipment,8270,Clare
other,06.03.2013,31.12.2013,Fun Affordable Gifts,Grant towards employment of additional staff and equipment. clothing products that are compressed into small packages and when submerged in water return to original size. no other product like it in Co. Clare. Creation of employment.,12096,Clare
other,06.03.2013,31.12.2013,LCE Graphics Ltd,Specialist manufacture of plaques/ signs in Shannon Co Clare,8600,Clare
other,11.09.2013,31.12.2013,Lenane Tool & Die Ltd,"Specialist engineering business, manufacturing, in Shannon Co Clare",60000,Clare
other,29.10.2013,,Regale Biscuit Company Limited,"Artisan Biscuit manufacturing business making a selection of hand-made cookies, biscuits and crackers selling to retail and food-service outlets, both directly and via wholesalers.",7500,Cork County
other,29.10.2013,,Shamrock Vacations Limited,"Expansion of Shamrock Vacations Limited, an online travel company offering North American visitors customised luxury vacations in Ireland and providing unique knowledge to ensure the best possible vacation for their customer. Costs related to salary towards new employment due to increase turnover.",11250,Cork County
other,18.11.2013,31.12.2013,Allied Profiles Ltd,The operation provides a lamination service of profiles to customers specification,4000,Cork County
other,28.03.2013,,ISTA Technologies Ltd,"ISTA Technologies Ltd has developed salftware application to support Chemist retailers. Supported with capital,marketing grants",29518.9,Cork County
other,20.09.2012,,Kavanagh Fine Foods,"Kavanagh Fine Foods specialises in producing takeaway foods for supermarkets. Supported with capital, consultancy and marketing grant",19200,Cork County
other,31.10.2013,,MAAS Ltd,MAAS Ltd is a machine shop for producing unique machine tools for industry using CNC Machines. Supporting with capital grants,120000,Cork County
other,16.05.2013,,Petro SystemsManagement Ltd,"Petro SystemsManagement Ltd services and maintains software for point of sale machines and monitor fuel levels in filling stations. Supported with salary, capital & consultancy grants",21318.92,Cork County
other,12.02.2013,,Valhalla Technology Ltd,"Valhalla Technology Ltd is a software application to track foot traffic in retails stores by using sensory technology. Supported with capital, marketing, consultancy grants.",16192.97,Cork County
other,01.01.2013,31.12.2013,Bia Beauty Ltd,Manufacuture of natural and organic range of cosmetics under brand name bia beauty,22691.42,Cork City
other,01.01.2013,31.12.2013,Lyzop Ltd.,Development of platform to franchise model of short term letting agency to students and workers travelling to various countries.,31770.76,Cork City
other,23.07.2013,31.12.2013,DB Tours,Expansion grant towards salary costs of one full-time employee for business that provides overseas soccer trips for underage teams involving coaching at English Premier League clubs.  The comapny also attracts inbound tourism by hosting tournaments for foreign clubs,3750,Dublin City
other,22.05.2012,,Testwall,"Provision of a wide range of refurbished test and measurement equipment and supply globally across a number of industries such as Manufacturing, Telecommunications and Aerospace.",7312,Dun Laoghaire-Rathdowne
other,25.09.2012,,Redman Design,"Creative marketing company providing web design, branding, graphic design & digital solutions to businesses of every size. The project has good export potential.",7500,Dun Laoghaire-Rathdowne
other,18.12.2012,,Covali,"Covali is a service provider that can provide everything needed to run a business efficiently. From ERP, CRM, eCommerce. The project has export potential",13687,Dun Laoghaire-Rathdowne
other,22.05.2012,,Rockwear,"Online Sale of Industrial Work Boots, Safety Boots, Safety Shoes and Apparel. The project has export potential.",21563,Dun Laoghaire-Rathdowne
other,14.05.2013,,Prisa Technologies Ltd t/a Prisa Consulting,"The project's business is transformation and change management experts. They have helped clients discover new ways of working to reduce costs, increase profitability, improve efficiency and enhance customer service. They work with clients to deliver organisational change initiatives such as business transformation, technology implementations and working capital improvement strategies.It has the potential to trade internationally.",7500,Dun Laoghaire-Rathdowne
other,23.04.2013,,Highline Technology,"The project's range includes office printers and office copiers, black and white printers, colour copiers, black and white copiers, colour printers as well as all in one printers and multifunction copiers/scanners/printers.  They can enable office printing via Wifi, iPads, Macs, Phones and Tablets and also offer cloud printing solutions. The business is trading internationally and so is eligible for fundi",7125,Dun Laoghaire-Rathdowne
other,26.11.2013,,Pintail Ltd,"Business services company serving an international client base in the area of EU funding, they have extended the bus to promote clinical trial management software for projects.",7500,Dun Laoghaire-Rathdowne
