beneficiary_id,query_country_code,query_country,query_type,query_state,query_region,query_county,query_city,query_postal_code,query_address,result_country,result_region,result_county,result_city,result_postal_code,result_street,result_number,result_full_address,result_lat,result_long,geocoded,lau
abbott ireland (cootehill),IE,Ireland,project,,,,,,,Ireland,Co. Cavan,,Cootehill,,,,"Dromore West, Cootehill, Co. Cavan, Ireland",54.0825201,-7.087546200000001,True,34039
2020 strategies,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
a celtech/feas,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
a man & ink/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
a1 cleaning ltd tanya cannon,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
acuspread ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
adam brennan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
adrian charles / priming,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ae risk control ltd.,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aff web,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
agri-business training programme,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
agri-business training programme 08,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ahmed mohammed,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aidan murphy - ronan brennan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aiden robb,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
airen services,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
airen services ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan cullen,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan duffy & paul dolan /innovation,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan giblin,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan kennedy & james o meara,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan o'brien,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan ryan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alan shattock,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alarmfree/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alcor global relocation,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alfie higgins,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aliceway ltd t/a bandit films,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
allen mcgowan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
allmed healthcare ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
allwood finishing,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
alverno assets ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
amanda boyle,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ambushed paintball ltd/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
andrew clarke t/a rock forging,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
angela hope,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
angela lennon- feas,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
angelo o'connor,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
angie clarke/feas,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ann connolly,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ann egan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ann fox t/a elizabeth ann collection,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ann marie durkin,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ann marie hanley,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
anna casey,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
annette mahon /innovation,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ansama ltd riverside hotel,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
anthony carolan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
anthony cloonan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
anthony ennis/emp,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
anton shevlin c/o athlone sweets,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aoife o'reilly/emp,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
apologue ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
applied industrial services ltd.,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
applied sense,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
applied sense design,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aquagensys ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ardee sauce co ltd t/a aruna,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
athenry precision ltd,IE,Ireland,project,,,,,,,Ireland,County Galway,,Athenry,,,,"Cullairbaun, Athenry, Co. Galway, Ireland",53.3005268,-8.752715199999999,True,27101
arthur carr,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
arthur mcardle,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ashley morris t/a emerald isle,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
athenry engineering/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
atlanticside college,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
attik designs p/g,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
attuned translations/ noel neary,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aura furniture,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
aurora designs of ireland/empl,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
austin martin electrical/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
avena developments,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
avision/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
axis investor relations limited,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
b. mcmanus cons ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
badoiri an cladaigh ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
baleholt ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ballisodare community dev assoc,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ballybay perch,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
ballymacward potato co.,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
barry bowe,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bcsd energy ltd 2013/18,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
beeraider ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
beirne & grant,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
belasa weavers ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bernadette rock,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bernadine mulhall,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bgrsb ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
biorefinery ireland ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
blakes organic chocolate ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bmw level 1,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bobby o reilly daibo foods,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bobby o'reilly/priming,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
bose ireland,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
boyle 2000.com,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
boyne international tv expo,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brady agrcon ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
braille signs limited,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brain halpin,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brand u image consultancy ltd,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
breege brennan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
breen jackson,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan allen,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan considine/bp,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan dooley,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan keane,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan mccleary,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan ruddy,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brendan treacy/cap,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brennan tree care,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
breweyed limited,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brewster electronic & electric,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian and lindy o'hara,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian campbell,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian gunning/feas,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian magill,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian mulligan,IE,Ireland,project,,,,,,,United States,New York,New York County,New York,10019,West 54th Street,7,"7 W 54th St, New York, NY 10019, USA",40.7615829,-73.9760553,True,
brian phelan,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
brian woods,IE,Ireland,project,,,,,,,,,,,,,,,,,True,
"brid shaughnessy, t/a the spinning wheel",IE,Ireland,project,,,,,,,,,,,,,,,,,True,
