nuts1_name,nuts1_code,nuts2_name,nuts2_code,nuts3_name,nuts3_code,lau1_name,lau1_code,lau2_name,lau2_code,population,territory,density
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Liepāja,LV003_0170000,85783,88.21,972.5
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Ventspils,LV003_0270000,43519,86.19,504.93
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Kuldīgas novads,LV003_0620200,22954,2593.71,8.85
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Skrundas novads,LV003_0621200,6175,814.85,7.58
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Alsungas novads,LV003_0624200,1894,281.99,6.72
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Aizputes novads,LV003_0640600,10795,940.38,11.48
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Durbes novads,LV003_0640801,3573,468.24,7.63
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Grobiņas novads,LV003_0641000,10381,714.06,14.54
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Pāvilostas novads,LV003_0641401,3407,757.31,4.5
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Priekules novads,LV003_0641600,6818,752.92,9.06
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Nīcas novads,LV003_0647900,3288,511.3,6.43
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Rucavas novads,LV003_0648500,2139,649.5,3.29
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Vaiņodes novads,LV003_0649300,3100,449.83,6.89
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Saldus novads,LV003_0840200,23564,2457.9,9.59
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Brocēnu novads,LV003_0840601,6454,733.32,8.8
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Talsu novads,LV003_0880200,34276,2620.85,13.08
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Dundagas novads,LV003_0885100,4967,1013.82,4.9
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Mērsraga novads,LV003_0887600,1832,163.06,11.23
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Rojas novads,LV003_0888301,6271,301.41,20.8
Latvia,LV0,Latvia,LV00,Kurzeme,LV003,,,Ventspils novads,LV003_0980200,14040,3665.92,3.83
